image_id,building,condition,k,repeat,method,cut,hidden_geometry_outside_candidate_support,hidden_counts_outside_support,n_hidden
B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,B6ByNegPMKs,manual,4,0,selected_mixture,0.2,0.3,0.1,20
B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,B6ByNegPMKs,manual,4,1,seed_equal,0.05,0.85,0.1,20
B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,B6ByNegPMKs,manual,4,1,seed_equal,0.1,0.7,0.1,20
B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,B6ByNegPMKs,manual,4,1,seed_equal,0.2,0.55,0.1,20
B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,B6ByNegPMKs,manual,4,1,selected_mixture,0.05,0.85,0.1,20
B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,B6ByNegPMKs,manual,4,1,selected_mixture,0.1,0.7,0.1,20
B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,B6ByNegPMKs,manual,4,1,selected_mixture,0.2,0.45,0.1,20
B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,B6ByNegPMKs,manual,8,0,seed_equal,0.05,0.8125,0.0,16
B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,B6ByNegPMKs,manual,8,0,seed_equal,0.1,0.5625,0.0,16
B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,B6ByNegPMKs,manual,8,0,seed_equal,0.2,0.3125,0.0,16
B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,B6ByNegPMKs,manual,8,0,selected_mixture,0.05,0.8125,0.0,16
B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,B6ByNegPMKs,manual,8,0,selected_mixture,0.1,0.5625,0.0,16
B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,B6ByNegPMKs,manual,8,0,selected_mixture,0.2,0.1875,0.0,16
B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,B6ByNegPMKs,manual,8,1,seed_equal,0.05,0.75,0.125,16
B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,B6ByNegPMKs,manual,8,1,seed_equal,0.1,0.6875,0.125,16
B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,B6ByNegPMKs,manual,8,1,seed_equal,0.2,0.5,0.125,16
B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,B6ByNegPMKs,manual,8,1,selected_mixture,0.05,0.75,0.125,16
B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,B6ByNegPMKs,manual,8,1,selected_mixture,0.1,0.6875,0.125,16
B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,B6ByNegPMKs,manual,8,1,selected_mixture,0.2,0.375,0.125,16
S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e,S9hNv5qa7GM,manual,4,0,seed_equal,0.05,0.7333333333333333,0.0,15
S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e,S9hNv5qa7GM,manual,4,0,seed_equal,0.1,0.26666666666666666,0.0,15
S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e,S9hNv5qa7GM,manual,4,0,seed_equal,0.2,0.06666666666666667,0.0,15
S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e,S9hNv5qa7GM,manual,4,0,selected_mixture,0.05,0.7333333333333333,0.0,15
S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e,S9hNv5qa7GM,manual,4,0,selected_mixture,0.1,0.13333333333333333,0.0,15
S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e,S9hNv5qa7GM,manual,4,0,selected_mixture,0.2,0.06666666666666667,0.0,15
S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e,S9hNv5qa7GM,manual,4,1,seed_equal,0.05,0.8,0.0,15
S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e,S9hNv5qa7GM,manual,4,1,seed_equal,0.1,0.26666666666666666,0.0,15
S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e,S9hNv5qa7GM,manual,4,1,seed_equal,0.2,0.13333333333333333,0.0,15
S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e,S9hNv5qa7GM,manual,4,1,selected_mixture,0.05,0.8,0.0,15
S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e,S9hNv5qa7GM,manual,4,1,selected_mixture,0.1,0.2,0.0,15
S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e,S9hNv5qa7GM,manual,4,1,selected_mixture,0.2,0.06666666666666667,0.0,15
S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e,S9hNv5qa7GM,manual,8,0,seed_equal,0.05,0.6363636363636364,0.0,11
S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e,S9hNv5qa7GM,manual,8,0,seed_equal,0.1,0.2727272727272727,0.0,11
S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e,S9hNv5qa7GM,manual,8,0,seed_equal,0.2,0.09090909090909091,0.0,11
S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e,S9hNv5qa7GM,manual,8,0,selected_mixture,0.05,0.6363636363636364,0.0,11
S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e,S9hNv5qa7GM,manual,8,0,selected_mixture,0.1,0.18181818181818182,0.0,11
S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e,S9hNv5qa7GM,manual,8,0,selected_mixture,0.2,0.09090909090909091,0.0,11
S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e,S9hNv5qa7GM,manual,8,1,seed_equal,0.05,0.7272727272727273,0.0,11
S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e,S9hNv5qa7GM,manual,8,1,seed_equal,0.1,0.36363636363636365,0.0,11
S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e,S9hNv5qa7GM,manual,8,1,seed_equal,0.2,0.18181818181818182,0.0,11
S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e,S9hNv5qa7GM,manual,8,1,selected_mixture,0.05,0.7272727272727273,0.0,11
S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e,S9hNv5qa7GM,manual,8,1,selected_mixture,0.1,0.2727272727272727,0.0,11
S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e,S9hNv5qa7GM,manual,8,1,selected_mixture,0.2,0.09090909090909091,0.0,11
S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,S9hNv5qa7GM,manual,4,0,seed_equal,0.05,0.0625,0.0,16
S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,S9hNv5qa7GM,manual,4,0,seed_equal,0.1,0.0,0.0,16
S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,S9hNv5qa7GM,manual,4,0,seed_equal,0.2,0.0,0.0,16
S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,S9hNv5qa7GM,manual,4,0,selected_mixture,0.05,0.0625,0.0,16
S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,S9hNv5qa7GM,manual,4,0,selected_mixture,0.1,0.0,0.0,16
S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,S9hNv5qa7GM,manual,4,0,selected_mixture,0.2,0.0,0.0,16
S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,S9hNv5qa7GM,manual,4,1,seed_equal,0.05,0.0,0.0,16
S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,S9hNv5qa7GM,manual,4,1,seed_equal,0.1,0.0,0.0,16
S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,S9hNv5qa7GM,manual,4,1,seed_equal,0.2,0.0,0.0,16
S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,S9hNv5qa7GM,manual,4,1,selected_mixture,0.05,0.0,0.0,16
S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,S9hNv5qa7GM,manual,4,1,selected_mixture,0.1,0.0,0.0,16
S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,S9hNv5qa7GM,manual,4,1,selected_mixture,0.2,0.0,0.0,16
S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,S9hNv5qa7GM,manual,8,0,seed_equal,0.05,0.0,0.0,12
S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,S9hNv5qa7GM,manual,8,0,seed_equal,0.1,0.0,0.0,12
S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,S9hNv5qa7GM,manual,8,0,seed_equal,0.2,0.0,0.0,12
S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,S9hNv5qa7GM,manual,8,0,selected_mixture,0.05,0.0,0.0,12
S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,S9hNv5qa7GM,manual,8,0,selected_mixture,0.1,0.0,0.0,12
S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,S9hNv5qa7GM,manual,8,0,selected_mixture,0.2,0.0,0.0,12
S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,S9hNv5qa7GM,manual,8,1,seed_equal,0.05,0.0,0.0,12
S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,S9hNv5qa7GM,manual,8,1,seed_equal,0.1,0.0,0.0,12
S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,S9hNv5qa7GM,manual,8,1,seed_equal,0.2,0.0,0.0,12
S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,S9hNv5qa7GM,manual,8,1,selected_mixture,0.05,0.0,0.0,12
S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,S9hNv5qa7GM,manual,8,1,selected_mixture,0.1,0.0,0.0,12
S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,S9hNv5qa7GM,manual,8,1,selected_mixture,0.2,0.0,0.0,12
UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65,UwV83HsGsw3,manual,4,0,seed_equal,0.05,0.5,0.15,20
UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65,UwV83HsGsw3,manual,4,0,seed_equal,0.1,0.4,0.15,20
UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65,UwV83HsGsw3,manual,4,0,seed_equal,0.2,0.35,0.15,20
UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65,UwV83HsGsw3,manual,4,0,selected_mixture,0.05,0.5,0.15,20
UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65,UwV83HsGsw3,manual,4,0,selected_mixture,0.1,0.4,0.15,20
UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65,UwV83HsGsw3,manual,4,0,selected_mixture,0.2,0.35,0.15,20
UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65,UwV83HsGsw3,manual,4,1,seed_equal,0.05,0.6,0.15,20
UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65,UwV83HsGsw3,manual,4,1,seed_equal,0.1,0.55,0.15,20
UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65,UwV83HsGsw3,manual,4,1,seed_equal,0.2,0.5,0.15,20
UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65,UwV83HsGsw3,manual,4,1,selected_mixture,0.05,0.6,0.15,20
UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65,UwV83HsGsw3,manual,4,1,selected_mixture,0.1,0.55,0.15,20
UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65,UwV83HsGsw3,manual,4,1,selected_mixture,0.2,0.5,0.15,20
UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65,UwV83HsGsw3,manual,8,0,seed_equal,0.05,0.5625,0.1875,16
UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65,UwV83HsGsw3,manual,8,0,seed_equal,0.1,0.4375,0.1875,16
UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65,UwV83HsGsw3,manual,8,0,seed_equal,0.2,0.4375,0.1875,16
UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65,UwV83HsGsw3,manual,8,0,selected_mixture,0.05,0.5625,0.1875,16
UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65,UwV83HsGsw3,manual,8,0,selected_mixture,0.1,0.4375,0.1875,16
UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65,UwV83HsGsw3,manual,8,0,selected_mixture,0.2,0.4375,0.1875,16
UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65,UwV83HsGsw3,manual,8,1,seed_equal,0.05,0.4375,0.1875,16
UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65,UwV83HsGsw3,manual,8,1,seed_equal,0.1,0.4375,0.1875,16
UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65,UwV83HsGsw3,manual,8,1,seed_equal,0.2,0.375,0.1875,16
UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65,UwV83HsGsw3,manual,8,1,selected_mixture,0.05,0.4375,0.1875,16
UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65,UwV83HsGsw3,manual,8,1,selected_mixture,0.1,0.4375,0.1875,16
UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65,UwV83HsGsw3,manual,8,1,selected_mixture,0.2,0.375,0.1875,16
UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,UwV83HsGsw3,manual,4,0,seed_equal,0.05,0.55,0.15,20
UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,UwV83HsGsw3,manual,4,0,seed_equal,0.1,0.2,0.15,20
UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,UwV83HsGsw3,manual,4,0,seed_equal,0.2,0.15,0.15,20
UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,UwV83HsGsw3,manual,4,0,selected_mixture,0.05,0.55,0.05,20
UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,UwV83HsGsw3,manual,4,0,selected_mixture,0.1,0.2,0.05,20
UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,UwV83HsGsw3,manual,4,0,selected_mixture,0.2,0.05,0.05,20
UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,UwV83HsGsw3,manual,4,1,seed_equal,0.05,0.4,0.15,20
UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,UwV83HsGsw3,manual,4,1,seed_equal,0.1,0.3,0.15,20
UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,UwV83HsGsw3,manual,4,1,seed_equal,0.2,0.15,0.15,20
UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,UwV83HsGsw3,manual,4,1,selected_mixture,0.05,0.4,0.05,20
UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,UwV83HsGsw3,manual,4,1,selected_mixture,0.1,0.3,0.05,20
UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,UwV83HsGsw3,manual,4,1,selected_mixture,0.2,0.05,0.05,20
UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,UwV83HsGsw3,manual,8,0,seed_equal,0.05,0.375,0.0625,16
UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,UwV83HsGsw3,manual,8,0,seed_equal,0.1,0.125,0.0625,16
UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,UwV83HsGsw3,manual,8,0,seed_equal,0.2,0.0625,0.0625,16
UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,UwV83HsGsw3,manual,8,0,selected_mixture,0.05,0.375,0.0625,16
UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,UwV83HsGsw3,manual,8,0,selected_mixture,0.1,0.125,0.0625,16
UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,UwV83HsGsw3,manual,8,0,selected_mixture,0.2,0.0625,0.0625,16
