condition,k,cut,endpoint,method,baseline,metric,images,buildings,delta,ci_low,ci_high,building_macro_delta
manual,4,0.1,late_quarter_new,seed_context_t025,seed_equal,abs_error,46,15,0.0,0.0,0.0,0.0
manual,4,0.1,late_quarter_new,seed_person_t025,seed_equal,abs_error,46,15,0.0,0.0,0.0,0.0
manual,4,0.1,late_quarter_new,seed_type4,seed_equal,abs_error,46,15,0.0,0.0,0.0,0.0
manual,4,0.1,late_quarter_new,selected_mixture,seed_equal,abs_error,46,15,-0.013190670289855076,-0.019716641508529812,-0.004951822916666675,-0.01531171085858586
manual,4,0.1,late_repartition,seed_context_t025,seed_equal,abs_error,46,15,0.0,0.0,0.0,0.0
manual,4,0.1,late_repartition,seed_person_t025,seed_equal,abs_error,46,15,0.0,0.0,0.0,0.0
manual,4,0.1,late_repartition,seed_type4,seed_equal,abs_error,46,15,0.0,0.0,0.0,0.0
manual,4,0.1,late_repartition,selected_mixture,seed_equal,abs_error,46,15,8.460957450585297e-05,-2.5743106100248945e-05,0.0002584867989827634,4.907621298955791e-05
manual,4,0.1,terminal_modes,seed_context_t025,seed_equal,abs_error,46,15,0.0,0.0,0.0,0.0
manual,4,0.1,terminal_modes,seed_person_t025,seed_equal,abs_error,46,15,0.0,0.0,0.0,0.0
manual,4,0.1,terminal_modes,seed_type4,seed_equal,abs_error,46,15,0.0,0.0,0.0,0.0
manual,4,0.1,terminal_modes,selected_mixture,seed_equal,abs_error,46,15,-1.0444972826086956,-1.206390739889706,-0.8415383352102105,-1.035858585858586
manual,4,0.1,terminal_point_disagreement,seed_context_t025,seed_equal,abs_error,46,15,0.00011532319729265072,-0.002475996903433685,0.002839854152914142,0.0008119600439394481
manual,4,0.1,terminal_point_disagreement,seed_person_t025,seed_equal,abs_error,46,15,0.00016933895520292175,-0.003854998263557828,0.004533210582127755,0.0018322906866794664
manual,4,0.1,terminal_point_disagreement,seed_type4,seed_equal,abs_error,46,15,0.0005781506493111617,-0.006014987416920033,0.008025519995310334,0.0041244551604199655
manual,4,0.1,terminal_point_disagreement,selected_mixture,seed_equal,abs_error,46,15,-0.048214095823242306,-0.07252266188930412,-0.027794277450357632,-0.06267163536514385
manual,4,0.1,terminal_singleton_fraction,seed_context_t025,seed_equal,abs_error,46,15,-4.125209066337272e-05,-0.00011062402791342861,6.169664489824953e-05,4.9921019645348884e-05
