analysis_kind,population_or_scenario,analysis_stratum,k_total,metric,estimate_task_equal,ci95_lower_building_bootstrap,ci95_upper_building_bootstrap,task_count,task_count_with_metric,building_count
mixture_k6_exact,sensitivity_A_vs_C|4A+2B,C1_primary_12,6,resolved_only_quality,0.9345258213650378,0.8996118803651919,0.9776505493929077,12,12,5
mixture_k6_exact,sensitivity_A_vs_C|4A+2B,C1_primary_12,6,delivery_adjusted_quality,0.668735807432256,0.5381572872363408,0.9011239586084305,12,12,5
mixture_k6_exact,sensitivity_A_vs_C|4A+2B,C1_primary_12,6,pooled_full_output_recovery_rate,0.9944444444444445,0.9833333333333333,1.0,12,3,5
mixture_k6_exact,sensitivity_A_vs_C|4A+2B,P1_reference_sensitivity_29,6,resolved_rate,0.8163218390804597,0.7525161330049261,0.8834818079681964,29,29,11
mixture_k6_exact,sensitivity_A_vs_C|4A+2B,P1_reference_sensitivity_29,6,supported_multimodal_rate,0.14302134646962233,0.07563431677018632,0.217781462585034,29,29,11
mixture_k6_exact,sensitivity_A_vs_C|4A+2B,P1_reference_sensitivity_29,6,resolved_only_quality,0.90728466125876,0.879753500614224,0.9304790379900905,29,29,11
mixture_k6_exact,sensitivity_A_vs_C|4A+2B,P1_reference_sensitivity_29,6,delivery_adjusted_quality,0.7488905314729064,0.6845289416292261,0.82161855520158,29,29,11
mixture_k6_exact,sensitivity_A_vs_C|4A+2B,P1_reference_sensitivity_29,6,pooled_full_output_recovery_rate,1.0,1.0,1.0,29,15,11
mixture_k6_exact,sensitivity_A_vs_C|4A+2B,pooled_reference_sensitivity_41,6,resolved_rate,0.7834572202864886,0.7306195818070818,0.8548055555555556,41,41,11
mixture_k6_exact,sensitivity_A_vs_C|4A+2B,pooled_reference_sensitivity_41,6,supported_multimodal_rate,0.1721835075493612,0.09578558627752178,0.2391059607351713,41,41,11
mixture_k6_exact,sensitivity_A_vs_C|4A+2B,pooled_reference_sensitivity_41,6,resolved_only_quality,0.91525768372889,0.8913694760449913,0.9298123808272244,41,41,11
mixture_k6_exact,sensitivity_A_vs_C|4A+2B,pooled_reference_sensitivity_41,6,delivery_adjusted_quality,0.7254306122414965,0.6725038985485489,0.7961514269109413,41,41,11
mixture_k6_exact,sensitivity_A_vs_C|4A+2B,pooled_reference_sensitivity_41,6,pooled_full_output_recovery_rate,0.9990740740740741,0.9977272727272727,1.0,41,18,11
subgroup_contrast_exact,A_minus_C,C1_primary_12,3,resolved_rate,0.1384920634920635,0.0002976190476190535,0.2505291005291005,12,12,5
subgroup_contrast_exact,A_minus_C,C1_primary_12,3,supported_multimodal_rate,0.0,0.0,0.0,12,12,5
subgroup_contrast_exact,A_minus_C,C1_primary_12,3,resolved_only_quality,0.03769951216486835,0.016287297348302837,0.05140016471102225,12,11,5
subgroup_contrast_exact,A_minus_C,C1_primary_12,3,delivery_adjusted_quality,0.1568902609232365,0.02526748115935054,0.25372369399111816,12,12,5
subgroup_contrast_exact,A_minus_C,C1_primary_12,3,pooled_full_output_recovery_rate,-0.059523809523809534,-0.1785714285714286,0.0,12,3,5
subgroup_contrast_exact,A_minus_C,P1_reference_sensitivity_29,3,resolved_rate,0.06798029556650248,-0.011332512315270929,0.13016025641025641,29,29,11
subgroup_contrast_exact,A_minus_C,P1_reference_sensitivity_29,3,supported_multimodal_rate,0.0,0.0,0.0,29,29,11
subgroup_contrast_exact,A_minus_C,P1_reference_sensitivity_29,3,resolved_only_quality,0.02813532029399471,0.012862926669442644,0.04378575853812037,29,25,11
subgroup_contrast_exact,A_minus_C,P1_reference_sensitivity_29,3,delivery_adjusted_quality,0.07805712470689656,0.006147127308928572,0.13111487526729254,29,29,11
subgroup_contrast_exact,A_minus_C,P1_reference_sensitivity_29,3,pooled_full_output_recovery_rate,0.006666666666666672,-0.04444444444444443,0.04736842105263159,29,15,11
