image_id,building,condition,cut,scene,replay,rule,state,onset,tail_first_k,late_new_geometry,late_support_promotions,tail_max_TV
B6ByNegPMKs_7018ca302c584d0d85024187f3568460,B6ByNegPMKs,manual,0.1,起居与休闲,17,G10_geometry,current_changes,3.0,2,0,0,0.0
B6ByNegPMKs_7018ca302c584d0d85024187f3568460,B6ByNegPMKs,manual,0.1,起居与休闲,18,G10_geometry,current_changes,3.0,2,0,0,0.0
B6ByNegPMKs_7018ca302c584d0d85024187f3568460,B6ByNegPMKs,manual,0.1,起居与休闲,22,G10_geometry,current_changes,3.0,2,0,0,0.0
B6ByNegPMKs_7018ca302c584d0d85024187f3568460,B6ByNegPMKs,manual,0.1,起居与休闲,23,G10_geometry,current_changes,3.0,2,0,0,0.0
B6ByNegPMKs_7018ca302c584d0d85024187f3568460,B6ByNegPMKs,manual,0.1,起居与休闲,24,G10_geometry,current_changes,3.0,2,0,0,0.0
B6ByNegPMKs_7018ca302c584d0d85024187f3568460,B6ByNegPMKs,manual,0.1,起居与休闲,25,G10_geometry,current_changes,3.0,2,0,0,0.0
B6ByNegPMKs_7018ca302c584d0d85024187f3568460,B6ByNegPMKs,manual,0.1,起居与休闲,26,G10_geometry,current_changes,4.0,2,0,0,0.0
B6ByNegPMKs_7018ca302c584d0d85024187f3568460,B6ByNegPMKs,manual,0.1,起居与休闲,27,G10_geometry,current_changes,4.0,2,0,0,0.0
B6ByNegPMKs_7018ca302c584d0d85024187f3568460,B6ByNegPMKs,manual,0.1,起居与休闲,30,G10_geometry,current_changes,3.0,2,0,0,0.0
B6ByNegPMKs_7018ca302c584d0d85024187f3568460,B6ByNegPMKs,manual,0.1,起居与休闲,34,G10_geometry,current_changes,3.0,2,0,0,0.0
B6ByNegPMKs_7018ca302c584d0d85024187f3568460,B6ByNegPMKs,manual,0.1,起居与休闲,40,G10_geometry,current_changes,4.0,2,0,0,0.0
B6ByNegPMKs_7018ca302c584d0d85024187f3568460,B6ByNegPMKs,manual,0.1,起居与休闲,41,G10_geometry,current_changes,3.0,2,0,0,0.0
B6ByNegPMKs_7018ca302c584d0d85024187f3568460,B6ByNegPMKs,manual,0.1,起居与休闲,44,G10_geometry,current_changes,4.0,2,0,0,0.0
B6ByNegPMKs_7018ca302c584d0d85024187f3568460,B6ByNegPMKs,manual,0.1,起居与休闲,46,G10_geometry,current_changes,3.0,2,0,0,0.0
B6ByNegPMKs_7018ca302c584d0d85024187f3568460,B6ByNegPMKs,manual,0.1,起居与休闲,47,G10_geometry,current_changes,4.0,2,0,0,0.0
B6ByNegPMKs_7018ca302c584d0d85024187f3568460,B6ByNegPMKs,manual,0.1,起居与休闲,48,G10_geometry,current_changes,3.0,2,0,0,0.0
B6ByNegPMKs_7018ca302c584d0d85024187f3568460,B6ByNegPMKs,manual,0.1,起居与休闲,50,G10_geometry,current_changes,3.0,2,0,0,0.0
B6ByNegPMKs_7018ca302c584d0d85024187f3568460,B6ByNegPMKs,manual,0.1,起居与休闲,51,G10_geometry,current_changes,4.0,2,0,0,0.0
B6ByNegPMKs_7018ca302c584d0d85024187f3568460,B6ByNegPMKs,manual,0.1,起居与休闲,52,G10_geometry,current_changes,3.0,2,0,0,0.0
B6ByNegPMKs_7018ca302c584d0d85024187f3568460,B6ByNegPMKs,manual,0.1,起居与休闲,55,G10_geometry,current_changes,3.0,2,0,0,0.0
B6ByNegPMKs_7018ca302c584d0d85024187f3568460,B6ByNegPMKs,manual,0.1,起居与休闲,56,G10_geometry,current_changes,3.0,2,0,0,0.0
B6ByNegPMKs_7018ca302c584d0d85024187f3568460,B6ByNegPMKs,manual,0.1,起居与休闲,58,G10_geometry,current_changes,4.0,2,0,0,0.0
B6ByNegPMKs_7018ca302c584d0d85024187f3568460,B6ByNegPMKs,manual,0.1,起居与休闲,61,G10_geometry,current_changes,3.0,2,0,0,0.0
B6ByNegPMKs_7018ca302c584d0d85024187f3568460,B6ByNegPMKs,manual,0.1,起居与休闲,62,G10_geometry,current_changes,3.0,2,0,0,0.0
B6ByNegPMKs_7018ca302c584d0d85024187f3568460,B6ByNegPMKs,manual,0.1,起居与休闲,63,G10_geometry,current_changes,3.0,2,0,0,0.0
B6ByNegPMKs_7018ca302c584d0d85024187f3568460,B6ByNegPMKs,manual,0.1,起居与休闲,67,G10_geometry,current_changes,3.0,2,0,0,0.0
B6ByNegPMKs_7018ca302c584d0d85024187f3568460,B6ByNegPMKs,manual,0.1,起居与休闲,69,G10_geometry,current_changes,3.0,2,0,0,0.0
