fact_type,project_id,task_id,annotator_id,session_id,event_count,raw_event_count,sandbox_event_n,timestamp_ms_n,observed_start_timestamp_ms,observed_end_timestamp_ms,observed_span_seconds,max_gap_seconds,gap_gt_60,max_events_per_60_seconds,multi_session_fact,formal_event_n,outside_or_stage_mismatch_n,observed_outside_or_stage_mismatch_n,clock_offset_median_seconds,clock_offset_p95_seconds,clock_offset_audit_only,observed_behavior_event_fields,coverage_field,field_name,observed_n,coverage_rate,description
session_sequence,22,2944,11,1777604243182-d3a006cda4f8a8,3.0,3.0,0.0,3.0,1777608807530.0,1777608831463.0,23.933,22.933,False,3.0,True,0.0,3.0,3.0,28800.56891989708,28800.58882982731,True,,,,,,
session_sequence,22,2944,11,1779249061211-c6a7556d235e88,23.0,23.0,0.0,23.0,1779249865950.0,1779250473607.0,607.657,30.006,False,4.0,True,0.0,23.0,23.0,28799.818029165268,28817.427630901337,True,,,,,,
session_sequence,22,2944,13,1777909061960-8bf1e6b3d1d87,5.0,5.0,0.0,5.0,1777913261911.0,1777913355915.0,94.004,30.008,False,3.0,False,0.0,5.0,5.0,28801.61705803871,28801.629869604112,True,,,,,,
session_sequence,22,2944,15,1778488478227-a2c0cf887a9d1,12.0,12.0,0.0,12.0,1778489768230.0,1778490068239.0,300.009,30.01,False,4.0,True,0.0,12.0,12.0,28800.0008405447,28800.002019762993,True,,,,,,
session_sequence,22,2944,15,1778742087494-1ef742e279f1e8,5.0,5.0,0.0,5.0,1778742396594.0,1778742490689.0,94.095,30.0,False,3.0,True,0.0,5.0,5.0,28801.84979915619,28801.851201105117,True,,,,,,
session_sequence,22,2944,18,1779280181066-c81ed43fa6f7f,1.0,1.0,0.0,1.0,1779280557543.0,1779280557543.0,0.0,0.0,False,1.0,False,0.0,1.0,1.0,28800.430459022522,28800.430459022522,True,,,,,,
session_sequence,22,2944,19,1782741317604-c7e70e3a0f3c2,2.0,2.0,0.0,2.0,1782741437609.0,1782741477605.0,39.996,39.996,False,2.0,False,0.0,2.0,2.0,28800.059341549873,28800.060440719128,True,,,,,,
session_sequence,22,2944,2,1777561313472-36d7e8d8950ae8,2.0,2.0,0.0,2.0,1777562045659.0,1777567529799.0,5484.14,5484.14,True,1.0,False,0.0,2.0,2.0,28800.428673624992,28800.48740724325,True,,,,,,
session_sequence,22,2944,21,1780584429316-854db956664b88,3.0,3.0,0.0,3.0,1780584473516.0,1780584538364.0,64.848,62.822,True,2.0,False,0.0,3.0,3.0,28800.65891599655,28801.916389656068,True,,,,,,
session_sequence,22,2944,6,1779353129956-830c050e9588e,3.0,3.0,0.0,3.0,1779429319876.0,1779429330830.0,10.954,9.176,False,3.0,False,0.0,3.0,3.0,28800.09161400795,28800.10637946129,True,,,,,,
session_sequence,22,2944,8,1779373046621-2426612e209688,2.0,2.0,0.0,2.0,1779373747642.0,1779373790861.0,43.219,43.219,False,2.0,True,0.0,2.0,2.0,28799.673185944557,28799.696256697178,True,,,,,,
session_sequence,22,2944,8,1781172839466-8ba4c21d05d83,9.0,9.0,0.0,9.0,1781173531359.0,1781173723350.0,191.991,30.01,False,4.0,True,0.0,9.0,9.0,28800.18460416794,28800.222307109834,True,,,,,,
session_sequence,22,2945,10,1777793331816-5eba634d7e5118,13.0,13.0,0.0,13.0,1777794110115.0,1777794379427.0,269.312,32.873,False,4.0,False,0.0,13.0,13.0,28799.553212165833,28799.56410303116,True,,,,,,
session_sequence,22,2945,11,1779249061211-c6a7556d235e88,15.0,15.0,0.0,15.0,1779250475507.0,1779250853697.0,378.19,30.005,False,4.0,False,0.0,15.0,15.0,28799.814152002335,28799.874911260606,True,,,,,,
session_sequence,22,2945,13,1777909061960-8bf1e6b3d1d87,3.0,3.0,0.0,3.0,1777913381911.0,1777913429911.0,48.0,30.0,False,3.0,False,0.0,3.0,3.0,28801.623947143555,28802.70146560669,True,,,,,,
session_sequence,22,2945,15,1778742087494-1ef742e279f1e8,5.0,5.0,0.0,5.0,1778742516593.0,1778742602718.0,86.125,30.0,False,4.0,False,0.0,5.0,5.0,28801.852391958237,28801.852931261063,True,,,,,,
session_sequence,22,2945,19,1782741317604-c7e70e3a0f3c2,11.0,11.0,0.0,11.0,1782741487820.0,1782741533604.0,45.784,26.393,False,11.0,False,0.0,11.0,11.0,28800.06283903122,28827.38580751419,True,,,,,,
session_sequence,22,2945,21,1780584429316-854db956664b88,4.0,4.0,0.0,4.0,1780584478335.0,1780584567352.0,89.017,70.983,True,3.0,False,0.0,4.0,4.0,28800.65117263794,28800.66086267233,True,,,,,,
session_sequence,22,2945,6,1779353129956-830c050e9588e,4.0,4.0,0.0,4.0,1779429351474.0,1779429411577.0,60.103,50.747,False,3.0,False,0.0,4.0,4.0,28800.03081560135,28800.28469372988,True,,,,,,
session_sequence,22,2945,8,1779373046621-2426612e209688,2.0,2.0,0.0,2.0,1779373750644.0,1779373787722.0,37.078,37.078,False,2.0,True,0.0,2.0,2.0,28799.694151997566,28799.708181130885,True,,,,,,
session_sequence,22,2945,8,1781172839466-8ba4c21d05d83,15.0,15.0,0.0,15.0,1781173741349.0,1781174110360.0,369.011,30.013,False,4.0,True,0.0,15.0,15.0,28800.191978931427,28800.23505306244,True,,,,,,
session_sequence,22,2946,10,1777793331816-5eba634d7e5118,5.0,5.0,0.0,5.0,1777794384430.0,1777794472436.0,88.006,30.002,False,4.0,False,0.0,5.0,5.0,28799.548565864563,28799.55096607208,True,,,,,,
session_sequence,22,2946,11,1779249061211-c6a7556d235e88,44.0,44.0,0.0,44.0,1779250865506.0,1779253127561.0,2262.055,1049.998,True,4.0,False,0.0,44.0,44.0,28799.835577487946,28799.900367236136,True,,,,,,
session_sequence,22,2946,13,1777909061960-8bf1e6b3d1d87,5.0,5.0,0.0,5.0,1777913441911.0,1777913521911.0,80.0,30.0,False,4.0,False,0.0,5.0,5.0,28801.632852077484,28801.74940004349,True,,,,,,
session_sequence,22,2946,15,1778742087494-1ef742e279f1e8,10.0,10.0,0.0,10.0,1778742606593.0,1778742795665.0,189.072,30.001,False,5.0,False,0.0,10.0,10.0,28801.855285406113,28801.85630583763,True,,,,,,
session_sequence,22,2946,19,1782741317604-c7e70e3a0f3c2,2.0,2.0,0.0,2.0,1782741497605.0,1782741499697.0,2.092,2.092,False,2.0,False,0.0,2.0,2.0,28800.056228399277,28800.056541252136,True,,,,,,
session_sequence,22,2946,2,1777561313472-36d7e8d8950ae8,3.0,3.0,0.0,3.0,1777562265802.0,1777562300801.0,34.999,29.996,False,3.0,False,0.0,3.0,3.0,28800.365335941315,28800.366218709947,True,,,,,,
session_sequence,22,2946,21,1780584429316-854db956664b88,2.0,2.0,0.0,2.0,1780584480542.0,1780584574516.0,93.974,93.974,True,1.0,False,0.0,2.0,2.0,28800.663796901703,28800.668465232848,True,,,,,,
session_sequence,22,2946,6,1779353129956-830c050e9588e,3.0,3.0,0.0,3.0,1779429378915.0,1779429383523.0,4.608,2.558,False,3.0,False,0.0,3.0,3.0,28800.057538986206,28800.07344105244,True,,,,,,
session_sequence,22,2946,8,1779373046621-2426612e209688,2.0,2.0,0.0,2.0,1779373752642.0,1779373785643.0,33.001,33.001,False,2.0,True,0.0,2.0,2.0,28799.668711066246,28799.67061468363,True,,,,,,
session_sequence,22,2946,8,1781172839466-8ba4c21d05d83,8.0,8.0,0.0,8.0,1781174108573.0,1781174262356.0,153.783,30.003,False,4.0,True,0.0,8.0,8.0,28800.184022068977,28800.209436738493,True,,,,,,
session_sequence,22,2947,10,1777793331816-5eba634d7e5118,5.0,5.0,0.0,5.0,1777794474430.0,1777794561427.0,86.997,29.999,False,4.0,False,0.0,5.0,5.0,28799.542979955673,28799.56067419052,True,,,,,,
session_sequence,22,2947,11,1779249061211-c6a7556d235e88,9.0,9.0,0.0,9.0,1779253145510.0,1779253337439.0,191.929,30.005,False,4.0,False,0.0,9.0,9.0,28799.770935058594,28799.78352355957,True,,,,,,
session_sequence,22,2947,13,1777909061960-8bf1e6b3d1d87,4.0,4.0,0.0,4.0,1777913531910.0,1777913611451.0,79.541,42.54,False,3.0,False,0.0,4.0,4.0,28801.672986984253,28801.701213812827,True,,,,,,
