predictor,outcome,predictor_duplicate_alias,task_count,building_count,rank_effect_spearman,effect_rank_transformed,effect,cluster_bootstrap_rank_ci_lower,cluster_bootstrap_rank_ci_upper,ci_lower,ci_upper,wild_cluster_exact_or_mc_p,p_value,inference_unit,q_bh_global_unique,q_bh_within_outcome_unique,q_bh_global_unique_predictors,q_bh_within_outcome_unique_predictors
edge_density_proxy,delta_supported_multimodality,False,25,9,0.5032129644312927,0.5032129644312927,0.5032129644312927,0.2746880316636111,0.7124616628452316,0.2746880316636111,0.7124616628452316,0.03515625,0.03515625,"building_cluster; rank(x), rank(y); exact signflip when clusters <= 12",0.60546875,0.13671875,0.60546875,0.13671875
edge_density_proxy,delta_pairwise_metric_dissimilarity_all,False,25,9,0.03769230769230769,0.03769230769230769,0.03769230769230769,-0.45629736625193823,0.6099151989562949,-0.45629736625193823,0.6099151989562949,0.87890625,0.87890625,"building_cluster; rank(x), rank(y); exact signflip when clusters <= 12",0.92578125,0.9140625,0.92578125,0.9140625
edge_density_proxy,delta_quality_iou,False,22,9,-0.2806324110671937,-0.2806324110671937,-0.2806324110671937,-0.6,0.16948720737401332,-0.6,0.16948720737401332,0.24609375,0.24609375,"building_cluster; rank(x), rank(y); exact signflip when clusters <= 12",0.738671875,0.34453125,0.738671875,0.34453125
edge_density_proxy,edit_rate,False,25,9,-0.22970616404483252,-0.22970616404483252,-0.22970616404483252,-0.6324476412199439,0.4088472758346564,-0.6324476412199439,0.4088472758346564,0.4609375,0.4609375,"building_cluster; rank(x), rank(y); exact signflip when clusters <= 12",0.738671875,0.6453125,0.738671875,0.6453125
edge_density_proxy,edit_rmse_mean,False,21,9,-0.27166267898545127,-0.27166267898545127,-0.27166267898545127,-0.6881496408319056,0.38521629237552807,-0.6881496408319056,0.38521629237552807,0.58984375,0.58984375,"building_cluster; rank(x), rank(y); exact signflip when clusters <= 12",0.8002717391304348,0.8296875,0.8002717391304348,0.8296875
edge_density_proxy,delta_metric_mean,False,21,9,0.09480519480519481,0.09480519480519481,0.09480519480519481,-0.5075022065313327,0.619516444835166,-0.5075022065313327,0.619516444835166,0.75390625,0.75390625,"building_cluster; rank(x), rank(y); exact signflip when clusters <= 12",0.8655960648148148,0.8795572916666666,0.8655960648148148,0.8795572916666666
gt_pair_count,delta_shannon_entropy,False,22,9,0.296676029184406,0.296676029184406,0.296676029184406,-0.10188691896633516,0.6447247999710053,-0.10188691896633516,0.6447247999710053,0.26171875,0.26171875,"building_cluster; rank(x), rank(y); exact signflip when clusters <= 12",0.738671875,0.59375,0.738671875,0.59375
gt_pair_count,delta_gini_simpson,False,22,9,0.29676054023274734,0.29676054023274734,0.29676054023274734,-0.11229836945485933,0.6494029338786776,-0.11229836945485933,0.6494029338786776,0.24609375,0.24609375,"building_cluster; rank(x), rank(y); exact signflip when clusters <= 12",0.738671875,0.5859375,0.738671875,0.5859375
gt_pair_count,delta_largest_mode_share,False,22,9,-0.2754123974370832,-0.2754123974370832,-0.2754123974370832,-0.6306069917508209,0.11474777016895767,-0.6306069917508209,0.11474777016895767,0.34375,0.34375,"building_cluster; rank(x), rank(y); exact signflip when clusters <= 12",0.738671875,0.546875,0.738671875,0.546875
gt_pair_count,delta_supported_multimodality,False,22,9,-0.08890676689535242,-0.08890676689535242,-0.08890676689535242,-0.43012775011957194,0.2360549604497449,-0.43012775011957194,0.2360549604497449,0.58984375,0.58984375,"building_cluster; rank(x), rank(y); exact signflip when clusters <= 12",0.8002717391304348,0.58984375,0.8002717391304348,0.58984375
gt_pair_count,delta_pairwise_metric_dissimilarity_all,False,22,9,0.17984465964858246,0.17984465964858246,0.17984465964858246,-0.2852027655954192,0.5575271382135232,-0.2852027655954192,0.5575271382135232,0.4765625,0.4765625,"building_cluster; rank(x), rank(y); exact signflip when clusters <= 12",0.738671875,0.833984375,0.738671875,0.833984375
gt_pair_count,delta_quality_iou,False,22,9,0.03125169495532744,0.03125169495532744,0.03125169495532744,-0.42047962142409934,0.5435142304389815,-0.42047962142409934,0.5435142304389815,0.91015625,0.91015625,"building_cluster; rank(x), rank(y); exact signflip when clusters <= 12",0.92578125,0.91015625,0.92578125,0.91015625
gt_pair_count,edit_rate,False,22,9,0.3727550461999402,0.3727550461999402,0.3727550461999402,-0.08734918495828287,0.7309492629271241,-0.08734918495828287,0.7309492629271241,0.171875,0.171875,"building_cluster; rank(x), rank(y); exact signflip when clusters <= 12",0.738671875,0.5787760416666666,0.738671875,0.5787760416666666
