family,condition,target,baseline,images,buildings,loss,baseline_loss,delta,lo,hi
hohonet,semi,full_p_by_8,constant,42,12,0.26502398568176194,0.23761904761904762,0.027404938062714285,-0.026044701343634635,0.08383361445449242
hohonet,semi,full_p_by_8,feedback_counts,42,12,0.26502398568176194,0.32070927466949045,-0.055685288987728565,-0.0993502763761067,-0.01995990419154279
hohonet,semi,full_p_by_8,feedback_all,42,12,0.26502398568176194,0.3489841040714048,-0.08396011838964286,-0.17164919131060336,-0.024742692927360595
hohonet,semi,late_quarter_new,constant,42,12,0.20776697269614003,0.17043650793644524,0.03733046475969476,0.004591404403210485,0.08813470521296024
hohonet,semi,late_quarter_new,feedback_counts,42,12,0.20776697269614003,0.1752000797523689,0.03256689294377109,0.0012912510634554186,0.08236380915117254
hohonet,semi,late_quarter_new,feedback_all,42,12,0.20776697269614003,0.16761605627939438,0.04015091641674562,0.011297608102953457,0.08538908094486468
ulayout,manual,candidate_v2,constant,61,15,0.7393487666048714,0.6598838137050655,0.07946495289980575,0.029290550753355658,0.15532747260146754
ulayout,manual,candidate_v2,feedback_counts,60,15,0.7425665804697191,0.6196211072191667,0.12294547325055252,0.04632007384639631,0.22909465881961905
ulayout,manual,candidate_v2,feedback_all,60,15,0.7425665804697191,0.6228995662874334,0.11966701418228583,0.05811827863546301,0.20649209149667064
ulayout,manual,core10_p_by_19,constant,133,20,0.2932280477968783,0.2995676691729323,-0.006339621376054063,-0.024430213026996994,0.015173906047470846
ulayout,manual,core10_p_by_19,feedback_counts,131,20,0.2925371243458062,0.300696145983455,-0.00815902163764885,-0.02467324010237574,0.011026339033665187
ulayout,manual,core10_p_by_19,feedback_all,131,20,0.2925371243458062,0.2992496904693897,-0.006712566123583515,-0.022569237879319533,0.013153500742882879
ulayout,manual,full_p_by_8,constant,133,20,0.37708742325415634,0.3356766917293233,0.04141073152483301,-0.03843925629240796,0.10908444909600942
ulayout,manual,full_p_by_8,feedback_counts,131,20,0.3765710702959526,0.3465688719461275,0.03000219834982512,0.006325347355012426,0.06117464357424854
ulayout,manual,full_p_by_8,feedback_all,131,20,0.3765710702959526,0.33798092527624546,0.0385901450197071,0.006632946904283248,0.08235463332225272
ulayout,manual,late_quarter_new,constant,133,20,0.18747243454766924,0.19960526315783306,-0.012132828610163834,-0.027812888242365906,0.005769953491125386
ulayout,manual,late_quarter_new,feedback_counts,131,20,0.18558706725854204,0.17526413629604734,0.010322930962494734,-0.007702832269162567,0.029631588507636954
ulayout,manual,late_quarter_new,feedback_all,131,20,0.18558706725854204,0.15411173114333523,0.031475336115206795,0.017331797841700393,0.05006745141094129
ulayout,semi,candidate_v2,constant,14,7,0.7797985285078985,0.6407763866972143,0.13902214181068426,-0.1694074282021688,0.34746476950728783
ulayout,semi,candidate_v2,feedback_counts,14,7,0.7797985285078985,0.6635677655900716,0.11623076291782715,-0.21295115776953086,0.33101435807464286
ulayout,semi,candidate_v2,feedback_all,14,7,0.7797985285078985,0.7955856951665,-0.01578716665860144,-0.5309923280419754,0.2530884077634202
ulayout,semi,core10_p_by_19,constant,42,12,0.2976678803919286,0.27107142857142863,0.026596451820499988,-0.009587950007619155,0.07117658551113427
ulayout,semi,core10_p_by_19,feedback_counts,42,12,0.2976678803919286,0.2695149333947572,0.02815294699717143,-0.006339472980349158,0.07863314680740391
ulayout,semi,core10_p_by_19,feedback_all,42,12,0.2976678803919286,0.279938236479713,0.017729643912215595,-0.0017787252080417465,0.043920669594473404
ulayout,semi,full_p_by_8,constant,42,12,0.2790930686808381,0.23761904761904762,0.04147402106179046,-0.035745180902109,0.15081923527342866
ulayout,semi,full_p_by_8,feedback_counts,42,12,0.2790930686808381,0.32070927466949045,-0.04161620598865239,-0.08782848432040269,0.030693235533560154
ulayout,semi,full_p_by_8,feedback_all,42,12,0.2790930686808381,0.3489841040714048,-0.06989103539056667,-0.15729185512259675,0.015276020561678184
ulayout,semi,late_quarter_new,constant,42,12,0.19785946167289523,0.17043650793644524,0.027422953736449995,-0.006594400114501947,0.09265122564692094
ulayout,semi,late_quarter_new,feedback_counts,42,12,0.19785946167289523,0.1752000797523689,0.02265938192052633,-0.013776967939975631,0.08690978401271107
ulayout,semi,late_quarter_new,feedback_all,42,12,0.19785946167289523,0.16761605627939438,0.03024340539350085,0.001896479402517283,0.08796849654412925
