heldout_building,worker_id,reference_effect,operational_coarse
jh4fc5c5qoQ,13,0.345857468004,B
jh4fc5c5qoQ,15,-1.12981684145,A
jh4fc5c5qoQ,17,-1.22367196397,A
jh4fc5c5qoQ,2,-3.91437199622,A
jh4fc5c5qoQ,28,-0.138731242052,A
jh4fc5c5qoQ,29,1.01626040648,B
jh4fc5c5qoQ,30,0.943558080937,B
jh4fc5c5qoQ,31,0.0260039640586,A
jh4fc5c5qoQ,32,0.380324557046,B
jh4fc5c5qoQ,33,-0.60965748347,A
jh4fc5c5qoQ,34,1.73933606501,B
jh4fc5c5qoQ,35,0.851344933443,B
jh4fc5c5qoQ,36,0.359677715528,B
jh4fc5c5qoQ,37,2.36500178706,B
jh4fc5c5qoQ,6,-0.249073156114,A
jh4fc5c5qoQ,8,-0.457957138679,A
jtcxE69GiFV,1,-0.121853838105,A
jtcxE69GiFV,10,0.0939538257471,B
jtcxE69GiFV,11,-0.708550588127,A
jtcxE69GiFV,12,0.514620961599,B
jtcxE69GiFV,13,0.385976413132,B
jtcxE69GiFV,15,-1.22089962191,A
jtcxE69GiFV,17,-1.26529564178,A
jtcxE69GiFV,2,-4.08523443595,A
jtcxE69GiFV,28,0.0251716172234,A
jtcxE69GiFV,29,0.931529501093,B
jtcxE69GiFV,30,0.946896151702,B
jtcxE69GiFV,31,0.0308514039324,A
jtcxE69GiFV,32,0.378800339497,B
jtcxE69GiFV,33,-0.631249212027,A
jtcxE69GiFV,34,1.76167135132,B
jtcxE69GiFV,35,0.859418237724,B
jtcxE69GiFV,36,0.280433206777,B
jtcxE69GiFV,37,2.36913282672,B
jtcxE69GiFV,6,-0.192646522519,A
jtcxE69GiFV,8,-0.352725976063,A
pRbA3pwrgk9,1,-0.13144123046,A
pRbA3pwrgk9,10,0.0631225670304,B
pRbA3pwrgk9,11,-0.709051078881,A
pRbA3pwrgk9,12,0.523741268851,B
pRbA3pwrgk9,13,0.328338309389,B
pRbA3pwrgk9,15,-1.16598322137,A
pRbA3pwrgk9,17,-1.26061380447,A
pRbA3pwrgk9,2,-3.91123439677,A
pRbA3pwrgk9,28,-0.149740675324,A
pRbA3pwrgk9,29,1.04854188213,B
pRbA3pwrgk9,30,0.945122350465,B
pRbA3pwrgk9,31,0.0221690450952,A
pRbA3pwrgk9,32,0.388796674414,B
pRbA3pwrgk9,33,-0.625845263647,A
pRbA3pwrgk9,34,1.74239202299,B
pRbA3pwrgk9,35,0.879384045136,B
pRbA3pwrgk9,36,0.321118422981,B
pRbA3pwrgk9,37,2.4177412691,B
pRbA3pwrgk9,6,-0.265046567536,A
pRbA3pwrgk9,8,-0.46151161913,A
pa4otMbVnkk,1,-0.295941731604,A
pa4otMbVnkk,10,0.0639689050723,B
pa4otMbVnkk,11,-0.70474014229,A
pa4otMbVnkk,12,0.531190582862,B
pa4otMbVnkk,13,0.346188705151,B
pa4otMbVnkk,15,-1.17882858052,A
pa4otMbVnkk,17,-1.23530043184,A
pa4otMbVnkk,2,-3.79451032858,A
pa4otMbVnkk,28,-0.304467717057,A
pa4otMbVnkk,29,0.97464016641,B
pa4otMbVnkk,30,0.932095474479,B
pa4otMbVnkk,31,0.0271447460315,A
pa4otMbVnkk,32,0.401576909203,B
pa4otMbVnkk,33,-0.608631131234,A
pa4otMbVnkk,34,1.82077912196,B
pa4otMbVnkk,35,0.930446704144,B
pa4otMbVnkk,36,0.442081220455,B
pa4otMbVnkk,37,2.35522655453,B
pa4otMbVnkk,6,-0.246610445641,A
pa4otMbVnkk,8,-0.456308581531,A
q9vSo1VnCiC,1,-0.115149708782,A
q9vSo1VnCiC,10,0.0326856033957,A
q9vSo1VnCiC,11,-0.6486598673,A
q9vSo1VnCiC,12,0.386306098299,B
q9vSo1VnCiC,13,0.0649749071522,B
q9vSo1VnCiC,15,-1.09514894249,A
q9vSo1VnCiC,17,-1.24191751896,A
q9vSo1VnCiC,2,-3.80807720366,A
q9vSo1VnCiC,28,-0.0817854070986,A
q9vSo1VnCiC,29,1.06740450737,B
q9vSo1VnCiC,30,1.00172214825,B
q9vSo1VnCiC,31,0.15946341777,B
q9vSo1VnCiC,32,0.358810356072,B
q9vSo1VnCiC,33,-0.589302290459,A
q9vSo1VnCiC,34,1.51170657437,B
q9vSo1VnCiC,35,0.838594513607,B
q9vSo1VnCiC,36,0.61276996843,B
q9vSo1VnCiC,37,2.40519293025,B
q9vSo1VnCiC,6,-0.487811365523,A
q9vSo1VnCiC,8,-0.371778720694,A
rPc6DW4iMge,1,-0.149708111834,A
