metric,cohort,replicate,common_workers,rank_rho,coarse_ARI,label_agreement,split_A
60,all26,81,26,0.744957264957,0.260355029586,0.769230769231,2t7WUuJeko7;S9hNv5qa7GM;VFuaQ6m2Qom;VLzqgDo317F;e9zR4mvMWw7;pa4otMbVnkk;rPc6DW4iMge;wc2JMjhGNzB;x8F5xyUWy9e;yqstnuAEVhm;zsNo4HB9uLZ
60,all26,82,26,0.716923076923,0.112426035503,0.692307692308,2t7WUuJeko7;B6ByNegPMKs;VLzqgDo317F;X7HyMhZNoso;e9zR4mvMWw7;jtcxE69GiFV;rPc6DW4iMge;wc2JMjhGNzB;x8F5xyUWy9e;yqstnuAEVhm;zsNo4HB9uLZ
60,all26,83,26,0.604786324786,0.260355029586,0.769230769231,2t7WUuJeko7;VFuaQ6m2Qom;X7HyMhZNoso;jh4fc5c5qoQ;jtcxE69GiFV;pRbA3pwrgk9;q9vSo1VnCiC;uNb9QFRL6hY;wc2JMjhGNzB;x8F5xyUWy9e;yqstnuAEVhm
60,all26,84,25,0.486923076923,-0.00160256410256,0.6,2t7WUuJeko7;B6ByNegPMKs;S9hNv5qa7GM;VLzqgDo317F;X7HyMhZNoso;b8cTxDM8gDG;jh4fc5c5qoQ;pRbA3pwrgk9;wc2JMjhGNzB;x8F5xyUWy9e;zsNo4HB9uLZ
60,all26,85,26,0.755213675214,0.457593688363,0.846153846154,2t7WUuJeko7;7y3sRwLe3Va;B6ByNegPMKs;S9hNv5qa7GM;VFuaQ6m2Qom;X7HyMhZNoso;Z6MFQCViBuw;jh4fc5c5qoQ;pa4otMbVnkk;q9vSo1VnCiC;yqstnuAEVhm
60,all26,86,26,0.74905982906,0.112426035503,0.692307692308,7y3sRwLe3Va;UwV83HsGsw3;VLzqgDo317F;X7HyMhZNoso;Z6MFQCViBuw;b8cTxDM8gDG;e9zR4mvMWw7;jtcxE69GiFV;wc2JMjhGNzB;yqstnuAEVhm;zsNo4HB9uLZ
60,all26,87,26,0.472136752137,0.112426035503,0.692307692308,2t7WUuJeko7;S9hNv5qa7GM;UwV83HsGsw3;VLzqgDo317F;b8cTxDM8gDG;e9zR4mvMWw7;jh4fc5c5qoQ;jtcxE69GiFV;q9vSo1VnCiC;uNb9QFRL6hY;yqstnuAEVhm
60,all26,88,26,0.876239316239,0.704142011834,0.923076923077,B6ByNegPMKs;S9hNv5qa7GM;UwV83HsGsw3;VLzqgDo317F;X7HyMhZNoso;Z6MFQCViBuw;b8cTxDM8gDG;jh4fc5c5qoQ;pRbA3pwrgk9;rPc6DW4iMge;uNb9QFRL6hY
60,all26,89,26,0.610256410256,0.457593688363,0.846153846154,UwV83HsGsw3;X7HyMhZNoso;Z6MFQCViBuw;e9zR4mvMWw7;pRbA3pwrgk9;pa4otMbVnkk;q9vSo1VnCiC;uNb9QFRL6hY;wc2JMjhGNzB;x8F5xyUWy9e;zsNo4HB9uLZ
60,all26,90,26,0.672478632479,0.260355029586,0.769230769231,7y3sRwLe3Va;B6ByNegPMKs;S9hNv5qa7GM;VFuaQ6m2Qom;X7HyMhZNoso;jh4fc5c5qoQ;pa4otMbVnkk;q9vSo1VnCiC;rPc6DW4iMge;x8F5xyUWy9e;yqstnuAEVhm
