condition,k,method,stratum,images,buildings,kernel,count_brier,uncovered_count,field
manual,8,seed_model_uniform10,present,14,10,0.7371059850538398,0.20508763227513227,0.04092261904761901,floor_boundary
manual,8,seed_model_uniform25,partial,32,10,0.8786793339146849,0.480913214525275,0.11946586399711395,floor_boundary
manual,8,seed_model_uniform25,present,14,10,0.7373900655380788,0.2165416253306878,0.04092261904761901,floor_boundary
manual,8,seed_person_t01,partial,32,10,0.8903119377431653,0.481780150623694,0.14948395788239535,floor_boundary
manual,8,seed_person_t01,present,14,10,0.739334319708813,0.20397756892202357,0.048611111111111084,floor_boundary
manual,8,seed_person_t025,partial,32,10,0.8874310507630082,0.47966140093530674,0.14948395788239535,floor_boundary
manual,8,seed_person_t025,present,14,10,0.7410773497417757,0.20344117347419902,0.048611111111111084,floor_boundary
manual,8,seed_person_t05,partial,32,10,0.889980606771577,0.48123830721719746,0.14948395788239535,floor_boundary
manual,8,seed_person_t05,present,14,10,0.7445822075569479,0.20445422632820187,0.048611111111111084,floor_boundary
manual,8,seed_type2,partial,32,10,0.8949329584247645,0.48495315962463514,0.14948395788239535,floor_boundary
