condition,k,cut,method,metric,images,real_stability,predicted_stability,brier,declaration_rate,false_declaration_rate,false_fraction_among_declarations
manual,4,0.2,seed_person_t025,diagnostic_stable_multimode80,46,0.17391304347826086,0.45889945652173914,0.35524583899456524,0.3695652173913043,0.2717391304347826,0.7352941176470589
manual,4,0.2,seed_type4,diagnostic_stable100,46,0.21739130434782608,0.9001358695652174,0.6232167119565217,0.7717391304347826,0.5652173913043478,0.7323943661971831
manual,4,0.2,seed_type4,diagnostic_stable80,46,0.4673913043478261,0.9161005434782609,0.4184464164402174,0.8043478260869565,0.3695652173913043,0.4594594594594595
manual,4,0.2,seed_type4,diagnostic_stable_multimode80,46,0.17391304347826086,0.452445652173913,0.35398267663043476,0.33695652173913043,0.25,0.7419354838709677
manual,4,0.2,selected_mixture,diagnostic_stable100,46,0.21739130434782608,0.6368885869565217,0.2936374830163043,0.391304347826087,0.18478260869565216,0.4722222222222222
manual,4,0.2,selected_mixture,diagnostic_stable80,46,0.4673913043478261,0.7574728260869565,0.2498726222826087,0.5434782608695652,0.16304347826086957,0.3
manual,4,0.2,selected_mixture,diagnostic_stable_multimode80,46,0.17391304347826086,0.4633152173913043,0.291694972826087,0.1956521739130435,0.13043478260869565,0.6666666666666666
manual,8,0.05,seed_context_t025,diagnostic_stable100,46,0.021739130434782608,0.6008831521739131,0.4227135699728261,0.32608695652173914,0.30434782608695654,0.9333333333333333
manual,8,0.05,seed_context_t025,diagnostic_stable80,46,0.10869565217391304,0.9008152173913043,0.7268172554347826,0.7934782608695652,0.6847826086956522,0.863013698630137
manual,8,0.05,seed_context_t025,diagnostic_stable_multimode80,46,0.09782608695652174,0.8576766304347826,0.7145359205163043,0.7391304347826086,0.6630434782608695,0.8970588235294118
manual,8,0.05,seed_equal,diagnostic_stable100,46,0.021739130434782608,0.6239809782608695,0.447700832201087,0.3695652173913043,0.34782608695652173,0.9411764705882353
manual,8,0.05,seed_equal,diagnostic_stable80,46,0.10869565217391304,0.9021739130434783,0.7312542459239131,0.8152173913043478,0.7065217391304348,0.8666666666666667
manual,8,0.05,seed_equal,diagnostic_stable_multimode80,46,0.09782608695652174,0.8631114130434783,0.721817680027174,0.782608695652174,0.6956521739130435,0.8888888888888888
manual,8,0.05,seed_person_t025,diagnostic_stable100,46,0.021739130434782608,0.576766304347826,0.39457370923913043,0.2826086956521739,0.2608695652173913,0.9230769230769231
manual,8,0.05,seed_person_t025,diagnostic_stable80,46,0.10869565217391304,0.9004755434782609,0.7264032778532609,0.8043478260869565,0.6956521739130435,0.8648648648648649
manual,8,0.05,seed_person_t025,diagnostic_stable_multimode80,46,0.09782608695652174,0.8573369565217391,0.7142705502717391,0.75,0.6739130434782609,0.8985507246376812
manual,8,0.05,seed_type4,diagnostic_stable100,46,0.021739130434782608,0.5309103260869565,0.35713527513586957,0.2826086956521739,0.2608695652173913,0.9230769230769231
manual,8,0.05,seed_type4,diagnostic_stable80,46,0.10869565217391304,0.897078804347826,0.7258937669836957,0.782608695652174,0.6739130434782609,0.8611111111111112
manual,8,0.05,seed_type4,diagnostic_stable_multimode80,46,0.09782608695652174,0.842391304347826,0.6984544836956522,0.717391304347826,0.6413043478260869,0.8939393939393939
manual,8,0.05,selected_mixture,diagnostic_stable100,46,0.021739130434782608,0.3685461956521739,0.2100564707880435,0.13043478260869565,0.10869565217391304,0.8333333333333334
manual,8,0.05,selected_mixture,diagnostic_stable80,46,0.10869565217391304,0.7109375,0.46035368546195654,0.41304347826086957,0.31521739130434784,0.7631578947368421
manual,8,0.05,selected_mixture,diagnostic_stable_multimode80,46,0.09782608695652174,0.6681385869565217,0.451713230298913,0.358695652173913,0.29347826086956524,0.8181818181818182
manual,8,0.1,seed_context_t025,diagnostic_stable100,46,0.13043478260869565,0.6932744565217391,0.436767578125,0.44565217391304346,0.32608695652173914,0.7317073170731707
manual,8,0.1,seed_context_t025,diagnostic_stable80,46,0.29347826086956524,0.9014945652173914,0.545304008152174,0.7934782608695652,0.5,0.6301369863013698
manual,8,0.1,seed_context_t025,diagnostic_stable_multimode80,46,0.17391304347826086,0.6742527173913043,0.5069102411684783,0.5543478260869565,0.43478260869565216,0.7843137254901961
manual,8,0.1,seed_equal,diagnostic_stable100,46,0.13043478260869565,0.7099184782608695,0.45170261548913043,0.4782608695652174,0.34782608695652173,0.7272727272727273
manual,8,0.1,seed_equal,diagnostic_stable80,46,0.29347826086956524,0.9021739130434783,0.5491890285326086,0.8152173913043478,0.5217391304347826,0.64
manual,8,0.1,seed_equal,diagnostic_stable_multimode80,46,0.17391304347826086,0.6790081521739131,0.5117293648097826,0.5978260869565217,0.4673913043478261,0.7818181818181819
manual,8,0.1,seed_person_t025,diagnostic_stable100,46,0.13043478260869565,0.6769701086956522,0.4200598675271739,0.41304347826086957,0.29347826086956524,0.7105263157894737
manual,8,0.1,seed_person_t025,diagnostic_stable80,46,0.29347826086956524,0.9011548913043478,0.5448475713315217,0.8043478260869565,0.5108695652173914,0.6351351351351351
manual,8,0.1,seed_person_t025,diagnostic_stable_multimode80,46,0.17391304347826086,0.6711956521739131,0.5093622622282609,0.5543478260869565,0.44565217391304346,0.803921568627451
manual,8,0.1,seed_type4,diagnostic_stable100,46,0.13043478260869565,0.6440217391304348,0.39013671875,0.391304347826087,0.2717391304347826,0.6944444444444444
manual,8,0.1,seed_type4,diagnostic_stable80,46,0.29347826086956524,0.8974184782608695,0.5422894021739131,0.782608695652174,0.4891304347826087,0.625
manual,8,0.1,seed_type4,diagnostic_stable_multimode80,46,0.17391304347826086,0.6521739130434783,0.503035835597826,0.5108695652173914,0.41304347826086957,0.8085106382978723
manual,8,0.1,selected_mixture,diagnostic_stable100,46,0.13043478260869565,0.4704483695652174,0.2154487941576087,0.22826086956521738,0.11956521739130435,0.5238095238095238
manual,8,0.1,selected_mixture,diagnostic_stable80,46,0.29347826086956524,0.7493206521739131,0.35506538722826086,0.4673913043478261,0.21739130434782608,0.46511627906976744
manual,8,0.1,selected_mixture,diagnostic_stable_multimode80,46,0.17391304347826086,0.5370244565217391,0.335990574048913,0.1956521739130435,0.14130434782608695,0.7222222222222222
manual,8,0.2,seed_context_t025,diagnostic_stable100,46,0.21739130434782608,0.7713994565217391,0.4449409816576087,0.5652173913043478,0.358695652173913,0.6346153846153846
