code,image_id,condition,N,k,local_radius,ospa_uncovered,local_uncovered,ospa_covered_but_local_uncovered,local_covered_but_ospa_uncovered
B6ByNegPMKs-10,B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,semi,24,12,9.0,0.03312629399585921,0.062111801242236024,0.028985507246376815,0.0
B6ByNegPMKs-10,B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,semi,24,12,12.0,0.03312629399585921,0.007763975155279504,0.0,0.025362318840579705
B6ByNegPMKs-10,B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,semi,24,16,6.0,0.015316205533596838,0.12104743083003955,0.10573122529644272,0.0
B6ByNegPMKs-10,B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,semi,24,16,9.0,0.015316205533596838,0.031455862977602105,0.016139657444005265,0.0
B6ByNegPMKs-10,B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,semi,24,16,12.0,0.015316205533596838,0.000823451910408432,0.0,0.014492753623188406
B6ByNegPMKs-11,B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,manual,24,2,6.0,0.28870223978919635,0.48978919631093537,0.20108695652173902,0.0
B6ByNegPMKs-11,B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,manual,24,2,9.0,0.28870223978919635,0.3010540184453228,0.012351778656126466,0.0
B6ByNegPMKs-11,B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,manual,24,2,12.0,0.28870223978919635,0.28870223978919635,0.0,0.0
B6ByNegPMKs-11,B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,manual,24,4,6.0,0.11907114624505928,0.28827875023527194,0.16920760399021267,0.0
B6ByNegPMKs-11,B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,manual,24,4,9.0,0.11907114624505928,0.1227837380011293,0.0037125917560700133,0.0
B6ByNegPMKs-11,B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,manual,24,4,12.0,0.11907114624505928,0.11907114624505928,0.0,0.0
B6ByNegPMKs-11,B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,manual,24,8,6.0,0.05042763412833409,0.15136958153346633,0.10094194740513224,0.0
B6ByNegPMKs-11,B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,manual,24,8,9.0,0.05042763412833409,0.05048423051350768,5.6596385173586505e-05,0.0
B6ByNegPMKs-11,B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,manual,24,8,12.0,0.05042763412833409,0.05042763412833409,0.0,0.0
B6ByNegPMKs-11,B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,manual,24,12,6.0,0.04211535872930408,0.10649450327569858,0.0643791445463945,0.0
B6ByNegPMKs-11,B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,manual,24,12,9.0,0.04211535872930408,0.04211538954606662,3.081676253763321e-08,0.0
B6ByNegPMKs-11,B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,manual,24,12,12.0,0.04211535872930408,0.04211535872930408,0.0,0.0
B6ByNegPMKs-11,B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,manual,24,16,6.0,0.04166802633958375,0.08936671194377481,0.04769868560419106,0.0
B6ByNegPMKs-11,B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,manual,24,16,9.0,0.04166802633958375,0.04166802633958375,0.0,0.0
B6ByNegPMKs-11,B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,manual,24,16,12.0,0.04166802633958375,0.04166802633958375,0.0,0.0
B6ByNegPMKs-18,B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,manual,5,2,6.0,0.2,0.36666666666666664,0.16666666666666663,0.0
B6ByNegPMKs-18,B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,manual,5,2,9.0,0.2,0.2,0.0,0.0
B6ByNegPMKs-18,B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,manual,5,2,12.0,0.2,0.2,0.0,0.0
B6ByNegPMKs-18,B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,manual,5,4,6.0,0.2,0.2,0.0,0.0
B6ByNegPMKs-18,B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,manual,5,4,9.0,0.2,0.2,0.0,0.0
B6ByNegPMKs-18,B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,manual,5,4,12.0,0.2,0.2,0.0,0.0
B6ByNegPMKs-18,B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,semi,4,2,6.0,0.0,0.25,0.25,0.0
B6ByNegPMKs-18,B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,semi,4,2,9.0,0.0,0.0,0.0,0.0
B6ByNegPMKs-18,B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,semi,4,2,12.0,0.0,0.0,0.0,0.0
B6ByNegPMKs-21,B6ByNegPMKs_7018ca302c584d0d85024187f3568460,manual,5,2,6.0,0.0,0.2,0.2,0.0
B6ByNegPMKs-21,B6ByNegPMKs_7018ca302c584d0d85024187f3568460,manual,5,2,9.0,0.0,0.2,0.2,0.0
B6ByNegPMKs-21,B6ByNegPMKs_7018ca302c584d0d85024187f3568460,manual,5,2,12.0,0.0,0.03333333333333333,0.03333333333333333,0.0
B6ByNegPMKs-21,B6ByNegPMKs_7018ca302c584d0d85024187f3568460,manual,5,4,6.0,0.0,0.2,0.2,0.0
B6ByNegPMKs-21,B6ByNegPMKs_7018ca302c584d0d85024187f3568460,manual,5,4,9.0,0.0,0.2,0.2,0.0
B6ByNegPMKs-21,B6ByNegPMKs_7018ca302c584d0d85024187f3568460,manual,5,4,12.0,0.0,0.0,0.0,0.0
B6ByNegPMKs-21,B6ByNegPMKs_7018ca302c584d0d85024187f3568460,semi,4,2,6.0,0.25,0.6666666666666667,0.41666666666666674,0.0
