image_id,condition,code,id_a,id_b,worker_a,worker_b,n_a,n_b,legacy,stable,delta,local_max_stable,cardinality_floor
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,7y3sRwLe3Va-04,59650fcf724f11bc,84b0461c974c6f08,W006,W010,8,8,1.027760151333638,1.0277601513338126,1.745270594710746e-13,2.4275901702358613,0.0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,7y3sRwLe3Va-04,59650fcf724f11bc,b36f0dc2bb36d9b6,W006,W011,8,8,1.1968799297917534,1.1968799297918475,9.414691248821327e-14,1.7397959544592676,0.0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,7y3sRwLe3Va-04,59650fcf724f11bc,e43b14b1a0c01b0f,W006,W012,8,8,1.7565653334831506,1.7565653334832438,9.325873406851315e-14,3.2933387356989305,0.0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,7y3sRwLe3Va-04,59650fcf724f11bc,a73527487e1ba30e,W006,W013,8,8,0.0,0.0,0.0,0.0,0.0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,7y3sRwLe3Va-04,59650fcf724f11bc,9bf982556e9845da,W006,W014,8,8,0.0,0.0,0.0,0.0,0.0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,7y3sRwLe3Va-04,59650fcf724f11bc,6c26d77b8fe5e104,W006,W015,8,8,0.2823401615707242,0.2823401615707195,-4.718447854656915e-15,2.258721292565756,0.0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,7y3sRwLe3Va-04,59650fcf724f11bc,cbfa1db9b3b7ec4d,W006,W017,8,8,0.2823401615707242,0.2823401615707195,-4.718447854656915e-15,2.258721292565756,0.0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,7y3sRwLe3Va-04,59650fcf724f11bc,b86432f92a43add3,W006,W018,8,8,0.7753688735386317,0.7753688735390714,4.39648317751562e-13,2.5559653051456124,0.0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,7y3sRwLe3Va-04,59650fcf724f11bc,9130e3a10b708f2c,W006,W021,8,8,1.1968799297917534,1.1968799297918475,9.414691248821327e-14,1.7397959544592676,0.0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,7y3sRwLe3Va-04,59650fcf724f11bc,2099f09dd0969482,W006,W027,8,8,1.1113281176551535,1.1113281176555354,3.8191672047105385e-13,2.234636052675065,0.0
