condition,information,metric,human_scene,n,groups,delta,lo,hi
semi,B,same_topology_median_d,复合／待定,3,3,0.0156238013196,0.00295554524421,0.0408215676352
semi,B,same_topology_median_d,工作与学习,1,1,0.0328809861596,,
semi,B,same_topology_median_d,起居与休闲,1,1,0.018023738727,,
semi,B,same_topology_median_d,通行与连接,3,3,0.056823139163,0.000320787125542,0.166693231456
semi,B,topology_disagreement,储藏与家务辅助,1,1,-0.0147498375569,,
semi,B,topology_disagreement,卧室,7,4,0.061552009839,0.00748960286376,0.26724137931
semi,B,topology_disagreement,卫浴,1,1,-0.00820242257742,,
semi,B,topology_disagreement,厨房与用餐,1,1,0.614275885793,,
semi,B,topology_disagreement,复合／待定,3,3,0.02054766546,0,0.0514285714286
semi,B,topology_disagreement,工作与学习,1,1,0.0151121794872,,
semi,B,topology_disagreement,起居与休闲,1,1,0,,
semi,B,topology_disagreement,通行与连接,3,3,-0.0103476283301,-0.0310428849903,0
semi,Q,fixed_future_cov,储藏与家务辅助,1,1,-0.0250877192982,,
semi,Q,fixed_future_cov,卧室,7,4,0.00440424421175,-0.000965852049194,0.0178294848641
semi,Q,fixed_future_cov,卫浴,1,1,0.00929990842491,,
semi,Q,fixed_future_cov,厨房与用餐,1,1,0.0125087214373,,
semi,Q,fixed_future_cov,复合／待定,3,3,-0.0231835511982,-0.0403513071895,0
semi,Q,fixed_future_cov,工作与学习,1,1,-0.0188446350763,,
semi,Q,fixed_future_cov,起居与休闲,1,1,-0.0417389092389,,
semi,Q,fixed_future_cov,通行与连接,3,3,-0.0458003244033,-0.095637254902,0.00938415750916
semi,Q,mode_entropy,储藏与家务辅助,1,1,0.0292105263158,,
semi,Q,mode_entropy,卧室,7,4,-0.00761211538965,-0.0322467320261,-0.000237170237174
semi,Q,mode_entropy,卫浴,1,1,-0.0328152472527,,
semi,Q,mode_entropy,厨房与用餐,1,1,-0.00537414965986,,
semi,Q,mode_entropy,复合／待定,3,3,0.0362214052288,0,0.0725776143791
semi,Q,mode_entropy,工作与学习,1,1,0.0304888344227,,
semi,Q,mode_entropy,起居与休闲,1,1,0.0488242775743,,
semi,Q,mode_entropy,通行与连接,3,3,0.0874037064969,-0.00846153846154,0.20045751634
semi,Q,same_topology_median_d,储藏与家务辅助,1,1,0.00118653152204,,
semi,Q,same_topology_median_d,卧室,7,4,0.00566978606642,0.00475202709016,0.0079585443497
semi,Q,same_topology_median_d,卫浴,1,1,0.00722168535818,,
semi,Q,same_topology_median_d,厨房与用餐,1,1,0.00776163151543,,
semi,Q,same_topology_median_d,复合／待定,3,3,0.00948507231588,0.00405861240624,0.0203089046752
semi,Q,same_topology_median_d,工作与学习,1,1,0.0120016938133,,
semi,Q,same_topology_median_d,起居与休闲,1,1,0.0068474051201,,
semi,Q,same_topology_median_d,通行与连接,3,3,0.0278827720067,0.00630473953414,0.0701317139608
semi,Q,topology_disagreement,储藏与家务辅助,1,1,0.00210526315789,,
semi,Q,topology_disagreement,卧室,7,4,0.00805509870764,-0.00965575192068,0.0152960235895
semi,Q,topology_disagreement,卫浴,1,1,-0.0263487484737,,
semi,Q,topology_disagreement,厨房与用餐,1,1,-0.00537414965986,,
semi,Q,topology_disagreement,复合／待定,3,3,-0.00834422657953,-0.0378022875817,0.0127696078431
semi,Q,topology_disagreement,工作与学习,1,1,-0.0293858932462,,
semi,Q,topology_disagreement,起居与休闲,1,1,0,,
semi,Q,topology_disagreement,通行与连接,3,3,0.00389796659403,0,0.0116938997821
semi,S,fixed_future_cov,储藏与家务辅助,1,1,-0.00721456994184,,
semi,S,fixed_future_cov,卧室,7,4,-0.00495989159401,-0.00976726410651,0.00656351750101
semi,S,fixed_future_cov,卫浴,1,1,0.00970896464646,,
semi,S,fixed_future_cov,厨房与用餐,1,1,0.0148448993687,,
semi,S,fixed_future_cov,复合／待定,3,3,0.000887260887267,-0.0110648148148,0.0137265974766
