scene,label,field,n_images,n_buildings,median,q25,q75
起居与休闲,中等,da3_log_shape_face_variation,17,2,0.424903628138,0.35736040564,0.515977213223
通行与连接,简单,hohonet_rotation,3,1,0.00322501941601,0.00306085650055,0.00339507958481
通行与连接,简单,bi_enclosed_rotation,3,1,0.00340419369192,0.00291607789259,0.00451541860951
通行与连接,简单,bi_extended_rotation,3,1,0.00340076681892,0.00290663077088,0.00460775471547
通行与连接,简单,ulayout_rotation,3,1,0.00120653167955,0.00109409163465,0.00140665465681
通行与连接,简单,hohonet_points,3,1,12,10,12
通行与连接,简单,hohonet_topology_change,3,1,0,0,0
通行与连接,简单,hohonet_post_displacement,3,1,0.522361858576,0.484720252015,0.602495885554
通行与连接,简单,bi_enclosed_points,3,1,8,8,8
通行与连接,简单,bi_enclosed_topology_change,3,1,0,0,0
通行与连接,简单,bi_enclosed_post_displacement,3,1,0.660936844752,0.556745786601,0.71234584642
通行与连接,简单,bi_extended_points,3,1,8,8,8.25
通行与连接,简单,bi_extended_topology_change,3,1,0,0,0.5
通行与连接,简单,bi_extended_post_displacement,3,1,0.660362745896,0.556332307144,0.712415961285
通行与连接,简单,hohonet_vs_bi_enclosed,3,1,0.0305130116061,0.0256352127483,0.0347354398784
通行与连接,简单,hohonet_vs_bi_extended,3,1,0.0297281443808,0.0251780867598,0.034236498022
通行与连接,简单,hohonet_vs_ulayout,3,1,0.0223243835701,0.0185341426737,0.0233171111163
通行与连接,简单,bi_enclosed_vs_bi_extended,3,1,0.000597605592185,0.000503066790954,0.000763200598689
通行与连接,简单,bi_enclosed_vs_ulayout,3,1,0.0211974319428,0.0187343244476,0.0212337492126
通行与连接,简单,bi_extended_vs_ulayout,3,1,0.0205965098349,0.0182555184274,0.0208034825074
通行与连接,简单,bi_height_disagreement,3,1,1.31348621473,1.19973815977,1.35372931883
通行与连接,简单,hohonet_warning_phases,3,1,0,0,0
通行与连接,简单,da3_confidence_median,3,1,1.62540113926,1.53953969479,1.63960748911
通行与连接,简单,da3_confidence_face_variation,3,1,0.9775721541,0.824721743516,1.56881011226
通行与连接,简单,da3_log_shape_spread_median,3,1,0.714337021112,0.601968817412,0.912505790591
通行与连接,简单,da3_log_shape_face_variation,3,1,0.43337460438,0.42920717147,0.453607536615
