replicate,method,features,k,ari,n_workers
69,imposed_rank_strata,corner_pair_count,3,-0.026785714285714284,23
69,imposed_rank_strata,log_active_time,2,0.3752066115702479,22
69,imposed_rank_strata,log_active_time,3,0.3440993788819876,22
69,diagonal_Gaussian_mixture,peer_corner_time,2,0.06779661016949153,22
69,diagonal_Gaussian_mixture,peer_corner_time,3,0.01057422031856512,22
70,imposed_rank_strata,corner_pair_count,2,0.39807162534435264,23
70,imposed_rank_strata,corner_pair_count,3,0.1038961038961039,23
70,imposed_rank_strata,log_active_time,2,1.0,22
70,imposed_rank_strata,log_active_time,3,0.7540372670807454,22
70,diagonal_Gaussian_mixture,peer_corner_time,2,-0.06091370558375635,22
70,diagonal_Gaussian_mixture,peer_corner_time,3,0.19992108378271733,22
71,imposed_rank_strata,corner_pair_count,2,0.39807162534435264,23
71,imposed_rank_strata,corner_pair_count,3,0.19724025974025974,23
71,imposed_rank_strata,log_active_time,2,1.0,22
71,imposed_rank_strata,log_active_time,3,0.5080745341614907,22
71,diagonal_Gaussian_mixture,peer_corner_time,2,-0.0639488409272582,22
71,diagonal_Gaussian_mixture,peer_corner_time,3,0.02959217814788654,22
72,imposed_rank_strata,corner_pair_count,2,0.049586776859504134,23
72,imposed_rank_strata,corner_pair_count,3,0.2159090909090909,23
72,imposed_rank_strata,log_active_time,2,0.6528925619834711,22
72,imposed_rank_strata,log_active_time,3,0.5080745341614907,22
72,diagonal_Gaussian_mixture,peer_corner_time,2,0.25259792166266987,22
72,diagonal_Gaussian_mixture,peer_corner_time,3,0.18600989653621233,22
73,imposed_rank_strata,corner_pair_count,2,0.39807162534435264,23
73,imposed_rank_strata,corner_pair_count,3,0.17857142857142858,23
73,imposed_rank_strata,log_active_time,2,1.0,22
73,imposed_rank_strata,log_active_time,3,0.7540372670807454,22
73,diagonal_Gaussian_mixture,peer_corner_time,2,-0.04610951008645533,22
73,diagonal_Gaussian_mixture,peer_corner_time,3,0.028353326063249727,22
74,imposed_rank_strata,corner_pair_count,2,0.39807162534435264,23
74,imposed_rank_strata,corner_pair_count,3,0.19724025974025974,23
74,imposed_rank_strata,log_active_time,2,1.0,22
74,imposed_rank_strata,log_active_time,3,0.7540372670807454,22
74,diagonal_Gaussian_mixture,peer_corner_time,2,0.03013945119208277,22
74,diagonal_Gaussian_mixture,peer_corner_time,3,0.24736842105263157,22
75,imposed_rank_strata,corner_pair_count,2,0.049586776859504134,23
75,imposed_rank_strata,corner_pair_count,3,0.1599025974025974,23
75,imposed_rank_strata,log_active_time,2,1.0,22
75,imposed_rank_strata,log_active_time,3,0.3440993788819876,22
75,diagonal_Gaussian_mixture,peer_corner_time,2,0.018306636155606407,22
75,diagonal_Gaussian_mixture,peer_corner_time,3,0.09190031152647975,22
76,imposed_rank_strata,corner_pair_count,2,-0.029614325068870524,23
76,imposed_rank_strata,corner_pair_count,3,0.12256493506493507,23
76,imposed_rank_strata,log_active_time,2,1.0,22
76,imposed_rank_strata,log_active_time,3,0.5080745341614907,22
76,diagonal_Gaussian_mixture,peer_corner_time,2,-0.1001849050260548,22
76,diagonal_Gaussian_mixture,peer_corner_time,3,-0.08697889861039629,22
77,imposed_rank_strata,corner_pair_count,2,0.049586776859504134,23
77,imposed_rank_strata,corner_pair_count,3,0.02922077922077922,23
77,imposed_rank_strata,log_active_time,2,1.0,22
77,imposed_rank_strata,log_active_time,3,0.7540372670807454,22
77,diagonal_Gaussian_mixture,peer_corner_time,2,0.22972813934329764,22
77,diagonal_Gaussian_mixture,peer_corner_time,3,-0.031393888656341566,22
78,imposed_rank_strata,corner_pair_count,2,0.39807162534435264,23
78,imposed_rank_strata,corner_pair_count,3,0.1599025974025974,23
78,imposed_rank_strata,log_active_time,2,0.6528925619834711,22
78,imposed_rank_strata,log_active_time,3,0.5080745341614907,22
78,diagonal_Gaussian_mixture,peer_corner_time,2,0.022222222222222223,22
78,diagonal_Gaussian_mixture,peer_corner_time,3,0.0065772830761447005,22
79,imposed_rank_strata,corner_pair_count,2,0.39807162534435264,23
79,imposed_rank_strata,corner_pair_count,3,0.1038961038961039,23
79,imposed_rank_strata,log_active_time,2,0.6528925619834711,22
79,imposed_rank_strata,log_active_time,3,0.5080745341614907,22
79,diagonal_Gaussian_mixture,peer_corner_time,2,-0.06451612903225806,22
79,diagonal_Gaussian_mixture,peer_corner_time,3,-0.007456387169386606,22
80,imposed_rank_strata,corner_pair_count,2,0.1921487603305785,23
80,imposed_rank_strata,corner_pair_count,3,0.1599025974025974,23
80,imposed_rank_strata,log_active_time,2,1.0,22
80,imposed_rank_strata,log_active_time,3,0.3440993788819876,22
80,diagonal_Gaussian_mixture,peer_corner_time,2,0.08839779005524862,22
80,diagonal_Gaussian_mixture,peer_corner_time,3,-0.07968337730870713,22
81,imposed_rank_strata,corner_pair_count,2,0.1921487603305785,23
81,imposed_rank_strata,corner_pair_count,3,0.17857142857142858,23
81,imposed_rank_strata,log_active_time,2,1.0,22
81,imposed_rank_strata,log_active_time,3,0.3440993788819876,22
81,diagonal_Gaussian_mixture,peer_corner_time,2,0.054385964912280704,22
81,diagonal_Gaussian_mixture,peer_corner_time,3,-0.008429926238145416,22
82,imposed_rank_strata,corner_pair_count,2,0.39807162534435264,23
82,imposed_rank_strata,corner_pair_count,3,0.19724025974025974,23
82,imposed_rank_strata,log_active_time,2,1.0,22
82,imposed_rank_strata,log_active_time,3,0.7540372670807454,22
82,diagonal_Gaussian_mixture,peer_corner_time,2,0.26435877261998425,22
82,diagonal_Gaussian_mixture,peer_corner_time,3,0.25643776824034337,22
83,imposed_rank_strata,corner_pair_count,2,0.39807162534435264,23
83,imposed_rank_strata,corner_pair_count,3,0.3092532467532468,23
83,imposed_rank_strata,log_active_time,2,1.0,22
83,imposed_rank_strata,log_active_time,3,0.7540372670807454,22
83,diagonal_Gaussian_mixture,peer_corner_time,2,-0.047619047619047616,22
83,diagonal_Gaussian_mixture,peer_corner_time,3,-0.008809577592048791,22
84,imposed_rank_strata,corner_pair_count,2,0.1921487603305785,23
84,imposed_rank_strata,corner_pair_count,3,0.14123376623376624,23
84,imposed_rank_strata,log_active_time,2,0.6528925619834711,22
84,imposed_rank_strata,log_active_time,3,0.5080745341614907,22
84,diagonal_Gaussian_mixture,peer_corner_time,2,-0.0891089108910891,22
84,diagonal_Gaussian_mixture,peer_corner_time,3,-0.01762114537444934,22
85,imposed_rank_strata,corner_pair_count,2,0.1921487603305785,23
85,imposed_rank_strata,corner_pair_count,3,0.1038961038961039,23
85,imposed_rank_strata,log_active_time,2,1.0,22
85,imposed_rank_strata,log_active_time,3,0.7540372670807454,22
85,diagonal_Gaussian_mixture,peer_corner_time,2,0.031446540880503145,22
85,diagonal_Gaussian_mixture,peer_corner_time,3,0.26901662327258163,22
86,imposed_rank_strata,corner_pair_count,2,0.39807162534435264,23
86,imposed_rank_strata,corner_pair_count,3,0.19724025974025974,23
86,imposed_rank_strata,log_active_time,2,1.0,22
86,imposed_rank_strata,log_active_time,3,0.3440993788819876,22
86,diagonal_Gaussian_mixture,peer_corner_time,2,0.02531645569620253,22
86,diagonal_Gaussian_mixture,peer_corner_time,3,0.006490459806068189,22
87,imposed_rank_strata,corner_pair_count,2,0.1921487603305785,23
87,imposed_rank_strata,corner_pair_count,3,0.19724025974025974,23
87,imposed_rank_strata,log_active_time,2,1.0,22
87,imposed_rank_strata,log_active_time,3,0.5080745341614907,22
87,diagonal_Gaussian_mixture,peer_corner_time,2,0.1461187214611872,22
87,diagonal_Gaussian_mixture,peer_corner_time,3,-0.04188144329896907,22
88,imposed_rank_strata,corner_pair_count,2,0.1921487603305785,23
88,imposed_rank_strata,corner_pair_count,3,0.1038961038961039,23
88,imposed_rank_strata,log_active_time,2,1.0,22
88,imposed_rank_strata,log_active_time,3,0.5080745341614907,22
88,diagonal_Gaussian_mixture,peer_corner_time,2,-0.034482758620689655,22
88,diagonal_Gaussian_mixture,peer_corner_time,3,0.013560083907701529,22
89,imposed_rank_strata,corner_pair_count,2,0.049586776859504134,23
89,imposed_rank_strata,corner_pair_count,3,0.1599025974025974,23
89,imposed_rank_strata,log_active_time,2,0.6528925619834711,22
89,imposed_rank_strata,log_active_time,3,0.5080745341614907,22
89,diagonal_Gaussian_mixture,peer_corner_time,2,0.018306636155606407,22
89,diagonal_Gaussian_mixture,peer_corner_time,3,0.022542595019659238,22
90,imposed_rank_strata,corner_pair_count,2,0.39807162534435264,23
90,imposed_rank_strata,corner_pair_count,3,0.19724025974025974,23
90,imposed_rank_strata,log_active_time,2,1.0,22
90,imposed_rank_strata,log_active_time,3,0.5080745341614907,22
90,diagonal_Gaussian_mixture,peer_corner_time,2,0.1461187214611872,22
90,diagonal_Gaussian_mixture,peer_corner_time,3,0.0038008917476792634,22
91,imposed_rank_strata,corner_pair_count,2,0.39807162534435264,23
91,imposed_rank_strata,corner_pair_count,3,0.19724025974025974,23
91,imposed_rank_strata,log_active_time,2,1.0,22
91,imposed_rank_strata,log_active_time,3,0.36459627329192545,22
91,diagonal_Gaussian_mixture,peer_corner_time,2,0.1742627345844504,22
91,diagonal_Gaussian_mixture,peer_corner_time,3,0.27195819855685494,22
92,imposed_rank_strata,corner_pair_count,2,0.39807162534435264,23
92,imposed_rank_strata,corner_pair_count,3,0.010551948051948052,23
92,imposed_rank_strata,log_active_time,2,1.0,22
92,imposed_rank_strata,log_active_time,3,0.5080745341614907,22
92,diagonal_Gaussian_mixture,peer_corner_time,2,0.06572295247724974,22
92,diagonal_Gaussian_mixture,peer_corner_time,3,0.029411764705882353,22
93,imposed_rank_strata,corner_pair_count,2,0.39807162534435264,23
93,imposed_rank_strata,corner_pair_count,3,0.1038961038961039,23
93,imposed_rank_strata,log_active_time,2,1.0,22
93,imposed_rank_strata,log_active_time,3,0.5080745341614907,22
93,diagonal_Gaussian_mixture,peer_corner_time,2,0.054385964912280704,22
93,diagonal_Gaussian_mixture,peer_corner_time,3,0.04686376197145777,22
94,imposed_rank_strata,corner_pair_count,2,0.1921487603305785,23
94,imposed_rank_strata,corner_pair_count,3,0.1038961038961039,23
94,imposed_rank_strata,log_active_time,2,0.6528925619834711,22
94,imposed_rank_strata,log_active_time,3,0.36459627329192545,22
94,diagonal_Gaussian_mixture,peer_corner_time,2,-0.10770933234968647,22
94,diagonal_Gaussian_mixture,peer_corner_time,3,0.029921259842519685,22
95,imposed_rank_strata,corner_pair_count,2,0.1921487603305785,23
95,imposed_rank_strata,corner_pair_count,3,0.1038961038961039,23
95,imposed_rank_strata,log_active_time,2,1.0,22
95,imposed_rank_strata,log_active_time,3,0.3440993788819876,22
95,diagonal_Gaussian_mixture,peer_corner_time,2,0.09126671911880409,22
95,diagonal_Gaussian_mixture,peer_corner_time,3,0.07708991286480728,22
96,imposed_rank_strata,corner_pair_count,2,0.049586776859504134,23
96,imposed_rank_strata,corner_pair_count,3,0.1599025974025974,23
96,imposed_rank_strata,log_active_time,2,0.6528925619834711,22
96,imposed_rank_strata,log_active_time,3,0.5080745341614907,22
96,diagonal_Gaussian_mixture,peer_corner_time,2,0.054385964912280704,22
96,diagonal_Gaussian_mixture,peer_corner_time,3,-0.002088688946015424,22
97,imposed_rank_strata,corner_pair_count,2,0.6673553719008265,23
97,imposed_rank_strata,corner_pair_count,3,0.38392857142857145,23
97,imposed_rank_strata,log_active_time,2,1.0,22
97,imposed_rank_strata,log_active_time,3,0.5080745341614907,22
97,diagonal_Gaussian_mixture,peer_corner_time,2,-0.03773584905660377,22
97,diagonal_Gaussian_mixture,peer_corner_time,3,0.05813494673155333,22
98,imposed_rank_strata,corner_pair_count,2,0.39807162534435264,23
98,imposed_rank_strata,corner_pair_count,3,0.19724025974025974,23
98,imposed_rank_strata,log_active_time,2,1.0,22
98,imposed_rank_strata,log_active_time,3,0.3440993788819876,22
98,diagonal_Gaussian_mixture,peer_corner_time,2,0.23797881010594946,22
98,diagonal_Gaussian_mixture,peer_corner_time,3,0.3455589586523737,22
99,imposed_rank_strata,corner_pair_count,2,-0.029614325068870524,23
99,imposed_rank_strata,corner_pair_count,3,-0.06412337662337662,23
99,imposed_rank_strata,log_active_time,2,0.6528925619834711,22
99,imposed_rank_strata,log_active_time,3,0.5080745341614907,22
99,diagonal_Gaussian_mixture,peer_corner_time,2,0.20481927710843373,22
99,diagonal_Gaussian_mixture,peer_corner_time,3,0.013530083294575283,22
100,imposed_rank_strata,corner_pair_count,2,0.39807162534435264,23
100,imposed_rank_strata,corner_pair_count,3,0.19724025974025974,23
100,imposed_rank_strata,log_active_time,2,1.0,22
100,imposed_rank_strata,log_active_time,3,0.5080745341614907,22
100,diagonal_Gaussian_mixture,peer_corner_time,2,0.11053227633069082,22
100,diagonal_Gaussian_mixture,peer_corner_time,3,0.04553503668100177,22
101,imposed_rank_strata,corner_pair_count,2,-0.029614325068870524,23
101,imposed_rank_strata,corner_pair_count,3,0.010551948051948052,23
101,imposed_rank_strata,log_active_time,2,0.6528925619834711,22
101,imposed_rank_strata,log_active_time,3,0.36459627329192545,22
101,diagonal_Gaussian_mixture,peer_corner_time,2,-0.06370875995449374,22
101,diagonal_Gaussian_mixture,peer_corner_time,3,-0.01993790962400828,22
102,imposed_rank_strata,corner_pair_count,2,0.049586776859504134,23
102,imposed_rank_strata,corner_pair_count,3,0.2159090909090909,23
102,imposed_rank_strata,log_active_time,2,1.0,22
102,imposed_rank_strata,log_active_time,3,0.5080745341614907,22
102,diagonal_Gaussian_mixture,peer_corner_time,2,0.1716718960107575,22
102,diagonal_Gaussian_mixture,peer_corner_time,3,0.1951219512195122,22
103,imposed_rank_strata,corner_pair_count,2,0.39807162534435264,23
103,imposed_rank_strata,corner_pair_count,3,0.1038961038961039,23
103,imposed_rank_strata,log_active_time,2,0.6528925619834711,22
103,imposed_rank_strata,log_active_time,3,0.3440993788819876,22
103,diagonal_Gaussian_mixture,peer_corner_time,2,-0.1001849050260548,22
103,diagonal_Gaussian_mixture,peer_corner_time,3,0.0767536704730832,22
104,imposed_rank_strata,corner_pair_count,2,0.049586776859504134,23
104,imposed_rank_strata,corner_pair_count,3,0.1038961038961039,23
104,imposed_rank_strata,log_active_time,2,1.0,22
104,imposed_rank_strata,log_active_time,3,0.7540372670807454,22
104,diagonal_Gaussian_mixture,peer_corner_time,2,0.1461187214611872,22
104,diagonal_Gaussian_mixture,peer_corner_time,3,0.06847882906429692,22
105,imposed_rank_strata,corner_pair_count,2,0.39807162534435264,23
105,imposed_rank_strata,corner_pair_count,3,0.19724025974025974,23
105,imposed_rank_strata,log_active_time,2,1.0,22
105,imposed_rank_strata,log_active_time,3,0.5080745341614907,22
105,diagonal_Gaussian_mixture,peer_corner_time,2,-0.02115842369743454,22
105,diagonal_Gaussian_mixture,peer_corner_time,3,0.03802281368821293,22
106,imposed_rank_strata,corner_pair_count,2,0.39807162534435264,23
106,imposed_rank_strata,corner_pair_count,3,0.19724025974025974,23
106,imposed_rank_strata,log_active_time,2,1.0,22
106,imposed_rank_strata,log_active_time,3,0.5080745341614907,22
106,diagonal_Gaussian_mixture,peer_corner_time,2,0.22972813934329764,22
106,diagonal_Gaussian_mixture,peer_corner_time,3,0.0787456990928996,22
107,imposed_rank_strata,corner_pair_count,2,0.1921487603305785,23
107,imposed_rank_strata,corner_pair_count,3,0.02922077922077922,23
107,imposed_rank_strata,log_active_time,2,1.0,22
107,imposed_rank_strata,log_active_time,3,0.3440993788819876,22
107,diagonal_Gaussian_mixture,peer_corner_time,2,-0.06091370558375635,22
107,diagonal_Gaussian_mixture,peer_corner_time,3,-0.05268422807602534,22
108,imposed_rank_strata,corner_pair_count,2,0.39807162534435264,23
108,imposed_rank_strata,corner_pair_count,3,0.1599025974025974,23
108,imposed_rank_strata,log_active_time,2,0.6528925619834711,22
108,imposed_rank_strata,log_active_time,3,0.3440993788819876,22
108,diagonal_Gaussian_mixture,peer_corner_time,2,-0.047619047619047616,22
108,diagonal_Gaussian_mixture,peer_corner_time,3,0.052912508702715244,22
109,imposed_rank_strata,corner_pair_count,2,0.1921487603305785,23
109,imposed_rank_strata,corner_pair_count,3,0.1038961038961039,23
109,imposed_rank_strata,log_active_time,2,1.0,22
109,imposed_rank_strata,log_active_time,3,0.7540372670807454,22
109,diagonal_Gaussian_mixture,peer_corner_time,2,0.06572295247724974,22
109,diagonal_Gaussian_mixture,peer_corner_time,3,0.06391108023619312,22
110,imposed_rank_strata,corner_pair_count,2,0.39807162534435264,23
110,imposed_rank_strata,corner_pair_count,3,0.1599025974025974,23
110,imposed_rank_strata,log_active_time,2,0.6528925619834711,22
110,imposed_rank_strata,log_active_time,3,0.3440993788819876,22
110,diagonal_Gaussian_mixture,peer_corner_time,2,0.031446540880503145,22
110,diagonal_Gaussian_mixture,peer_corner_time,3,0.09390009606147935,22
111,imposed_rank_strata,corner_pair_count,2,-0.029614325068870524,23
111,imposed_rank_strata,corner_pair_count,3,0.02922077922077922,23
111,imposed_rank_strata,log_active_time,2,1.0,22
111,imposed_rank_strata,log_active_time,3,0.36459627329192545,22
111,diagonal_Gaussian_mixture,peer_corner_time,2,-0.0639488409272582,22
111,diagonal_Gaussian_mixture,peer_corner_time,3,-0.06263269639065817,22
112,imposed_rank_strata,corner_pair_count,2,-0.029614325068870524,23
112,imposed_rank_strata,corner_pair_count,3,0.02922077922077922,23
112,imposed_rank_strata,log_active_time,2,1.0,22
112,imposed_rank_strata,log_active_time,3,0.5900621118012422,22
112,diagonal_Gaussian_mixture,peer_corner_time,2,0.1461187214611872,22
112,diagonal_Gaussian_mixture,peer_corner_time,3,-0.027789934354485776,22
113,imposed_rank_strata,corner_pair_count,2,0.1921487603305785,23
113,imposed_rank_strata,corner_pair_count,3,0.02922077922077922,23
113,imposed_rank_strata,log_active_time,2,0.3752066115702479,22
113,imposed_rank_strata,log_active_time,3,0.5080745341614907,22
113,diagonal_Gaussian_mixture,peer_corner_time,2,-0.04392156862745098,22
113,diagonal_Gaussian_mixture,peer_corner_time,3,0.008956796628029505,22
114,imposed_rank_strata,corner_pair_count,2,0.1921487603305785,23
114,imposed_rank_strata,corner_pair_count,3,0.19724025974025974,23
114,imposed_rank_strata,log_active_time,2,0.6528925619834711,22
114,imposed_rank_strata,log_active_time,3,0.5080745341614907,22
114,diagonal_Gaussian_mixture,peer_corner_time,2,0.09221902017291066,22
114,diagonal_Gaussian_mixture,peer_corner_time,3,0.0435707928646055,22
115,imposed_rank_strata,corner_pair_count,2,0.1921487603305785,23
115,imposed_rank_strata,corner_pair_count,3,0.19724025974025974,23
115,imposed_rank_strata,log_active_time,2,1.0,22
115,imposed_rank_strata,log_active_time,3,0.3440993788819876,22
115,diagonal_Gaussian_mixture,peer_corner_time,2,-0.04430379746835443,22
115,diagonal_Gaussian_mixture,peer_corner_time,3,0.4072778166550035,22
116,imposed_rank_strata,corner_pair_count,2,0.1921487603305785,23
116,imposed_rank_strata,corner_pair_count,3,0.08522727272727272,23
116,imposed_rank_strata,log_active_time,2,0.3752066115702479,22
116,imposed_rank_strata,log_active_time,3,0.3440993788819876,22
116,diagonal_Gaussian_mixture,peer_corner_time,2,-0.014492753623188406,22
116,diagonal_Gaussian_mixture,peer_corner_time,3,0.09218207485978099,22
117,imposed_rank_strata,corner_pair_count,2,0.39807162534435264,23
117,imposed_rank_strata,corner_pair_count,3,0.2159090909090909,23
117,imposed_rank_strata,log_active_time,2,1.0,22
117,imposed_rank_strata,log_active_time,3,0.36459627329192545,22
117,diagonal_Gaussian_mixture,peer_corner_time,2,0.018306636155606407,22
117,diagonal_Gaussian_mixture,peer_corner_time,3,0.08144069740766231,22
118,imposed_rank_strata,corner_pair_count,2,0.6673553719008265,23
118,imposed_rank_strata,corner_pair_count,3,0.38392857142857145,23
118,imposed_rank_strata,log_active_time,2,1.0,22
118,imposed_rank_strata,log_active_time,3,0.7540372670807454,22
118,diagonal_Gaussian_mixture,peer_corner_time,2,0.26435877261998425,22
118,diagonal_Gaussian_mixture,peer_corner_time,3,0.014925373134328358,22
119,imposed_rank_strata,corner_pair_count,2,0.39807162534435264,23
119,imposed_rank_strata,corner_pair_count,3,0.3092532467532468,23
119,imposed_rank_strata,log_active_time,2,1.0,22
119,imposed_rank_strata,log_active_time,3,0.7540372670807454,22
119,diagonal_Gaussian_mixture,peer_corner_time,2,0.10204081632653061,22
119,diagonal_Gaussian_mixture,peer_corner_time,3,0.15146931719965429,22
120,imposed_rank_strata,corner_pair_count,2,0.1921487603305785,23
120,imposed_rank_strata,corner_pair_count,3,0.17857142857142858,23
120,imposed_rank_strata,log_active_time,2,1.0,22
120,imposed_rank_strata,log_active_time,3,0.3440993788819876,22
120,diagonal_Gaussian_mixture,peer_corner_time,2,-0.04054054054054054,22
120,diagonal_Gaussian_mixture,peer_corner_time,3,0.023218267086953178,22
121,imposed_rank_strata,corner_pair_count,2,0.1921487603305785,23
121,imposed_rank_strata,corner_pair_count,3,0.2159090909090909,23
121,imposed_rank_strata,log_active_time,2,0.6528925619834711,22
121,imposed_rank_strata,log_active_time,3,0.7540372670807454,22
121,diagonal_Gaussian_mixture,peer_corner_time,2,-0.0547945205479452,22
121,diagonal_Gaussian_mixture,peer_corner_time,3,0.06797020484171322,22
122,imposed_rank_strata,corner_pair_count,2,0.39807162534435264,23
122,imposed_rank_strata,corner_pair_count,3,0.19724025974025974,23
122,imposed_rank_strata,log_active_time,2,0.6528925619834711,22
122,imposed_rank_strata,log_active_time,3,0.3440993788819876,22
122,diagonal_Gaussian_mixture,peer_corner_time,2,-0.0639488409272582,22
122,diagonal_Gaussian_mixture,peer_corner_time,3,0.07990121883215168,22
123,imposed_rank_strata,corner_pair_count,2,0.049586776859504134,23
123,imposed_rank_strata,corner_pair_count,3,0.2159090909090909,23
123,imposed_rank_strata,log_active_time,2,0.6528925619834711,22
123,imposed_rank_strata,log_active_time,3,0.7540372670807454,22
123,diagonal_Gaussian_mixture,peer_corner_time,2,0.09533400469956362,22
123,diagonal_Gaussian_mixture,peer_corner_time,3,0.07166778298727394,22
124,imposed_rank_strata,corner_pair_count,2,0.6673553719008265,23
124,imposed_rank_strata,corner_pair_count,3,0.1599025974025974,23
124,imposed_rank_strata,log_active_time,2,1.0,22
124,imposed_rank_strata,log_active_time,3,0.3440993788819876,22
124,diagonal_Gaussian_mixture,peer_corner_time,2,0.1742627345844504,22
124,diagonal_Gaussian_mixture,peer_corner_time,3,0.22198937205299005,22
125,imposed_rank_strata,corner_pair_count,2,0.39807162534435264,23
125,imposed_rank_strata,corner_pair_count,3,0.2532467532467532,23
125,imposed_rank_strata,log_active_time,2,0.6528925619834711,22
125,imposed_rank_strata,log_active_time,3,0.7540372670807454,22
125,diagonal_Gaussian_mixture,peer_corner_time,2,-0.028037383177570093,22
125,diagonal_Gaussian_mixture,peer_corner_time,3,0.0820476858345021,22
126,imposed_rank_strata,corner_pair_count,2,0.6673553719008265,23
126,imposed_rank_strata,corner_pair_count,3,0.2532467532467532,23
126,imposed_rank_strata,log_active_time,2,0.6528925619834711,22
126,imposed_rank_strata,log_active_time,3,0.5080745341614907,22
126,diagonal_Gaussian_mixture,peer_corner_time,2,0.1461187214611872,22
126,diagonal_Gaussian_mixture,peer_corner_time,3,-0.06425571818811922,22
127,imposed_rank_strata,corner_pair_count,2,0.1921487603305785,23
127,imposed_rank_strata,corner_pair_count,3,0.38392857142857145,23
127,imposed_rank_strata,log_active_time,2,1.0,22
127,imposed_rank_strata,log_active_time,3,0.5080745341614907,22
127,diagonal_Gaussian_mixture,peer_corner_time,2,0.505130228887135,22
127,diagonal_Gaussian_mixture,peer_corner_time,3,-0.09003070931016403,22
128,imposed_rank_strata,corner_pair_count,2,0.049586776859504134,23
128,imposed_rank_strata,corner_pair_count,3,0.02922077922077922,23
128,imposed_rank_strata,log_active_time,2,1.0,22
128,imposed_rank_strata,log_active_time,3,0.5900621118012422,22
128,diagonal_Gaussian_mixture,peer_corner_time,2,-0.0639488409272582,22
128,diagonal_Gaussian_mixture,peer_corner_time,3,-0.06073888541014402,22
129,imposed_rank_strata,corner_pair_count,2,0.39807162534435264,23
129,imposed_rank_strata,corner_pair_count,3,0.19724025974025974,23
129,imposed_rank_strata,log_active_time,2,1.0,22
129,imposed_rank_strata,log_active_time,3,0.3440993788819876,22
129,diagonal_Gaussian_mixture,peer_corner_time,2,0.029411764705882353,22
129,diagonal_Gaussian_mixture,peer_corner_time,3,-0.0008252527336496802,22
130,imposed_rank_strata,corner_pair_count,2,0.1921487603305785,23
130,imposed_rank_strata,corner_pair_count,3,0.2159090909090909,23
130,imposed_rank_strata,log_active_time,2,1.0,22
130,imposed_rank_strata,log_active_time,3,0.7540372670807454,22
130,diagonal_Gaussian_mixture,peer_corner_time,2,0.044326241134751775,22
130,diagonal_Gaussian_mixture,peer_corner_time,3,-0.02472547451094466,22
131,imposed_rank_strata,corner_pair_count,2,0.1921487603305785,23
131,imposed_rank_strata,corner_pair_count,3,0.2159090909090909,23
131,imposed_rank_strata,log_active_time,2,0.6528925619834711,22
131,imposed_rank_strata,log_active_time,3,0.7540372670807454,22
131,diagonal_Gaussian_mixture,peer_corner_time,2,0.20481927710843373,22
131,diagonal_Gaussian_mixture,peer_corner_time,3,-0.011415168100078187,22
132,imposed_rank_strata,corner_pair_count,2,0.1921487603305785,23
132,imposed_rank_strata,corner_pair_count,3,0.12256493506493507,23
132,imposed_rank_strata,log_active_time,2,0.3752066115702479,22
132,imposed_rank_strata,log_active_time,3,0.22111801242236026,22
132,diagonal_Gaussian_mixture,peer_corner_time,2,0.01910828025477707,22
132,diagonal_Gaussian_mixture,peer_corner_time,3,0.01985743380855397,22
133,imposed_rank_strata,corner_pair_count,2,0.1921487603305785,23
133,imposed_rank_strata,corner_pair_count,3,0.02922077922077922,23
133,imposed_rank_strata,log_active_time,2,0.3752066115702479,22
133,imposed_rank_strata,log_active_time,3,0.3440993788819876,22
133,diagonal_Gaussian_mixture,peer_corner_time,2,-0.02734590362774286,22
133,diagonal_Gaussian_mixture,peer_corner_time,3,0.11206657420249654,22
134,imposed_rank_strata,corner_pair_count,2,0.39807162534435264,23
134,imposed_rank_strata,corner_pair_count,3,0.2532467532467532,23
134,imposed_rank_strata,log_active_time,2,1.0,22
134,imposed_rank_strata,log_active_time,3,0.5080745341614907,22
134,diagonal_Gaussian_mixture,peer_corner_time,2,-0.03773584905660377,22
134,diagonal_Gaussian_mixture,peer_corner_time,3,-0.030932594644506,22
135,imposed_rank_strata,corner_pair_count,2,0.39807162534435264,23
135,imposed_rank_strata,corner_pair_count,3,0.1038961038961039,23
135,imposed_rank_strata,log_active_time,2,1.0,22
135,imposed_rank_strata,log_active_time,3,0.5080745341614907,22
135,diagonal_Gaussian_mixture,peer_corner_time,2,0.11053227633069082,22
135,diagonal_Gaussian_mixture,peer_corner_time,3,0.17571059431524547,22
136,imposed_rank_strata,corner_pair_count,2,0.39807162534435264,23
136,imposed_rank_strata,corner_pair_count,3,0.3092532467532468,23
136,imposed_rank_strata,log_active_time,2,1.0,22
136,imposed_rank_strata,log_active_time,3,0.7540372670807454,22
136,diagonal_Gaussian_mixture,peer_corner_time,2,-0.0639488409272582,22
136,diagonal_Gaussian_mixture,peer_corner_time,3,0.13981042654028436,22
137,imposed_rank_strata,corner_pair_count,2,0.39807162534435264,23
137,imposed_rank_strata,corner_pair_count,3,0.2159090909090909,23
137,imposed_rank_strata,log_active_time,2,1.0,22
137,imposed_rank_strata,log_active_time,3,0.36459627329192545,22
137,diagonal_Gaussian_mixture,peer_corner_time,2,0.018306636155606407,22
137,diagonal_Gaussian_mixture,peer_corner_time,3,0.16868300153139357,22
138,imposed_rank_strata,corner_pair_count,2,-0.029614325068870524,23
138,imposed_rank_strata,corner_pair_count,3,0.1038961038961039,23
138,imposed_rank_strata,log_active_time,2,0.6528925619834711,22
