time_metric,time_value_seconds,within_stage_mode_percentile,stage,condition,base_task_id,building_id,worker_id,annotation_id,canonical_annotation_id,active_time_lane,lead_time_lane,active_time_source,active_time_source_file,timing_status,active_to_lead_ratio,assignment_provenance,worker_status_class,source_artifact,model_lane,status,outcome,term,log_scale_estimate,standard_error,ci_lower,ci_upper,multiplicative_ratio_exp_beta,p_value,n_rows,worker_count,task_count,building_count,covariance,formula,interpretation
lead_time,2632.34,0.975,C2-A-RP-B1,manual,jtcxE69GiFV_dce110162b244b2ab76a0804fc830a9e,jtcxE69GiFV,36,6746,adb6425249fda2c7f4fb,formal_frozen,label_studio_elapsed_observed,log,active_times_2026-08-07.jsonl,auxiliary_available,0.9444068775310179,not_recorded,observed_worker,analysis_results/c2a_rp_block1_reestimate_20260810_v1/c2a_rp_block1_canonical_submissions.csv,,,,,,,,,,,,,,,,,
lead_time,2612.387,0.993581514762516,P1,manual,q9vSo1VnCiC_c421f07780004647a7198c4ac5371e8a,q9vSo1VnCiC,36,4601,63f4a9a7ba3739c1,formal_frozen,label_studio_elapsed_observed,log,active_times_2026-06-26.jsonl,project+task+annotator,0.9397535663743541,not_recorded,observed_worker,analysis_results/prescreen_closeout_final_gold_v2_20260701/prescreen_canonical_annotations.csv,,,,,,,,,,,,,,,,,
lead_time,2561.498,0.9922978177150192,P1,manual,uNb9QFRL6hY_3b9e548b46af4410b97e1d12781ec3c9,uNb9QFRL6hY,36,4678,43b2e89e9fd7c38f,formal_frozen,label_studio_elapsed_observed,log,active_times_2026-06-28.jsonl,project+task+annotator,0.9092335812871999,not_recorded,observed_worker,analysis_results/prescreen_closeout_final_gold_v2_20260701/prescreen_canonical_annotations.csv,,,,,,,,,,,,,,,,,
lead_time,2484.854,0.9875,C2-B,manual,VFuaQ6m2Qom_ad4c387f8175498491966703c8441e0d,VFuaQ6m2Qom,37,6639,9f1b2668af9bbb8c27ab,formal_frozen,label_studio_elapsed_observed,log,active_times_2026-08-04.jsonl,auxiliary_mixed_or_legacy,0.9392905981598919,not_recorded,observed_worker,analysis_results/c2b_closeout_20260806_final/c2b_canonical_submissions.csv,,,,,,,,,,,,,,,,,
lead_time,2298.022,0.9940652818991098,C1,manual,yqstnuAEVhm_c93bf298b1cb41a1b368a6ce8bcff53d,yqstnuAEVhm,36,6098,a1f8bda6422774a397a9,formal_frozen,label_studio_elapsed_observed,c1_task_worker_active_time_v1,,eligible,0.9764919569960602,original_assignment,observed_worker,analysis_results/c1_formal_audit_20260802_v16_final/c1_formal_audit_20260802_7fcacc5c2d6c_bf5def46_6bc67c03/c1_canonical_annotations.csv,,,,,,,,,,,,,,,,,
lead_time,2178.514,0.9925816023738873,C1,manual,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,UwV83HsGsw3,36,5861,beebb1979f052693f701,formal_frozen,label_studio_elapsed_observed,c1_task_worker_active_time_v1,,eligible,0.8358908870909252,original_assignment,observed_worker,analysis_results/c1_formal_audit_20260802_v16_final/c1_formal_audit_20260802_7fcacc5c2d6c_bf5def46_6bc67c03/c1_canonical_annotations.csv,,,,,,,,,,,,,,,,,
lead_time,2173.868,0.9910979228486647,C1,manual,yqstnuAEVhm_9de98503fd994452b627cdcc7a7d47b2,yqstnuAEVhm,36,5991,f52f3c5633b4d227b132,formal_frozen,label_studio_elapsed_observed,c1_task_worker_active_time_v1,,eligible,0.9305992820171234,original_assignment,observed_worker,analysis_results/c1_formal_audit_20260802_v16_final/c1_formal_audit_20260802_7fcacc5c2d6c_bf5def46_6bc67c03/c1_canonical_annotations.csv,,,,,,,,,,,,,,,,,
lead_time,2172.054,0.9896142433234422,C1,manual,wc2JMjhGNzB_b41b10699d614f24851b56a9a0e743c6,wc2JMjhGNzB,36,6081,35e84449b82da019aab5,formal_frozen,label_studio_elapsed_observed,c1_task_worker_active_time_v1,,eligible,0.9585397048139687,original_assignment,observed_worker,analysis_results/c1_formal_audit_20260802_v16_final/c1_formal_audit_20260802_7fcacc5c2d6c_bf5def46_6bc67c03/c1_canonical_annotations.csv,,,,,,,,,,,,,,,,,
lead_time,2131.337,0.9910141206675225,P1,manual,uNb9QFRL6hY_d02f87bbb0414146a7a15070110a0384,uNb9QFRL6hY,33,4224,be5cbd7a2c3bc0a5,formal_frozen,label_studio_elapsed_observed,log,active_times_2026-06-20.jsonl,project+task+annotator,0.24913938996977014,not_recorded,observed_worker,analysis_results/prescreen_closeout_final_gold_v2_20260701/prescreen_canonical_annotations.csv,,,,,,,,,,,,,,,,,
lead_time,2088.2870000000003,0.975,C2-A-RP-B2,manual,jtcxE69GiFV_67790605390f4d439c3c59395967ec84,jtcxE69GiFV,36,6800,48533a527240e49fe294,formal_frozen,label_studio_elapsed_observed,log,active_times_2026-08-11.jsonl,auxiliary_available,0.9079211813318762,not_recorded,observed_worker,analysis_results/c2a_rp_block2_reestimate_20260814_v1/c2a_rp_block2_canonical_submissions.csv,,,,,,,,,,,,,,,,,
lead_time,2019.604,0.9897304236200257,P1,manual,rPc6DW4iMge_fbc169773c954580baea6d2798c0d486,rPc6DW4iMge,36,4677,65e6380997e850f1,formal_frozen,label_studio_elapsed_observed,log,active_times_2026-06-28.jsonl,project+task+annotator,0.8907686853462362,not_recorded,observed_worker,analysis_results/prescreen_closeout_final_gold_v2_20260701/prescreen_canonical_annotations.csv,,,,,,,,,,,,,,,,,
lead_time,2019.594,0.9881305637982196,C1,manual,yqstnuAEVhm_48447297e8444171a5db34ccf38bc229,yqstnuAEVhm,11,6418,edd14839698213ae4d82,formal_frozen,label_studio_elapsed_observed,c1_task_worker_active_time_v1,,eligible,0.10348614622542947,original_assignment,observed_worker,analysis_results/c1_formal_audit_20260802_v16_final/c1_formal_audit_20260802_7fcacc5c2d6c_bf5def46_6bc67c03/c1_canonical_annotations.csv,,,,,,,,,,,,,,,,,
