assumption_set_id,variance_source,effect_size,n_tasks,n_workers,n_pairs,n_buildings,analysis_model,power,simulation_replicates,seed
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.02,120,10,5,12,fixed_pair_effects_clustered_simulation,0.902,1000,20382867
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.025,120,10,5,12,fixed_pair_effects_clustered_simulation,0.978,1000,20383367
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.03,120,10,5,12,fixed_pair_effects_clustered_simulation,0.997,1000,20383867
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.04,120,10,5,12,fixed_pair_effects_clustered_simulation,1.0,1000,20384867
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.01,120,14,7,12,fixed_pair_effects_clustered_simulation,0.517,1000,20381887
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.015,120,14,7,12,fixed_pair_effects_clustered_simulation,0.865,1000,20382387
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.02,120,14,7,12,fixed_pair_effects_clustered_simulation,0.982,1000,20382887
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.025,120,14,7,12,fixed_pair_effects_clustered_simulation,0.997,1000,20383387
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.03,120,14,7,12,fixed_pair_effects_clustered_simulation,1.0,1000,20383887
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.04,120,14,7,12,fixed_pair_effects_clustered_simulation,1.0,1000,20384887
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.01,120,16,8,12,fixed_pair_effects_clustered_simulation,0.556,1000,20381897
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.015,120,16,8,12,fixed_pair_effects_clustered_simulation,0.892,1000,20382397
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.02,120,16,8,12,fixed_pair_effects_clustered_simulation,0.988,1000,20382897
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.025,120,16,8,12,fixed_pair_effects_clustered_simulation,1.0,1000,20383397
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.03,120,16,8,12,fixed_pair_effects_clustered_simulation,1.0,1000,20383897
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.04,120,16,8,12,fixed_pair_effects_clustered_simulation,1.0,1000,20384897
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.01,120,18,9,12,fixed_pair_effects_clustered_simulation,0.608,1000,20381907
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.015,120,18,9,12,fixed_pair_effects_clustered_simulation,0.918,1000,20382407
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.02,120,18,9,12,fixed_pair_effects_clustered_simulation,0.992,1000,20382907
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.025,120,18,9,12,fixed_pair_effects_clustered_simulation,1.0,1000,20383407
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.03,120,18,9,12,fixed_pair_effects_clustered_simulation,1.0,1000,20383907
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.04,120,18,9,12,fixed_pair_effects_clustered_simulation,1.0,1000,20384907
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.01,120,20,10,12,fixed_pair_effects_clustered_simulation,0.662,1000,20381917
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.015,120,20,10,12,fixed_pair_effects_clustered_simulation,0.955,1000,20382417
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.02,120,20,10,12,fixed_pair_effects_clustered_simulation,0.994,1000,20382917
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.025,120,20,10,12,fixed_pair_effects_clustered_simulation,1.0,1000,20383417
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.03,120,20,10,12,fixed_pair_effects_clustered_simulation,1.0,1000,20383917
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.04,120,20,10,12,fixed_pair_effects_clustered_simulation,1.0,1000,20384917
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.01,120,24,12,12,fixed_pair_effects_clustered_simulation,0.681,1000,20381937
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.015,120,24,12,12,fixed_pair_effects_clustered_simulation,0.961,1000,20382437
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.02,120,24,12,12,fixed_pair_effects_clustered_simulation,0.998,1000,20382937
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.025,120,24,12,12,fixed_pair_effects_clustered_simulation,1.0,1000,20383437
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.03,120,24,12,12,fixed_pair_effects_clustered_simulation,1.0,1000,20383937
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.04,120,24,12,12,fixed_pair_effects_clustered_simulation,1.0,1000,20384937
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.01,150,10,5,15,fixed_pair_effects_clustered_simulation,0.394,1000,20411867
central_design_input,aggregation_delta_variance_plus_matching_cardinality_sensitivity,0.015,150,10,5,15,fixed_pair_effects_clustered_simulation,0.733,1000,20412367
