image_id,comparison_status,raw_sequence_equal,ordered_cycle_equal,declared_manifest_status,legacy_linear_gap,legacy_linear_gap_zero,legacy_metric,interpretation
X7HyMhZNoso_cd608227f6c94b91af3db8bf6cd28abd,comparable,False,False,ok,,,,coordinate_or_proxy_equality_only_not_image_ambiguity_label
X7HyMhZNoso_e9ae19c83e6243dd81b7213ba5f8c329,comparable,True,True,ok,,,,coordinate_or_proxy_equality_only_not_image_ambiguity_label
X7HyMhZNoso_ecda3dd2f5a44ac3a7b365de9e13c09b,comparable,False,False,ok,,,,coordinate_or_proxy_equality_only_not_image_ambiguity_label
X7HyMhZNoso_efaff409ffad4b05ba2777dbadd554f6,comparable,True,True,ok,,,,coordinate_or_proxy_equality_only_not_image_ambiguity_label
X7HyMhZNoso_f03d055128104fd486151e54c9e4a32a,comparable,True,True,ok,,,,coordinate_or_proxy_equality_only_not_image_ambiguity_label
X7HyMhZNoso_f59aa4dda2024d88ac3f9b22331b475b,comparable,False,False,ok,,,,coordinate_or_proxy_equality_only_not_image_ambiguity_label
Z6MFQCViBuw_099d792dbfb2402ca355fd7ed860128f,comparable,False,False,ok,,,,coordinate_or_proxy_equality_only_not_image_ambiguity_label
Z6MFQCViBuw_2008e72476f84104858e908beeac0193,comparable,False,False,ok,0.006649989413,False,periodic_linear_image_plane_mask_proxy_1024x512,coordinate_or_proxy_equality_only_not_image_ambiguity_label
Z6MFQCViBuw_22fff6c74efb476592569c18718feb41,comparable,False,False,ok,0.001785786148,False,periodic_linear_image_plane_mask_proxy_1024x512,coordinate_or_proxy_equality_only_not_image_ambiguity_label
Z6MFQCViBuw_543e6efcc1e24215b18c4060255a9719,comparable,True,True,ok,,,,coordinate_or_proxy_equality_only_not_image_ambiguity_label
Z6MFQCViBuw_59aed460238643f48f593e9b9ba1c17d,comparable,False,False,ok,0.019991160058,False,periodic_linear_image_plane_mask_proxy_1024x512,coordinate_or_proxy_equality_only_not_image_ambiguity_label
Z6MFQCViBuw_d9913cc77dc14f17b7228ac8de469b06,comparable,False,False,ok,,,,coordinate_or_proxy_equality_only_not_image_ambiguity_label
Z6MFQCViBuw_fbef2c9afec642c88d01cf09c90aec12,comparable,False,False,ok,0.006032694084,False,periodic_linear_image_plane_mask_proxy_1024x512,coordinate_or_proxy_equality_only_not_image_ambiguity_label
b8cTxDM8gDG_055056e12afe42578c6f429bc07159d2,comparable,False,False,ok,,,,coordinate_or_proxy_equality_only_not_image_ambiguity_label
b8cTxDM8gDG_12fc603ce4bc4cbd81c704e630f130bd,comparable,True,True,ok,,,,coordinate_or_proxy_equality_only_not_image_ambiguity_label
b8cTxDM8gDG_184a9b92b85840d88bf5793da9aa9cba,comparable,False,False,ok,,,,coordinate_or_proxy_equality_only_not_image_ambiguity_label
b8cTxDM8gDG_298a2386166a43c8a04e1c24433f7d15,comparable,False,False,ok,0.014421645699,False,periodic_linear_image_plane_mask_proxy_1024x512,coordinate_or_proxy_equality_only_not_image_ambiguity_label
b8cTxDM8gDG_3638da5864ab4d2aa722479d9efa8b71,comparable,False,False,ok,,,,coordinate_or_proxy_equality_only_not_image_ambiguity_label
b8cTxDM8gDG_3892d409b66644439f5afcf3d296efbf,comparable,True,True,ok,,,,coordinate_or_proxy_equality_only_not_image_ambiguity_label
b8cTxDM8gDG_51c90ec9afc4495ab3788c6badc303df,comparable,False,False,ok,0.000741839763,False,periodic_linear_image_plane_mask_proxy_1024x512,coordinate_or_proxy_equality_only_not_image_ambiguity_label
b8cTxDM8gDG_8316e9313299447bb1f574aaf8cbec73,comparable,False,False,ok,,,,coordinate_or_proxy_equality_only_not_image_ambiguity_label
b8cTxDM8gDG_afc1807e6a1946b79137c1a158526913,comparable,False,False,ok,,,,coordinate_or_proxy_equality_only_not_image_ambiguity_label
b8cTxDM8gDG_b15db460058c41e8aa0c0720344daa30,comparable,False,False,ok,,,,coordinate_or_proxy_equality_only_not_image_ambiguity_label
b8cTxDM8gDG_bcd82ce0da1846a58f9d97b00e022af2,comparable,False,False,ok,,,,coordinate_or_proxy_equality_only_not_image_ambiguity_label
b8cTxDM8gDG_bd2d16e81707455eacd72cda7eb5d3d5,comparable,False,False,ok,,,,coordinate_or_proxy_equality_only_not_image_ambiguity_label
b8cTxDM8gDG_ddc9afa8e031453abd45c783fbfeb4aa,comparable,False,False,ok,,,,coordinate_or_proxy_equality_only_not_image_ambiguity_label
b8cTxDM8gDG_f339391e9479496e8652c972953f0ce4,comparable,False,False,ok,0.000908431988,False,periodic_linear_image_plane_mask_proxy_1024x512,coordinate_or_proxy_equality_only_not_image_ambiguity_label
b8cTxDM8gDG_f3748786c3704532abb2358581488f3f,comparable,False,False,ok,0.073599798231,False,periodic_linear_image_plane_mask_proxy_1024x512,coordinate_or_proxy_equality_only_not_image_ambiguity_label
b8cTxDM8gDG_f63819c407e64c2897b703080766cb60,comparable,True,True,ok,0.0,True,periodic_linear_image_plane_mask_proxy_1024x512,coordinate_or_proxy_equality_only_not_image_ambiguity_label
e9zR4mvMWw7_0ee61863ec0c4c06bac95fb886e98945,comparable,True,True,ok,0.0,True,periodic_linear_image_plane_mask_proxy_1024x512,coordinate_or_proxy_equality_only_not_image_ambiguity_label
e9zR4mvMWw7_12c84e77f6564013a032220e8f9037e8,comparable,False,False,ok,0.004568870761,False,periodic_linear_image_plane_mask_proxy_1024x512,coordinate_or_proxy_equality_only_not_image_ambiguity_label
e9zR4mvMWw7_18653fa3d6ba4f82889237201ee07d11,comparable,True,True,ok,,,,coordinate_or_proxy_equality_only_not_image_ambiguity_label
e9zR4mvMWw7_192fb2a16486430a96b34dffc2e8cbbc,comparable,False,False,ok,,,,coordinate_or_proxy_equality_only_not_image_ambiguity_label
e9zR4mvMWw7_1d316dfbe35f41dd9203eaf88be5aae8,comparable,False,False,ok,0.102569764553,False,periodic_linear_image_plane_mask_proxy_1024x512,coordinate_or_proxy_equality_only_not_image_ambiguity_label
e9zR4mvMWw7_1daae4b7becc43949516096170ce2a76,comparable,False,False,ok,0.00146624333,False,periodic_linear_image_plane_mask_proxy_1024x512,coordinate_or_proxy_equality_only_not_image_ambiguity_label
e9zR4mvMWw7_2224be23a70a475ea6daa55d4c90a91b,comparable,False,False,ok,,,,coordinate_or_proxy_equality_only_not_image_ambiguity_label
e9zR4mvMWw7_2594cedd9da64c338c1ba98abed9efb3,comparable,False,False,ok,,,,coordinate_or_proxy_equality_only_not_image_ambiguity_label
e9zR4mvMWw7_409f2a738bf54153b9b77c39e7a4ea45,comparable,True,True,ok,0.0,True,periodic_linear_image_plane_mask_proxy_1024x512,coordinate_or_proxy_equality_only_not_image_ambiguity_label
e9zR4mvMWw7_4273c4dd97974531b5256f96204fee47,comparable,False,False,ok,0.005371616761,False,periodic_linear_image_plane_mask_proxy_1024x512,coordinate_or_proxy_equality_only_not_image_ambiguity_label
e9zR4mvMWw7_4fb8c9be319e4784b4b66f9ca5d839ab,comparable,False,False,ok,0.003969677005,False,periodic_linear_image_plane_mask_proxy_1024x512,coordinate_or_proxy_equality_only_not_image_ambiguity_label
e9zR4mvMWw7_511976eee78f42e6858dcb7845a44777,comparable,False,False,ok,,,,coordinate_or_proxy_equality_only_not_image_ambiguity_label
