task_id,condition,annotator_id,active_time,iou,iou_manual,iou_corner,rmse_px,layout_2d_iou,layout_3d_iou,layout_depth_rmse,layout_delta1,layout_used,layout_gate_reason,pointwise_rmse_px,pointwise_rmse_used,pointwise_best_shift,pointwise_gate_reason,boundary_mse,boundary_rmse_px,pred_n_points,pred_n_pairs,pred_pair_coverage,pred_odd_points,ann_n_points,ann_n_pairs,ann_pair_coverage,ann_odd_points,pairing_warning,pairing_failure_reason,boundary_method_used,consensus_uid,iou_to_consensus,consensus_uid_loo,iou_to_consensus_loo,iou_to_others_median,quality,scope,difficulty,model_issue,tool_issue,scope_missing,is_oos,is_occlusion,is_fail,is_residual,is_normal,n_corners,has_manual_poly,task_scope_n_total,task_scope_n_in_scope,task_scope_n_oos,task_scope_n_unknown,task_scope_oos_rate,task_scope_unknown_rate,task_scope_majority,task_scope_is_mixed,task_scope_has_unknown
480,semi,4,11.828,1.0,,1.0,21.951258952856097,0.8823565120055231,0.8317247051393092,0.24398423731327057,0.8457660675048828,True,,21.920291421999632,True,0,,147.17379760742188,12.13152082829774,8,4,1.0,False,8,4,1.0,False,False,,connect,,,,,,normal,normal,,,,False,False,False,False,False,True,8,False,4,3,0,1,0.0,0.25,in_scope,False,True
491,semi,1,19.298000000000002,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,True,,0.0,True,0,,0.0,0.0,8,4,1.0,False,8,4,1.0,False,False,,connect,,,,,,normal;occlusion,normal,occlusion,,,False,False,True,False,False,True,8,True,4,3,0,1,0.0,0.25,in_scope,False,True
491,semi,2,135.21,1.0,1.0,1.0,0.0,,,,,False,scope_missing,0.0,True,0,,0.0,0.0,8,4,1.0,False,8,4,1.0,False,False,,connect,,,,,,normal,,,,,True,,False,False,False,,8,True,4,3,0,1,0.0,0.25,in_scope,False,True
491,semi,3,232.393,0.9863475031130946,1.0,0.9863475031130946,4.136990210285734,0.9797638098271343,0.9682836416850363,0.03603768348693848,1.0,True,,4.136985013783886,True,0,,13.772294998168945,3.7111042828474847,8,4,1.0,False,8,4,1.0,False,False,,connect,,,,,,corner_drift;normal;occlusion,normal,occlusion,corner_drift,,False,False,True,False,False,True,8,True,4,3,0,1,0.0,0.25,in_scope,False,True
491,semi,4,4.109,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,True,,0.0,True,0,,0.0,0.0,8,4,1.0,False,8,4,1.0,False,False,,connect,,,,,,normal,normal,,,,False,False,False,False,False,True,8,True,4,3,0,1,0.0,0.25,in_scope,False,True
492,semi,1,24.294,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,True,,0.0,True,0,,0.0,0.0,8,4,1.0,False,8,4,1.0,False,False,,connect,,,,,,normal,normal,,,,False,False,False,False,False,True,8,True,4,3,0,1,0.0,0.25,in_scope,False,True
492,semi,2,7.111,1.0,1.0,1.0,0.0,,,,,False,scope_missing,0.0,True,0,,0.0,0.0,8,4,1.0,False,8,4,1.0,False,False,,connect,,,,,,normal,,,,,True,,False,False,False,,8,True,4,3,0,1,0.0,0.25,in_scope,False,True
492,semi,3,81.968,0.9973446912566676,1.0,0.9973446912566676,0.7463618425401528,0.9966065369880766,0.9937816881531545,0.010171149857342243,1.0,True,,0.7463561789855307,True,0,,0.34244564175605774,0.5851885523111826,8,4,1.0,False,8,4,1.0,False,False,,connect,,,,,,corner_drift;normal,normal,,corner_drift,,False,False,False,False,False,True,8,True,4,3,0,1,0.0,0.25,in_scope,False,True
492,semi,4,2.226,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,True,,0.0,True,0,,0.0,0.0,8,4,1.0,False,8,4,1.0,False,False,,connect,,,,,,normal,normal,,,,False,False,False,False,False,True,8,True,4,3,0,1,0.0,0.25,in_scope,False,True
493,semi,1,178.971,0.8692310488908669,0.9526788587503159,0.8692310488908669,70.29521612857798,,,,,False,n_pairs_mismatch,,False,,n_pairs_mismatch,5103.5029296875,71.43880548894627,16,8,1.0,False,14,7,1.0,False,False,,connect,,,,,,normal,normal,,,,False,False,False,False,False,True,14,True,3,2,0,1,0.0,0.3333333333333333,in_scope,False,True
