image_id,building_id,method,replicate,human_count,synthetic_count,corner_count_tv,human_to_sim_nearest_deg,sim_to_human_nearest_deg,symmetric_coverage_deg,human_diversity_deg,synthetic_diversity_deg,diversity_absolute_error_deg,basic_parse_failure_rate,geometry_issue_rate
rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3,rPc6DW4iMge,worker_conservative,2,23,50,0.08695652173913046,1.735399714395766,1.5662189856647226,1.6508093500302443,2.4835171007898738,2.0293821024459526,0.4541349983439211,0.0,0.0
rPc6DW4iMge_186a32a1b7e34cb797731bfa78365db5,rPc6DW4iMge,worker_conservative,0,24,50,0.9166666666666666,8.973251599476113,7.745919599928352,8.359585599702232,5.491864799688536,0.9276011246968638,4.564263674991673,0.0,0.0
rPc6DW4iMge_186a32a1b7e34cb797731bfa78365db5,rPc6DW4iMge,worker_conservative,1,24,50,0.9166666666666666,8.973251599476113,7.774742157885905,8.373996878681009,5.491864799688536,0.9486180665886612,4.543246733099875,0.0,0.0
rPc6DW4iMge_186a32a1b7e34cb797731bfa78365db5,rPc6DW4iMge,worker_conservative,2,24,50,0.9166666666666666,8.973251599476113,7.770678468435303,8.371965033955707,5.491864799688536,0.9593942438071359,4.5324705558814005,0.0,0.0
rPc6DW4iMge_1f14902595544e389c9c910c444e79e7,rPc6DW4iMge,worker_conservative,0,24,50,1.0,7.878156613260026,6.506153050511921,7.192154831885974,3.4345209961024095,2.520500442099982,0.9140205540024273,0.0,0.0
rPc6DW4iMge_1f14902595544e389c9c910c444e79e7,rPc6DW4iMge,worker_conservative,1,24,50,1.0,7.845405839042262,6.466242888962544,7.155824364002402,3.4345209961024095,2.5276258799554694,0.9068951161469401,0.0,0.0
rPc6DW4iMge_1f14902595544e389c9c910c444e79e7,rPc6DW4iMge,worker_conservative,2,24,50,1.0,7.858860885209919,6.542469751473658,7.200665318341788,3.4345209961024095,2.574679798641689,0.8598411974607205,0.0,0.0
rPc6DW4iMge_9d3eb9f5d38844bfb4e5fb2cd05fd3fd,rPc6DW4iMge,worker_conservative,0,23,50,0.0434782608695652,1.7673215734753966,1.6489252544762478,1.7081234139758221,2.589517339439804,2.080205891437657,0.5093114480021472,0.0,0.0
rPc6DW4iMge_9d3eb9f5d38844bfb4e5fb2cd05fd3fd,rPc6DW4iMge,worker_conservative,1,23,50,0.0434782608695652,1.9963591084377126,1.8543864073070977,1.9253727578724051,2.589517339439804,2.3757465644570464,0.21377077498275776,0.0,0.0
rPc6DW4iMge_9d3eb9f5d38844bfb4e5fb2cd05fd3fd,rPc6DW4iMge,worker_conservative,2,23,50,0.0434782608695652,1.8172269336550781,1.9300413735608217,1.87363415360795,2.589517339439804,2.5732689106137334,0.016248428826070693,0.0,0.0
rPc6DW4iMge_cc15fb105d86466faafdd633f89148de,rPc6DW4iMge,worker_conservative,0,24,50,0.08333333333333334,2.209780116866452,1.9321820417790687,2.0709810793227605,3.2872264432067535,2.2935425567927137,0.9936838864140398,0.0,0.0
rPc6DW4iMge_cc15fb105d86466faafdd633f89148de,rPc6DW4iMge,worker_conservative,1,24,50,0.08333333333333334,2.13971598309284,1.7991190477594778,1.9694175154261588,3.2872264432067535,2.3679352641872184,0.919291179019535,0.0,0.0
rPc6DW4iMge_cc15fb105d86466faafdd633f89148de,rPc6DW4iMge,worker_conservative,2,24,50,0.08333333333333334,2.135344899071114,1.7375476696807532,1.9364462843759336,3.2872264432067535,2.327210303353604,0.9600161398531495,0.0,0.0
rPc6DW4iMge_fbc169773c954580baea6d2798c0d486,rPc6DW4iMge,worker_conservative,0,22,50,0.9545454545454546,10.710114938757107,2.7338741036830982,6.721994521220102,10.293551048516843,1.65089744811861e-07,10.293550883427098,0.0,0.0
rPc6DW4iMge_fbc169773c954580baea6d2798c0d486,rPc6DW4iMge,worker_conservative,1,22,50,0.9545454545454546,10.710114938757107,2.7338741036830982,6.721994521220102,10.293551048516843,1.65089744811861e-07,10.293550883427098,0.0,0.0
rPc6DW4iMge_fbc169773c954580baea6d2798c0d486,rPc6DW4iMge,worker_conservative,2,22,50,0.9545454545454546,10.710114938757107,2.7338741036830982,6.721994521220102,10.293551048516843,1.65089744811861e-07,10.293550883427098,0.0,0.0
uNb9QFRL6hY_07a43087f1e54e3f828851d8e457a283,uNb9QFRL6hY,worker_conservative,0,24,50,0.9583333333333334,11.066498850739812,7.030787176293317,9.048643013516564,10.609341496379056,1.947279998729962,8.662061497649093,0.0,0.0
uNb9QFRL6hY_07a43087f1e54e3f828851d8e457a283,uNb9QFRL6hY,worker_conservative,1,24,50,0.9583333333333334,11.10609265215389,7.072506348389153,9.089299500271522,10.609341496379056,2.1044314036408007,8.504910092738255,0.0,0.0
uNb9QFRL6hY_07a43087f1e54e3f828851d8e457a283,uNb9QFRL6hY,worker_conservative,2,24,50,0.9583333333333334,11.066498850739812,7.165296437709465,9.115897644224638,10.609341496379056,2.326268592860647,8.28307290351841,0.0,0.0
uNb9QFRL6hY_1096f195d3294cefa462add5ab0c342e,uNb9QFRL6hY,worker_conservative,0,23,50,0.0,1.6815474611712578,1.5827930672064698,1.6321702641888638,2.5552475673477035,2.2471253589213784,0.3081222084263251,0.0,0.0
uNb9QFRL6hY_1096f195d3294cefa462add5ab0c342e,uNb9QFRL6hY,worker_conservative,1,23,50,0.0,1.718760615076695,1.8072101869702406,1.7629854010234678,2.5552475673477035,2.556320759098427,0.0010731917507236233,0.0,0.0
uNb9QFRL6hY_1096f195d3294cefa462add5ab0c342e,uNb9QFRL6hY,worker_conservative,2,23,50,0.0,1.6772321893809217,1.726356707046529,1.7017944482137253,2.5552475673477035,2.399947141071976,0.1553004262757276,0.0,0.0
uNb9QFRL6hY_3b9e548b46af4410b97e1d12781ec3c9,uNb9QFRL6hY,worker_conservative,0,24,50,0.7916666666666666,7.155691172454386,2.142416337394333,4.64905375492436,7.550079429533649,2.2179156734638585,5.33216375606979,0.0,0.0
uNb9QFRL6hY_3b9e548b46af4410b97e1d12781ec3c9,uNb9QFRL6hY,worker_conservative,1,24,50,0.7916666666666666,7.155691172454386,2.2059689973068455,4.680830084880616,7.550079429533649,2.2398855071009454,5.3101939224327035,0.0,0.0
uNb9QFRL6hY_3b9e548b46af4410b97e1d12781ec3c9,uNb9QFRL6hY,worker_conservative,2,24,50,0.7916666666666666,7.155691172454386,2.2038713229085722,4.679781247681479,7.550079429533649,2.362446119406425,5.187633310127223,0.0,0.0
uNb9QFRL6hY_5948424345f541b9a570b48f1cfcf622,uNb9QFRL6hY,worker_conservative,0,23,50,0.6086956521739131,7.2709673185543116,3.343311239929982,5.307139279242147,9.607779046724454,2.245337371112518,7.362441675611937,0.0,0.0
uNb9QFRL6hY_5948424345f541b9a570b48f1cfcf622,uNb9QFRL6hY,worker_conservative,1,23,50,0.6086956521739131,7.2434315259214275,3.366270782591622,5.304851154256525,9.607779046724454,2.182512172350103,7.425266874374351,0.0,0.0
uNb9QFRL6hY_5948424345f541b9a570b48f1cfcf622,uNb9QFRL6hY,worker_conservative,2,23,50,0.6086956521739131,7.245141406985867,3.4037921876562733,5.32446679732107,9.607779046724454,2.3136835893143766,7.294095457410078,0.0,0.0
uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97,uNb9QFRL6hY,worker_conservative,0,23,50,0.6521739130434783,4.137206485665004,2.1127430774236737,3.124974781544339,4.71659489647972,2.7198396539884295,1.9967552424912909,0.0,0.0
uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97,uNb9QFRL6hY,worker_conservative,1,23,50,0.6521739130434783,4.1653977154259625,2.082500844400732,3.1239492799133473,4.71659489647972,2.612358346438701,2.1042365500410196,0.0,0.0
uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97,uNb9QFRL6hY,worker_conservative,2,23,50,0.6521739130434783,4.178391716140754,2.0206564861977223,3.099524101169238,4.71659489647972,2.5784131725490256,2.138181723930695,0.0,0.0
uNb9QFRL6hY_978d7a8eb0794936bd8fd092306e1dc5,uNb9QFRL6hY,worker_conservative,0,23,50,0.6521739130434783,4.211889061895926,2.030889839975112,3.121389450935519,5.238786341876614,2.540091404807748,2.698694937068866,0.0,0.0
