replicate,fixed_panel,independent_per_image
264,0.106227466871,0.112161882845
265,0.113150994669,0.112600868518
266,0.117768006764,0.112691334702
267,0.110837317635,0.115490842117
268,0.11539253897,0.113925812603
269,0.110266678795,0.114251415379
270,0.117189170772,0.114464049854
271,0.113570581686,0.112239876994
272,0.115342700131,0.110483022062
273,0.106620404776,0.112375942391
274,0.116095214075,0.113612450868
275,0.11606085408,0.111738770574
276,0.110588908003,0.113734404303
277,0.115225221247,0.111927505111
278,0.107007417554,0.114441697964
279,0.114137144679,0.10982509026
280,0.111205490687,0.114565341254
281,0.113034265126,0.112002062409
282,0.113804098969,0.110705825
283,0.115417978384,0.112591400863
284,0.115964577815,0.115525861857
285,0.113330030054,0.115470813216
286,0.115140300085,0.110509998355
287,0.107512280494,0.109034316842
288,0.110837317635,0.112092611863
289,0.112142057383,0.112887677527
290,0.115939272723,0.112872801256
291,0.107028148957,0.114398036017
292,0.110614906542,0.112280480971
293,0.110527905817,0.113899700891
294,0.107911624042,0.111461750307
295,0.114649484288,0.110758159793
296,0.115077952803,0.112716300071
297,0.11727001147,0.113315097664
298,0.114189464283,0.114420423055
299,0.112770105067,0.113889906066
300,0.11089689087,0.115046008979
301,0.116242560937,0.113321683209
302,0.112416504881,0.112379797957
303,0.112619131085,0.113054542875
304,0.114702977859,0.113102787249
305,0.112892387676,0.114729360845
306,0.115216068239,0.108959089262
307,0.117768006764,0.110999928732
308,0.114992166802,0.109573456028
309,0.117199252493,0.111117095234
310,0.108866762165,0.112081792291
311,0.112291955349,0.114173238273
312,0.116046784288,0.113208618533
313,0.108361623229,0.115220586164
314,0.109210676999,0.113304000676
315,0.114477836153,0.111796747079
316,0.112708070946,0.11258234775
317,0.116049298719,0.113301794788
318,0.11208487289,0.114614703542
319,0.116083926506,0.112806939747
320,0.115380549226,0.114893606704
321,0.113320622842,0.114510077601
322,0.110979489306,0.112230446418
323,0.108668538943,0.111574888572
324,0.109524808773,0.11594613234
325,0.116368204813,0.11418216657
326,0.108781734436,0.110897780086
327,0.11383493578,0.11491679575
328,0.113559314115,0.111642462283
329,0.107508480557,0.114879179462
330,0.115342700131,0.110236543949
331,0.114992166802,0.113513955494
332,0.115458904511,0.112478472048
333,0.112619131085,0.113925395626
334,0.113434379673,0.114198699969
335,0.111406386409,0.111916231022
336,0.110521099684,0.112255120733
337,0.107988112203,0.114640342524
338,0.117189170772,0.11673587181
339,0.116224128518,0.113094996936
340,0.111748447483,0.112588286833
341,0.113371627841,0.110522589211
342,0.116776030876,0.112834081502
343,0.106559683342,0.112846847275
344,0.114841489766,0.114956966164
345,0.110233954899,0.111174398229
346,0.112901619141,0.114310684583
347,0.115795684553,0.115822363357
348,0.106288283211,0.113943486157
349,0.112870446366,0.112184220002
350,0.112928408203,0.11099061925
351,0.111664112599,0.112410349949
352,0.114778296272,0.109376642718
353,0.115405298171,0.111421630298
354,0.112960642913,0.114805686669
355,0.11106847368,0.113247518229
356,0.107228830267,0.113197638799
357,0.112823339347,0.113702719573
358,0.114274505534,0.111593370404
359,0.115220805326,0.11326802954
360,0.108281000962,0.117136641265
361,0.111685642719,0.112566271312
362,0.11123648897,0.112407491914
363,0.116852428918,0.115783038048
364,0.110543430732,0.112489775336
365,0.115529559211,0.112997460808
366,0.11520835614,0.112609739496
367,0.115583006158,0.109909671727
368,0.117051480761,0.112331224297
369,0.114624203024,0.11246608002
370,0.113293009588,0.112973995876
371,0.114098965275,0.1138219405
372,0.111889319898,0.112965905054
373,0.113628453081,0.116104932918
374,0.116156871777,0.116359298459
375,0.116242560937,0.110627708683
376,0.113000998321,0.111585170813
377,0.112922056739,0.113860202656
