feature,stratum,excluded,reason,n_test,result_file
semantic__main_text,储藏与家务辅助,uNb9QFRL6hY,no_training_in_stratum,2,cv/within_coarse/semantic__main_text.failures.csv
semantic__main_text,复合／待定,e9zR4mvMWw7;wc2JMjhGNzB,no_training_in_stratum,4,cv/within_coarse/semantic__main_text.failures.csv
semantic__main_text,工作与学习,uNb9QFRL6hY,no_training_in_stratum,7,cv/within_coarse/semantic__main_text.failures.csv
semantic__main_text,开放复合空间,7y3sRwLe3Va,no_training_in_stratum,4,cv/within_coarse/semantic__main_text.failures.csv
semantic__main_text,无法判断,wc2JMjhGNzB,no_training_in_stratum,1,cv/within_coarse/semantic__main_text.failures.csv
semantic__main_text,起居与休闲,pa4otMbVnkk;uNb9QFRL6hY,no_training_in_stratum,17,cv/within_coarse/semantic__main_text.failures.csv
semantic__main_text,通行与连接,B6ByNegPMKs,no_training_in_stratum,3,cv/within_coarse/semantic__main_text.failures.csv
da3__layer5__faces_local16,储藏与家务辅助,uNb9QFRL6hY,no_training_in_stratum,2,cv/within_coarse/da3__layer5__faces_local16.failures.csv
da3__layer5__faces_local16,复合／待定,e9zR4mvMWw7;wc2JMjhGNzB,no_training_in_stratum,4,cv/within_coarse/da3__layer5__faces_local16.failures.csv
da3__layer5__faces_local16,工作与学习,uNb9QFRL6hY,no_training_in_stratum,7,cv/within_coarse/da3__layer5__faces_local16.failures.csv
da3__layer5__faces_local16,开放复合空间,7y3sRwLe3Va,no_training_in_stratum,4,cv/within_coarse/da3__layer5__faces_local16.failures.csv
da3__layer5__faces_local16,无法判断,wc2JMjhGNzB,no_training_in_stratum,1,cv/within_coarse/da3__layer5__faces_local16.failures.csv
da3__layer5__faces_local16,起居与休闲,pa4otMbVnkk;uNb9QFRL6hY,no_training_in_stratum,17,cv/within_coarse/da3__layer5__faces_local16.failures.csv
da3__layer5__faces_local16,通行与连接,B6ByNegPMKs,no_training_in_stratum,3,cv/within_coarse/da3__layer5__faces_local16.failures.csv
hohonet__legacy_current,储藏与家务辅助,uNb9QFRL6hY,no_training_in_stratum,2,cv/within_coarse/hohonet__legacy_current.failures.csv
hohonet__legacy_current,复合／待定,e9zR4mvMWw7;wc2JMjhGNzB,no_training_in_stratum,4,cv/within_coarse/hohonet__legacy_current.failures.csv
hohonet__legacy_current,工作与学习,uNb9QFRL6hY,no_training_in_stratum,7,cv/within_coarse/hohonet__legacy_current.failures.csv
hohonet__legacy_current,开放复合空间,7y3sRwLe3Va,no_training_in_stratum,4,cv/within_coarse/hohonet__legacy_current.failures.csv
hohonet__legacy_current,无法判断,wc2JMjhGNzB,no_training_in_stratum,1,cv/within_coarse/hohonet__legacy_current.failures.csv
hohonet__legacy_current,起居与休闲,pa4otMbVnkk;uNb9QFRL6hY,no_training_in_stratum,17,cv/within_coarse/hohonet__legacy_current.failures.csv
hohonet__legacy_current,通行与连接,B6ByNegPMKs,no_training_in_stratum,3,cv/within_coarse/hohonet__legacy_current.failures.csv
da3__layer11__faces_local16,储藏与家务辅助,uNb9QFRL6hY,no_training_in_stratum,2,cv/within_coarse/da3__layer11__faces_local16.failures.csv
da3__layer11__faces_local16,复合／待定,e9zR4mvMWw7;wc2JMjhGNzB,no_training_in_stratum,4,cv/within_coarse/da3__layer11__faces_local16.failures.csv
da3__layer11__faces_local16,工作与学习,uNb9QFRL6hY,no_training_in_stratum,7,cv/within_coarse/da3__layer11__faces_local16.failures.csv
da3__layer11__faces_local16,开放复合空间,7y3sRwLe3Va,no_training_in_stratum,4,cv/within_coarse/da3__layer11__faces_local16.failures.csv
da3__layer11__faces_local16,无法判断,wc2JMjhGNzB,no_training_in_stratum,1,cv/within_coarse/da3__layer11__faces_local16.failures.csv
da3__layer11__faces_local16,起居与休闲,pa4otMbVnkk;uNb9QFRL6hY,no_training_in_stratum,17,cv/within_coarse/da3__layer11__faces_local16.failures.csv
da3__layer11__faces_local16,通行与连接,B6ByNegPMKs,no_training_in_stratum,3,cv/within_coarse/da3__layer11__faces_local16.failures.csv
semantic__position_keywords,储藏与家务辅助,uNb9QFRL6hY,no_training_in_stratum,2,cv/within_coarse/semantic__position_keywords.failures.csv
semantic__position_keywords,复合／待定,e9zR4mvMWw7;wc2JMjhGNzB,no_training_in_stratum,4,cv/within_coarse/semantic__position_keywords.failures.csv
semantic__position_keywords,工作与学习,uNb9QFRL6hY,no_training_in_stratum,7,cv/within_coarse/semantic__position_keywords.failures.csv
semantic__position_keywords,开放复合空间,7y3sRwLe3Va,no_training_in_stratum,4,cv/within_coarse/semantic__position_keywords.failures.csv
semantic__position_keywords,无法判断,wc2JMjhGNzB,no_training_in_stratum,1,cv/within_coarse/semantic__position_keywords.failures.csv
semantic__position_keywords,起居与休闲,pa4otMbVnkk;uNb9QFRL6hY,no_training_in_stratum,17,cv/within_coarse/semantic__position_keywords.failures.csv
semantic__position_keywords,通行与连接,B6ByNegPMKs,no_training_in_stratum,3,cv/within_coarse/semantic__position_keywords.failures.csv
dinov3__block9__faces_local16,储藏与家务辅助,uNb9QFRL6hY,no_training_in_stratum,2,cv/within_coarse/dinov3__block9__faces_local16.failures.csv
dinov3__block9__faces_local16,复合／待定,e9zR4mvMWw7;wc2JMjhGNzB,no_training_in_stratum,4,cv/within_coarse/dinov3__block9__faces_local16.failures.csv
dinov3__block9__faces_local16,工作与学习,uNb9QFRL6hY,no_training_in_stratum,7,cv/within_coarse/dinov3__block9__faces_local16.failures.csv
dinov3__block9__faces_local16,开放复合空间,7y3sRwLe3Va,no_training_in_stratum,4,cv/within_coarse/dinov3__block9__faces_local16.failures.csv
