relative_path,backup_absolute_path,size_bytes,original_sha256,backup_sha256,backup_verified,git_rm_cached_executed,local_file_still_exists,action_status,notes
active_logs/new_server/active_times_2026-05-13.jsonl,D:/Work/HOHONET_ARCHIVE/active_logs_backup_20260630/active_logs/new_server/active_times_2026-05-13.jsonl,363,383648a9f6eb1fda6d31dfd5c43a925455b5adb47d6a1091dbf75ca4479975fb,383648a9f6eb1fda6d31dfd5c43a925455b5adb47d6a1091dbf75ca4479975fb,true,true,true,git_rm_cached_done,
active_logs/new_server/active_times_2026-05-14.jsonl,D:/Work/HOHONET_ARCHIVE/active_logs_backup_20260630/active_logs/new_server/active_times_2026-05-14.jsonl,10269,0b3f82426f99de10ba11a273d2a7c3dc1eabdd56c3511591a2f786d999f79e72,0b3f82426f99de10ba11a273d2a7c3dc1eabdd56c3511591a2f786d999f79e72,true,true,true,git_rm_cached_done,
active_logs/new_server/active_times_2026-05-17.jsonl,D:/Work/HOHONET_ARCHIVE/active_logs_backup_20260630/active_logs/new_server/active_times_2026-05-17.jsonl,76767,62ddc9fc04c45bf4ba69a6dabe6f869dc8017f59eca9083f343116db5c5ac57a,62ddc9fc04c45bf4ba69a6dabe6f869dc8017f59eca9083f343116db5c5ac57a,true,true,true,git_rm_cached_done,
active_logs/new_server/active_times_2026-05-19.jsonl,D:/Work/HOHONET_ARCHIVE/active_logs_backup_20260630/active_logs/new_server/active_times_2026-05-19.jsonl,220545,56357321b328c162ad244e37ab43926bf022fdf673c60c67fa507b5e6ca94178,56357321b328c162ad244e37ab43926bf022fdf673c60c67fa507b5e6ca94178,true,true,true,git_rm_cached_done,
active_logs/new_server/active_times_2026-05-20.jsonl,D:/Work/HOHONET_ARCHIVE/active_logs_backup_20260630/active_logs/new_server/active_times_2026-05-20.jsonl,57435,9da02d6a0129932b12234756d73b1b4fd83804948f23daff34f71dc463cc542e,9da02d6a0129932b12234756d73b1b4fd83804948f23daff34f71dc463cc542e,true,true,true,git_rm_cached_done,
active_logs/new_server/active_times_2026-05-21.jsonl,D:/Work/HOHONET_ARCHIVE/active_logs_backup_20260630/active_logs/new_server/active_times_2026-05-21.jsonl,220859,3b546f07203fcf50c209bada22b1938b537ea4d56b02e90d2fe2eeffc123507e,3b546f07203fcf50c209bada22b1938b537ea4d56b02e90d2fe2eeffc123507e,true,true,true,git_rm_cached_done,
active_logs/new_server/active_times_2026-05-22.jsonl,D:/Work/HOHONET_ARCHIVE/active_logs_backup_20260630/active_logs/new_server/active_times_2026-05-22.jsonl,122397,cb561cdb3ffa5dbb4f8391e95f92a87ae1f998951a90badd7cea9f053032d9b5,cb561cdb3ffa5dbb4f8391e95f92a87ae1f998951a90badd7cea9f053032d9b5,true,true,true,git_rm_cached_done,
active_logs/new_server/active_times_2026-05-23.jsonl,D:/Work/HOHONET_ARCHIVE/active_logs_backup_20260630/active_logs/new_server/active_times_2026-05-23.jsonl,10203,d0007031bec6db5dd0eec2abb93a9a0c2c50549747a9bc5efb856f816c1e49e1,d0007031bec6db5dd0eec2abb93a9a0c2c50549747a9bc5efb856f816c1e49e1,true,true,true,git_rm_cached_done,
active_logs/new_server/active_times_2026-05-24.jsonl,D:/Work/HOHONET_ARCHIVE/active_logs_backup_20260630/active_logs/new_server/active_times_2026-05-24.jsonl,45438,9a0ba147bb57af90ee713a5b08bbfec2ff91dc50a023028bcf84ab51571ee394,9a0ba147bb57af90ee713a5b08bbfec2ff91dc50a023028bcf84ab51571ee394,true,true,true,git_rm_cached_done,
active_logs/new_server/active_times_2026-05-25.jsonl,D:/Work/HOHONET_ARCHIVE/active_logs_backup_20260630/active_logs/new_server/active_times_2026-05-25.jsonl,268780,bd417108892d7e72edfefacbadb26a408ae0bb8d66a4c19f40b483456acfa795,bd417108892d7e72edfefacbadb26a408ae0bb8d66a4c19f40b483456acfa795,true,true,true,git_rm_cached_done,
active_logs/new_server/active_times_2026-05-26.jsonl,D:/Work/HOHONET_ARCHIVE/active_logs_backup_20260630/active_logs/new_server/active_times_2026-05-26.jsonl,673963,fab6820db5e620a6d4e189256643b5a3c2230c0ca57c854fb15634f18fcfbc4a,fab6820db5e620a6d4e189256643b5a3c2230c0ca57c854fb15634f18fcfbc4a,true,true,true,git_rm_cached_done,
active_logs/new_server/active_times_2026-05-28.jsonl,D:/Work/HOHONET_ARCHIVE/active_logs_backup_20260630/active_logs/new_server/active_times_2026-05-28.jsonl,1536,915ce5ef0d4a12539dedd431e7b942499d284be64e93a9ade1ddf15e5ab03cab,915ce5ef0d4a12539dedd431e7b942499d284be64e93a9ade1ddf15e5ab03cab,true,true,true,git_rm_cached_done,
active_logs/new_server/active_times_2026-05-29.jsonl,D:/Work/HOHONET_ARCHIVE/active_logs_backup_20260630/active_logs/new_server/active_times_2026-05-29.jsonl,56008,71a72807522bb1c7b5331ffd948b04fb761ac53e7297a74f2738c80b76810067,71a72807522bb1c7b5331ffd948b04fb761ac53e7297a74f2738c80b76810067,true,true,true,git_rm_cached_done,
active_logs/new_server/active_times_2026-05-31.jsonl,D:/Work/HOHONET_ARCHIVE/active_logs_backup_20260630/active_logs/new_server/active_times_2026-05-31.jsonl,234386,7afbcd11c89df865719c6d729a77410f0bbbca0c4236549f7793c2ec905a7a2c,7afbcd11c89df865719c6d729a77410f0bbbca0c4236549f7793c2ec905a7a2c,true,true,true,git_rm_cached_done,
active_logs/new_server/active_times_2026-06-01.jsonl,D:/Work/HOHONET_ARCHIVE/active_logs_backup_20260630/active_logs/new_server/active_times_2026-06-01.jsonl,115698,10703f7915c9d9f198de56a7ce4007c7c22890846a222834d28af2dd9d37beae,10703f7915c9d9f198de56a7ce4007c7c22890846a222834d28af2dd9d37beae,true,true,true,git_rm_cached_done,
active_logs/new_server/active_times_2026-06-03.jsonl,D:/Work/HOHONET_ARCHIVE/active_logs_backup_20260630/active_logs/new_server/active_times_2026-06-03.jsonl,57013,4594048281b2afdb1135bd1cd4eb5653513847b250365e11cfdd6e3886036d84,4594048281b2afdb1135bd1cd4eb5653513847b250365e11cfdd6e3886036d84,true,true,true,git_rm_cached_done,
active_logs/new_server/active_times_2026-06-04.jsonl,D:/Work/HOHONET_ARCHIVE/active_logs_backup_20260630/active_logs/new_server/active_times_2026-06-04.jsonl,129383,244fc98ecbc40248ea7c998fcad84dde01140e068eca30aaa2732ad0951ae644,244fc98ecbc40248ea7c998fcad84dde01140e068eca30aaa2732ad0951ae644,true,true,true,git_rm_cached_done,
active_logs/new_server/active_times_2026-06-05.jsonl,D:/Work/HOHONET_ARCHIVE/active_logs_backup_20260630/active_logs/new_server/active_times_2026-06-05.jsonl,33530,2989fe6f9719f7d1b89d1f148998048962fb9d1dade6d1abcc5aae5d006c91e6,2989fe6f9719f7d1b89d1f148998048962fb9d1dade6d1abcc5aae5d006c91e6,true,true,true,git_rm_cached_done,
active_logs/new_server/active_times_2026-06-06.jsonl,D:/Work/HOHONET_ARCHIVE/active_logs_backup_20260630/active_logs/new_server/active_times_2026-06-06.jsonl,7869,44bcc672bda24f636d5a17fc025c986c75e8fef4d5a611d5ceb2cab662403e62,44bcc672bda24f636d5a17fc025c986c75e8fef4d5a611d5ceb2cab662403e62,true,true,true,git_rm_cached_done,
active_logs/new_server/active_times_2026-06-07.jsonl,D:/Work/HOHONET_ARCHIVE/active_logs_backup_20260630/active_logs/new_server/active_times_2026-06-07.jsonl,1799,2bb2d39a50e0e1db914dde90df66184525c6d85f40f9605ead07b333f8c7d279,2bb2d39a50e0e1db914dde90df66184525c6d85f40f9605ead07b333f8c7d279,true,true,true,git_rm_cached_done,
active_logs/new_server/active_times_2026-06-09.jsonl,D:/Work/HOHONET_ARCHIVE/active_logs_backup_20260630/active_logs/new_server/active_times_2026-06-09.jsonl,2712,ecee5748bdecde254984c56343c48e334c92387bbeff00c7d3a1435b76a91a16,ecee5748bdecde254984c56343c48e334c92387bbeff00c7d3a1435b76a91a16,true,true,true,git_rm_cached_done,
active_logs/new_server/active_times_2026-06-11.jsonl,D:/Work/HOHONET_ARCHIVE/active_logs_backup_20260630/active_logs/new_server/active_times_2026-06-11.jsonl,107713,0727385b0af9b44a38c39e71d717ace1a3de5098b2181dd586ec6a4a53041d35,0727385b0af9b44a38c39e71d717ace1a3de5098b2181dd586ec6a4a53041d35,true,true,true,git_rm_cached_done,
active_logs/new_server/active_times_2026-06-12.jsonl,D:/Work/HOHONET_ARCHIVE/active_logs_backup_20260630/active_logs/new_server/active_times_2026-06-12.jsonl,101792,9fba33f0c42df98ea21c4830455c8e25424c9a9f79af376a44b7bbeb8cba5076,9fba33f0c42df98ea21c4830455c8e25424c9a9f79af376a44b7bbeb8cba5076,true,true,true,git_rm_cached_done,
active_logs/new_server/active_times_2026-06-13.jsonl,D:/Work/HOHONET_ARCHIVE/active_logs_backup_20260630/active_logs/new_server/active_times_2026-06-13.jsonl,12384,6412fc539b974202c0bfac8f33cb0c5d54d1343d05f569b2352bc38a3edd0ad3,6412fc539b974202c0bfac8f33cb0c5d54d1343d05f569b2352bc38a3edd0ad3,true,true,true,git_rm_cached_done,
active_logs/new_server/active_times_2026-06-14.jsonl,D:/Work/HOHONET_ARCHIVE/active_logs_backup_20260630/active_logs/new_server/active_times_2026-06-14.jsonl,13111,39b672d655edecfbae1c0f81ad5fb83457426393589e9dbeb7e57d57fe83ea9e,39b672d655edecfbae1c0f81ad5fb83457426393589e9dbeb7e57d57fe83ea9e,true,true,true,git_rm_cached_done,
