task_cell_id,stage,condition,dataset_group,base_task_id,dense_role,full_valid_support,k,replicates,full_mask_distance,estimate_mean,estimate_bias,estimate_q05,estimate_q95,mean_absolute_error,probability_abs_error_le_0_02,probability_abs_error_le_0_03,probability_abs_error_le_0_05,full_cardinality_diverse,probability_detect_cardinality_diversity,probability_full_top1_is_sample_mode,probability_cover_full_top2_cardinalities,main_dense42_mask_q80,probability_estimate_above_main_q80,stage_dense_mask_q80,probability_estimate_above_stage_q80
C1|manual|C1_anchor_all|uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97,C1,manual,C1_anchor_all,uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97,main_p1_c1_dense42,23,5,1000,0.10895340349385481,0.10896456973714408,1.1166243289270628e-05,0.07525861037729628,0.13556652758141668,0.014673755072115999,0.763,0.919,0.982,True,0.975,0.746,0.901,0.1931645996469437,0.0,0.1467919751474915,0.005
C1|manual|C1_anchor_all|uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97,C1,manual,C1_anchor_all,uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97,main_p1_c1_dense42,23,8,1000,0.10895340349385481,0.10899911545402687,4.571196017205681e-05,0.08728216439217756,0.12766450673431853,0.010036745731202942,0.896,0.977,0.999,True,0.999,0.805,0.99,0.1931645996469437,0.0,0.1467919751474915,0.0
C1|manual|C1_anchor_all|uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97,C1,manual,C1_anchor_all,uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97,main_p1_c1_dense42,23,10,1000,0.10895340349385481,0.10906825963466368,0.00011485614080887496,0.09209175058622995,0.1233773031653198,0.007704746222100759,0.962,0.995,1.0,True,1.0,0.831,0.997,0.1931645996469437,0.0,0.1467919751474915,0.0
C1|manual|C1_anchor_all|uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97,C1,manual,C1_anchor_all,uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97,main_p1_c1_dense42,23,12,1000,0.10895340349385481,0.10863494083852318,-0.00031846265533162776,0.09504949791908461,0.12042443346594045,0.006167549280972439,0.984,0.998,1.0,True,1.0,0.854,1.0,0.1931645996469437,0.0,0.1467919751474915,0.0
C1|manual|C1_anchor_all|uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97,C1,manual,C1_anchor_all,uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97,main_p1_c1_dense42,23,15,1000,0.10895340349385481,0.10920701782639311,0.0002536143325383017,0.0989145658497572,0.11768397820666307,0.0045321365989005056,0.997,1.0,1.0,True,1.0,0.927,1.0,0.1931645996469437,0.0,0.1467919751474915,0.0
C1|manual|C1_anchor_all|uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97,C1,manual,C1_anchor_all,uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97,main_p1_c1_dense42,23,20,1000,0.10895340349385481,0.10889708039195618,-5.632310189862544e-05,0.10221886030632475,0.11291566561249189,0.002574401508582312,1.0,1.0,1.0,True,1.0,1.0,1.0,0.1931645996469437,0.0,0.1467919751474915,0.0
C1|manual|C1_anchor_all|uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8,C1,manual,C1_anchor_all,uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8,main_p1_c1_dense42,23,3,1000,0.14793870459129108,0.14581126902819527,-0.002127435563095803,0.06069693711468319,0.23497542871823715,0.05355491844314861,0.082,0.195,0.494,True,0.97,0.433,0.227,0.1931645996469437,0.304,0.1467919751474915,0.437
C1|manual|C1_anchor_all|uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8,C1,manual,C1_anchor_all,uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8,main_p1_c1_dense42,23,5,1000,0.14793870459129108,0.1463940338732879,-0.0015446707180031827,0.08264035586459965,0.19884515886200888,0.034950677903436554,0.252,0.405,0.777,True,1.0,0.363,0.516,0.1931645996469437,0.09,0.1467919751474915,0.604
C1|manual|C1_anchor_all|uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8,C1,manual,C1_anchor_all,uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8,main_p1_c1_dense42,23,8,1000,0.14793870459129108,0.14761384469099503,-0.00032485990029604284,0.0948771670215197,0.18383270820436648,0.02066999026203181,0.571,0.736,0.926,True,1.0,0.398,0.815,0.1931645996469437,0.009,0.1467919751474915,0.562
C1|manual|C1_anchor_all|uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8,C1,manual,C1_anchor_all,uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8,main_p1_c1_dense42,23,10,1000,0.14793870459129108,0.14802467462562788,8.597003433680195e-05,0.10414033110790553,0.17806959683949983,0.017387331231168222,0.67,0.865,0.975,True,1.0,0.391,0.945,0.1931645996469437,0.0,0.1467919751474915,0.567
C1|manual|C1_anchor_all|uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8,C1,manual,C1_anchor_all,uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8,main_p1_c1_dense42,23,12,1000,0.14793870459129108,0.1483540013620885,0.0004152967707974353,0.11855045357148379,0.17377689835983426,0.014509146170802215,0.706,0.929,0.985,True,1.0,0.433,0.967,0.1931645996469437,0.0,0.1467919751474915,0.611
C1|manual|C1_anchor_all|uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8,C1,manual,C1_anchor_all,uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8,main_p1_c1_dense42,23,15,1000,0.14793870459129108,0.14811150607600257,0.00017280148471149337,0.12213407598212857,0.16757138734604604,0.010900040282349593,0.86,0.969,1.0,True,1.0,0.442,0.997,0.1931645996469437,0.0,0.1467919751474915,0.564
C1|manual|C1_anchor_all|uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8,C1,manual,C1_anchor_all,uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8,main_p1_c1_dense42,23,20,1000,0.14793870459129108,0.14805882401095316,0.00012011941966208473,0.13205343464860178,0.1566077720848245,0.006025433513252646,0.993,0.998,1.0,True,1.0,0.54,1.0,0.1931645996469437,0.0,0.1467919751474915,0.549
C1|manual|C1_anchor_all|uNb9QFRL6hY_ba24e5a57ef34c6dbc0458ed4c1e701d,C1,manual,C1_anchor_all,uNb9QFRL6hY_ba24e5a57ef34c6dbc0458ed4c1e701d,main_p1_c1_dense42,23,3,1000,0.12165974736380426,0.12072118929555224,-0.0009385580682520211,0.05250344729725152,0.20893631323823103,0.03910946052317349,0.277,0.451,0.688,True,0.988,0.523,0.288,0.1931645996469437,0.088,0.1467919751474915,0.286
C1|manual|C1_anchor_all|uNb9QFRL6hY_ba24e5a57ef34c6dbc0458ed4c1e701d,C1,manual,C1_anchor_all,uNb9QFRL6hY_ba24e5a57ef34c6dbc0458ed4c1e701d,main_p1_c1_dense42,23,5,1000,0.12165974736380426,0.12104570135559105,-0.0006140460082132149,0.07123383048022026,0.17587435219889613,0.026832799762421693,0.425,0.627,0.88,True,1.0,0.482,0.595,0.1931645996469437,0.02,0.1467919751474915,0.221
C1|manual|C1_anchor_all|uNb9QFRL6hY_ba24e5a57ef34c6dbc0458ed4c1e701d,C1,manual,C1_anchor_all,uNb9QFRL6hY_ba24e5a57ef34c6dbc0458ed4c1e701d,main_p1_c1_dense42,23,8,1000,0.12165974736380426,0.1202385298764348,-0.0014212174873694666,0.08357672939022637,0.1605990970045347,0.01960692236669432,0.561,0.777,0.982,True,1.0,0.526,0.874,0.1931645996469437,0.0,0.1467919751474915,0.142
C1|manual|C1_anchor_all|uNb9QFRL6hY_ba24e5a57ef34c6dbc0458ed4c1e701d,C1,manual,C1_anchor_all,uNb9QFRL6hY_ba24e5a57ef34c6dbc0458ed4c1e701d,main_p1_c1_dense42,23,10,1000,0.12165974736380426,0.12115638022998214,-0.0005033671338221246,0.0887622698520058,0.15229257508497743,0.015780139769627638,0.669,0.877,0.999,True,1.0,0.52,0.939,0.1931645996469437,0.0,0.1467919751474915,0.094
C1|manual|C1_anchor_all|uNb9QFRL6hY_ba24e5a57ef34c6dbc0458ed4c1e701d,C1,manual,C1_anchor_all,uNb9QFRL6hY_ba24e5a57ef34c6dbc0458ed4c1e701d,main_p1_c1_dense42,23,12,1000,0.12165974736380426,0.12084776216744776,-0.0008119851963565017,0.09239747952834851,0.14745858496883502,0.013272626388883539,0.762,0.923,1.0,True,1.0,0.595,0.986,0.1931645996469437,0.0,0.1467919751474915,0.056
C1|manual|C1_anchor_all|uNb9QFRL6hY_ba24e5a57ef34c6dbc0458ed4c1e701d,C1,manual,C1_anchor_all,uNb9QFRL6hY_ba24e5a57ef34c6dbc0458ed4c1e701d,main_p1_c1_dense42,23,15,1000,0.12165974736380426,0.12135634912782434,-0.00030339823597992643,0.09974886647510615,0.14092311164867308,0.010005686477844666,0.89,0.987,1.0,True,1.0,0.622,0.997,0.1931645996469437,0.0,0.1467919751474915,0.007
C1|manual|C1_anchor_all|uNb9QFRL6hY_ba24e5a57ef34c6dbc0458ed4c1e701d,C1,manual,C1_anchor_all,uNb9QFRL6hY_ba24e5a57ef34c6dbc0458ed4c1e701d,main_p1_c1_dense42,23,20,1000,0.12165974736380426,0.12154110267278065,-0.00011864469102361441,0.10967389363755176,0.1310308751024803,0.005293647912852816,0.996,1.0,1.0,True,1.0,0.836,1.0,0.1931645996469437,0.0,0.1467919751474915,0.0
C1|manual|C1_anchor_all|wc2JMjhGNzB_b41b10699d614f24851b56a9a0e743c6,C1,manual,C1_anchor_all,wc2JMjhGNzB_b41b10699d614f24851b56a9a0e743c6,main_p1_c1_dense42,23,3,1000,0.18980228751918504,0.18894351284002367,-0.0008587746791613726,0.10103587400824914,0.2761817504995368,0.040464336272374266,0.34,0.491,0.668,True,0.971,0.553,0.296,0.1931645996469437,0.499,0.1467919751474915,0.787
