condition,outer_building,k,selected,inner_images,losses
semi,Z6MFQCViBuw,8,profile_context,17,"{'equal': 0.6325223496180042, 'profile_context': 0.6217037229179931, 'profile_continuous': 0.6225143746501203, 'profile_type2': 0.6302807305563991, 'profile_type3': 0.6318081936015582, 'profile_type4': 0.6297007786216302}"
semi,b8cTxDM8gDG,2,equal,41,"{'equal': 0.8953722449597381, 'profile_context': 0.9250348435830147, 'profile_continuous': 0.9170399977094117, 'profile_type2': 0.9061225449475853, 'profile_type3': 0.9122380005784259, 'profile_type4': 0.9118501261509591}"
semi,b8cTxDM8gDG,4,profile_context,17,"{'equal': 0.683349994226811, 'profile_context': 0.6628087506725115, 'profile_continuous': 0.6673728573932746, 'profile_type2': 0.6851183038881369, 'profile_type3': 0.6776407113701426, 'profile_type4': 0.6750373201658038}"
semi,b8cTxDM8gDG,6,profile_context,17,"{'equal': 0.638959183361674, 'profile_context': 0.6160289628539231, 'profile_continuous': 0.6161713409512549, 'profile_type2': 0.6472674498293456, 'profile_type3': 0.6353607027490997, 'profile_type4': 0.6327350717397424}"
semi,b8cTxDM8gDG,8,profile_context,17,"{'equal': 0.640093517542258, 'profile_context': 0.6287126105544955, 'profile_continuous': 0.6292230343819324, 'profile_type2': 0.6378661976868838, 'profile_type3': 0.6350723401863412, 'profile_type4': 0.6346303600373814}"
semi,e9zR4mvMWw7,2,profile_type2,37,"{'equal': 0.924670392651123, 'profile_context': 0.965898680158988, 'profile_continuous': 0.9563901079478615, 'profile_type2': 0.9222578479280524, 'profile_type3': 0.937919054934264, 'profile_type4': 0.9366144476313688}"
semi,e9zR4mvMWw7,4,profile_type2,13,"{'equal': 0.7325437494942408, 'profile_context': 0.7303343834713445, 'profile_continuous': 0.7267413820107728, 'profile_type2': 0.7199173983657847, 'profile_type3': 0.7252287585469473, 'profile_type4': 0.7209573551261728}"
semi,e9zR4mvMWw7,6,profile_type4,13,"{'equal': 0.680640224730909, 'profile_context': 0.680841799594653, 'profile_continuous': 0.6761752743716944, 'profile_type2': 0.6675951447599159, 'profile_type3': 0.6722308228856624, 'profile_type4': 0.6661209523126256}"
semi,e9zR4mvMWw7,8,profile_type2,13,"{'equal': 0.6849404630050012, 'profile_context': 0.6834234169489697, 'profile_continuous': 0.6771922184645139, 'profile_type2': 0.6736199845568104, 'profile_type3': 0.673917229908448, 'profile_type4': 0.6739552373337652}"
semi,q9vSo1VnCiC,2,equal,39,"{'equal': 0.873566867570685, 'profile_context': 0.8945324500781794, 'profile_continuous': 0.8877077076109929, 'profile_type2': 0.8745542832774317, 'profile_type3': 0.8845369807313378, 'profile_type4': 0.88920826705352}"
semi,q9vSo1VnCiC,4,profile_type3,17,"{'equal': 0.6905073366622667, 'profile_context': 0.6813613320635108, 'profile_continuous': 0.6758795864492918, 'profile_type2': 0.6779299355978955, 'profile_type3': 0.6715116688702797, 'profile_type4': 0.6726104743489644}"
semi,q9vSo1VnCiC,6,profile_type3,17,"{'equal': 0.6472455757168641, 'profile_context': 0.6374102462564868, 'profile_continuous': 0.6314458889677288, 'profile_type2': 0.6304706199090013, 'profile_type3': 0.6271103667740022, 'profile_type4': 0.6347557169785607}"
semi,q9vSo1VnCiC,8,profile_type3,17,"{'equal': 0.6396656123470154, 'profile_context': 0.6257611527738209, 'profile_continuous': 0.6258248116734059, 'profile_type2': 0.6262290738402307, 'profile_type3': 0.6225986536279712, 'profile_type4': 0.629181547184469}"
semi,rPc6DW4iMge,2,equal,41,"{'equal': 0.8807323072688257, 'profile_context': 0.9170707511011308, 'profile_continuous': 0.9049021275828484, 'profile_type2': 0.890326374082186, 'profile_type3': 0.9004902427444056, 'profile_type4': 0.9170531239922651}"
semi,rPc6DW4iMge,4,profile_context,17,"{'equal': 0.6639057927499405, 'profile_context': 0.6488818034716821, 'profile_continuous': 0.6493790369657271, 'profile_type2': 0.6642924861494349, 'profile_type3': 0.6600913444504484, 'profile_type4': 0.679813211385879}"
semi,rPc6DW4iMge,6,profile_continuous,17,"{'equal': 0.6169302440682091, 'profile_context': 0.609332425628671, 'profile_continuous': 0.6055072710333025, 'profile_type2': 0.6175698802625355, 'profile_type3': 0.6096059767617575, 'profile_type4': 0.6178957587253958}"
semi,rPc6DW4iMge,8,profile_continuous,17,"{'equal': 0.6200159718067484, 'profile_context': 0.6162190277309951, 'profile_continuous': 0.6130114385443223, 'profile_type2': 0.6218793930829352, 'profile_type3': 0.6170298844133909, 'profile_type4': 0.6246912989427599}"
semi,uNb9QFRL6hY,2,equal,35,"{'equal': 0.8526794219774316, 'profile_context': 0.8770172218797452, 'profile_continuous': 0.8765262884157534, 'profile_type2': 0.8561493972198834, 'profile_type3': 0.8655227285669007, 'profile_type4': 0.8757697895612236}"
semi,uNb9QFRL6hY,4,profile_type4,17,"{'equal': 0.6827053179748477, 'profile_context': 0.6847850681444033, 'profile_continuous': 0.6796660058693551, 'profile_type2': 0.6822039406013857, 'profile_type3': 0.6794318755624006, 'profile_type4': 0.6688956783926154}"
semi,uNb9QFRL6hY,6,profile_context,17,"{'equal': 0.6374616486230662, 'profile_context': 0.6197332028599443, 'profile_continuous': 0.6208967903629234, 'profile_type2': 0.6334419423350075, 'profile_type3': 0.6320562617141183, 'profile_type4': 0.627282904239317}"
semi,uNb9QFRL6hY,8,profile_context,17,"{'equal': 0.6388428918240422, 'profile_context': 0.6161530143208593, 'profile_continuous': 0.6183030425881099, 'profile_type2': 0.636482894645004, 'profile_type3': 0.6291774798644739, 'profile_type4': 0.6255406293656838}"
semi,wc2JMjhGNzB,2,profile_type2,34,"{'equal': 0.9323009091797372, 'profile_context': 0.9726005651277694, 'profile_continuous': 0.9552601597431907, 'profile_type2': 0.9238574991017464, 'profile_type3': 0.948968414348923, 'profile_type4': 0.9587562025103492}"
semi,wc2JMjhGNzB,4,profile_type4,14,"{'equal': 0.727319566397088, 'profile_context': 0.7363910348669824, 'profile_continuous': 0.7287125734319922, 'profile_type2': 0.7255822791089768, 'profile_type3': 0.7255266143660067, 'profile_type4': 0.7169712615972206}"
semi,wc2JMjhGNzB,6,profile_continuous,14,"{'equal': 0.6744041622310062, 'profile_context': 0.6520890278823803, 'profile_continuous': 0.6517659947583038, 'profile_type2': 0.6691431960763412, 'profile_type3': 0.6665793756323105, 'profile_type4': 0.6588331010282623}"
semi,wc2JMjhGNzB,8,profile_continuous,14,"{'equal': 0.6649467377697137, 'profile_context': 0.6483839499837877, 'profile_continuous': 0.6478017721022267, 'profile_type2': 0.6624868837276772, 'profile_type3': 0.6598895989660785, 'profile_type4': 0.6518070063701155}"
semi,yqstnuAEVhm,2,equal,40,"{'equal': 0.9098378914286341, 'profile_context': 0.9437070753328435, 'profile_continuous': 0.9347217512752106, 'profile_type2': 0.9174082542371679, 'profile_type3': 0.9456535251056234, 'profile_type4': 0.9297379391320761}"
semi,yqstnuAEVhm,4,profile_type4,18,"{'equal': 0.6891455134601062, 'profile_context': 0.686160949492656, 'profile_continuous': 0.6839328962398595, 'profile_type2': 0.6890806984766193, 'profile_type3': 0.685135473439796, 'profile_type4': 0.6831607933365995}"
semi,yqstnuAEVhm,6,profile_continuous,18,"{'equal': 0.6442843959502567, 'profile_context': 0.6238976952012263, 'profile_continuous': 0.6226808142490257, 'profile_type2': 0.6439124501339442, 'profile_type3': 0.6369708034138566, 'profile_type4': 0.6368351171774691}"
semi,yqstnuAEVhm,8,profile_context,18,"{'equal': 0.6414788127079722, 'profile_context': 0.6237457521510016, 'profile_continuous': 0.6250377014066132, 'profile_type2': 0.6384821226075851, 'profile_type3': 0.6340177693045462, 'profile_type4': 0.6388154045846316}"
oos_geometry,7y3sRwLe3Va,2,equal,7,"{'equal': 1.3001873350893705, 'profile_context': 1.36255147804783, 'profile_continuous': 1.3482931783493313, 'profile_type2': 1.3422185502798007, 'profile_type3': 1.3371478834326211, 'profile_type4': 1.3313807502474113}"
oos_geometry,7y3sRwLe3Va,4,equal,7,"{'equal': 1.1084804279020886, 'profile_context': 1.1639677836817799, 'profile_continuous': 1.1541849923194396, 'profile_type2': 1.1276200522893356, 'profile_type3': 1.1253402164476387, 'profile_type4': 1.1377219046148481}"
oos_geometry,7y3sRwLe3Va,6,equal,7,"{'equal': 1.038954576151378, 'profile_context': 1.0550185439137985, 'profile_continuous': 1.0501620474635478, 'profile_type2': 1.0467392117568637, 'profile_type3': 1.047329473881957, 'profile_type4': 1.0495188884111288}"
oos_geometry,7y3sRwLe3Va,8,equal,7,"{'equal': 1.0121324391977622, 'profile_context': 1.0392702651795642, 'profile_continuous': 1.0338441706779722, 'profile_type2': 1.020986074204957, 'profile_type3': 1.0211082450205446, 'profile_type4': 1.027256893982329}"
oos_geometry,UwV83HsGsw3,2,equal,6,"{'equal': 1.2746258295122248, 'profile_context': 1.3164403111407783, 'profile_continuous': 1.3144177953182945, 'profile_type2': 1.3046146202105682, 'profile_type3': 1.2990210927518346, 'profile_type4': 1.2920890971289767}"
oos_geometry,UwV83HsGsw3,4,equal,6,"{'equal': 1.0949961943627236, 'profile_context': 1.1206806851485884, 'profile_continuous': 1.1174924764906722, 'profile_type2': 1.0998954458121541, 'profile_type3': 1.1020936885898516, 'profile_type4': 1.1098965322568184}"
oos_geometry,UwV83HsGsw3,6,equal,6,"{'equal': 1.0136952527638103, 'profile_context': 1.0221596719209851, 'profile_continuous': 1.021443472560683, 'profile_type2': 1.0154741151206876, 'profile_type3': 1.019996630943513, 'profile_type4': 1.0199352898541012}"
oos_geometry,UwV83HsGsw3,8,equal,6,"{'equal': 0.9873690689052266, 'profile_context': 0.994538572199417, 'profile_continuous': 0.994250411103462, 'profile_type2': 0.9893487950574439, 'profile_type3': 0.9932951934524515, 'profile_type4': 0.9938890609643921}"
oos_geometry,b8cTxDM8gDG,2,equal,8,"{'equal': 1.3348977779623021, 'profile_context': 1.3988130568529755, 'profile_continuous': 1.3902188382396687, 'profile_type2': 1.3636566141322646, 'profile_type3': 1.3589734359224033, 'profile_type4': 1.3557437565829398}"
oos_geometry,b8cTxDM8gDG,4,equal,8,"{'equal': 1.138025485215909, 'profile_context': 1.1748138841675968, 'profile_continuous': 1.1680933066718295, 'profile_type2': 1.1444155025056133, 'profile_type3': 1.1511469371579157, 'profile_type4': 1.1500058427394564}"
oos_geometry,b8cTxDM8gDG,6,equal,8,"{'equal': 1.0482330887478253, 'profile_context': 1.0584316518259484, 'profile_continuous': 1.0542358429267917, 'profile_type2': 1.0549219493644266, 'profile_type3': 1.0566736960015732, 'profile_type4': 1.0579321274397315}"
oos_geometry,b8cTxDM8gDG,8,equal,8,"{'equal': 1.0173529291874388, 'profile_context': 1.036928984182773, 'profile_continuous': 1.0304040330147572, 'profile_type2': 1.0245086133267527, 'profile_type3': 1.0273669643080932, 'profile_type4': 1.0302598600266017}"
oos_geometry,q9vSo1VnCiC,2,equal,8,"{'equal': 1.3311218604320423, 'profile_context': 1.388639866377161, 'profile_continuous': 1.3797306919597792, 'profile_type2': 1.3311218604320423, 'profile_type3': 1.3607071743745573, 'profile_type4': 1.364414172204735}"
oos_geometry,q9vSo1VnCiC,4,equal,8,"{'equal': 1.125433452937221, 'profile_context': 1.1631720652706512, 'profile_continuous': 1.1536690255431241, 'profile_type2': 1.1292556724125762, 'profile_type3': 1.1411684663739834, 'profile_type4': 1.1381469864829286}"
oos_geometry,q9vSo1VnCiC,6,equal,8,"{'equal': 1.0454473537058506, 'profile_context': 1.0623029827372124, 'profile_continuous': 1.0556060255077127, 'profile_type2': 1.0478837969541306, 'profile_type3': 1.0465486648093607, 'profile_type4': 1.0474565865301027}"
oos_geometry,q9vSo1VnCiC,8,profile_type2,8,"{'equal': 1.0186646522463596, 'profile_context': 1.0496746694454904, 'profile_continuous': 1.0401154434400919, 'profile_type2': 1.018187178345583, 'profile_type3': 1.0221229658159916, 'profile_type4': 1.0263902682779646}"
oos_geometry,uNb9QFRL6hY,2,equal,8,"{'equal': 1.3263196706033076, 'profile_context': 1.3885558870526404, 'profile_continuous': 1.3744332874306853, 'profile_type2': 1.3496374746680955, 'profile_type3': 1.3622375863647078, 'profile_type4': 1.3595729349476493}"
oos_geometry,uNb9QFRL6hY,4,equal,8,"{'equal': 1.1383867083521562, 'profile_context': 1.185502795032966, 'profile_continuous': 1.1764172978863603, 'profile_type2': 1.1546066940958108, 'profile_type3': 1.163267848454256, 'profile_type4': 1.166079082204726}"
oos_geometry,uNb9QFRL6hY,6,equal,8,"{'equal': 1.0342633205902227, 'profile_context': 1.0593814122821095, 'profile_continuous': 1.0528236974905578, 'profile_type2': 1.0436048759402567, 'profile_type3': 1.0481111796565572, 'profile_type4': 1.0511713638222553}"
oos_geometry,uNb9QFRL6hY,8,equal,8,"{'equal': 1.0097030491662005, 'profile_context': 1.0348651987585555, 'profile_continuous': 1.025960401957276, 'profile_type2': 1.0148165822875266, 'profile_type3': 1.0170542958437538, 'profile_type4': 1.0191340928722716}"
oos_geometry,yqstnuAEVhm,2,equal,8,"{'equal': 1.352939550437133, 'profile_context': 1.4301569801153868, 'profile_continuous': 1.4176004051032527, 'profile_type2': 1.4148847015094905, 'profile_type3': 1.3977605517142724, 'profile_type4': 1.3929018566342921}"
oos_geometry,yqstnuAEVhm,4,equal,8,"{'equal': 1.1355297171016727, 'profile_context': 1.1812934054491087, 'profile_continuous': 1.1741234420038356, 'profile_type2': 1.1690945685168541, 'profile_type3': 1.1608915014711307, 'profile_type4': 1.1617570467467218}"
oos_geometry,yqstnuAEVhm,6,equal,8,"{'equal': 1.0518201231676214, 'profile_context': 1.0855480106869702, 'profile_continuous': 1.080203455198064, 'profile_type2': 1.0754722150782654, 'profile_type3': 1.0724516936372792, 'profile_type4': 1.0699001202485585}"
oos_geometry,yqstnuAEVhm,8,equal,8,"{'equal': 1.0298456886317882, 'profile_context': 1.0616813479927736, 'profile_continuous': 1.0554449194453497, 'profile_type2': 1.0472041113998847, 'profile_type3': 1.0464152693230726, 'profile_type4': 1.0466032872822435}"
