condition,target,feature,controls,n,buildings,slope,cluster_se,lo,hi,partial_rho,status
semi,within_mode_median,trait__reflection_glass__present,n_building_scene,41,12,0.0214316607237,0.00890192033152,0.00398389687395,0.0388794245735,0.13407408222,descriptive_not_causal
semi,within_mode_median,count_hohonet,n_building_scene,41,12,0.00286884993825,0.00113789735803,0.00063857111651,0.00509912875999,0.347723810419,descriptive_not_causal
semi,within_mode_median,rotation_hohonet,n_building_scene,41,12,9.55963587934,5.24966594154,-0.729709366084,19.8489811248,0.218302191069,descriptive_not_causal
semi,within_mode_median,count_bi_enclosed,n_building_scene,41,12,-0.000478274022753,0.00211351377096,-0.00462076101383,0.00366421296832,-0.229716789556,descriptive_not_causal
semi,within_mode_median,bi_head_geometry_gap,n_building_scene,41,12,0.017550255673,0.0381627022317,-0.0572486407012,0.0923491520471,-0.030663356447,descriptive_not_causal
semi,within_mode_median,gap_hohonet_ulayout,n_building_scene,41,12,0.116992855076,0.0545154898414,0.0101424949869,0.223843215165,0.13807221582,descriptive_not_causal
semi,point_count_disagreement,trait__floor_boundary__partial,n_building_scene,43,12,0.516869394949,0.10709048293,0.306972048406,0.726766741491,0.254806435875,descriptive_not_causal
semi,point_count_disagreement,trait__reflection_glass__present,n_building_scene,43,12,0.0527148799993,0.177870853313,-0.295911992495,0.401341752493,0.122403507939,descriptive_not_causal
semi,point_count_disagreement,count_hohonet,n_building_scene,43,12,0.0178700885586,0.0221372783996,-0.0255189771045,0.0612591542218,0.216759187222,descriptive_not_causal
semi,point_count_disagreement,rotation_hohonet,n_building_scene,43,12,34.2918890506,71.6771888603,-106.195401116,174.779179217,0.0616197848278,descriptive_not_causal
semi,point_count_disagreement,count_bi_enclosed,n_building_scene,43,12,0.00179505351636,0.0174249568927,-0.0323578619933,0.0359479690261,0.00759120799005,descriptive_not_causal
semi,point_count_disagreement,bi_head_geometry_gap,n_building_scene,43,12,0.413684901416,0.511408551704,-0.588675859924,1.41604566276,0.10677339002,descriptive_not_causal
semi,point_count_disagreement,gap_hohonet_ulayout,n_building_scene,43,12,2.25250111723,1.21603038366,-0.130918434733,4.6359206692,0.153898433185,descriptive_not_causal
