worker_id,effect,fit_status,component,layer_value,label,training_rows,training_images,training_buildings,cohort,metric,k,method
32,-0.2721197462471545,usable,0,2.3709818305269206,2,87,87,18,all26,ospa60,2,quantile
33,-2.6668773051653676,usable,0,-2.3709818305269197,1,86,86,18,all26,ospa60,2,quantile
34,2.8997827857096863,usable,0,2.3709818305269206,2,101,101,19,all26,ospa60,2,quantile
35,0.5739566585615635,usable,0,2.3709818305269206,2,79,79,18,all26,ospa60,2,quantile
36,-1.0676212038624546,usable,0,-2.3709818305269197,1,85,85,19,all26,ospa60,2,quantile
37,3.947762340664518,usable,0,2.3709818305269206,2,83,83,18,all26,ospa60,2,quantile
6,-1.071252321927779,usable,0,-2.3709818305269197,1,83,83,18,all26,ospa60,2,quantile
8,-1.5598097946504217,usable,0,-2.3709818305269197,1,80,80,18,all26,ospa60,2,quantile
1,-1.6194844063875493,usable,0,-2.92788868280049,1,85,85,18,all26,ospa60,3,quantile
10,-0.7729840805298763,usable,0,-0.8370736183322388,2,83,83,17,all26,ospa60,3,quantile
11,-0.12143604844029425,usable,0,3.671954121318036,3,83,83,17,all26,ospa60,3,quantile
12,-0.7892636910838161,usable,0,-0.8370736183322388,2,78,78,17,all26,ospa60,3,quantile
13,-0.39045577715151375,usable,0,-0.8370736183322388,2,81,81,18,all26,ospa60,3,quantile
14,-1.2049784346981756,usable,0,-0.8370736183322388,2,74,74,13,all26,ospa60,3,quantile
15,-2.4064634921016723,usable,0,-2.92788868280049,1,82,82,19,all26,ospa60,3,quantile
17,-2.9732384903448055,usable,0,-2.92788868280049,1,82,82,19,all26,ospa60,3,quantile
18,-3.135351443188726,usable,0,-2.92788868280049,1,74,74,13,all26,ospa60,3,quantile
19,13.9996251283915,usable,0,3.671954121318036,3,45,45,13,all26,ospa60,3,quantile
2,-5.507403014176008,usable,0,-2.92788868280049,1,78,78,16,all26,ospa60,3,quantile
21,-1.1279136911571404,usable,0,-0.8370736183322388,2,45,45,13,all26,ospa60,3,quantile
26,11.260943608651319,usable,0,3.671954121318036,3,22,22,12,all26,ospa60,3,quantile
27,-3.662948402942726,usable,0,-2.92788868280049,1,75,75,13,all26,ospa60,3,quantile
28,-2.8194217962471333,usable,0,-2.92788868280049,1,80,80,17,all26,ospa60,3,quantile
29,0.5314438387951137,usable,0,3.671954121318036,3,81,81,17,all26,ospa60,3,quantile
30,-0.006761043633213653,usable,0,3.671954121318036,3,84,84,17,all26,ospa60,3,quantile
31,-0.037730176837867654,usable,0,3.671954121318036,3,89,89,19,all26,ospa60,3,quantile
32,-0.2721197462471545,usable,0,-0.8370736183322388,2,87,87,18,all26,ospa60,3,quantile
33,-2.6668773051653676,usable,0,-2.92788868280049,1,86,86,18,all26,ospa60,3,quantile
34,2.8997827857096863,usable,0,3.671954121318036,3,101,101,19,all26,ospa60,3,quantile
35,0.5739566585615635,usable,0,3.671954121318036,3,79,79,18,all26,ospa60,3,quantile
36,-1.0676212038624546,usable,0,-0.8370736183322388,2,85,85,19,all26,ospa60,3,quantile
37,3.947762340664518,usable,0,3.671954121318036,3,83,83,18,all26,ospa60,3,quantile
6,-1.071252321927779,usable,0,-0.8370736183322388,2,83,83,18,all26,ospa60,3,quantile
8,-1.5598097946504217,usable,0,-2.92788868280049,1,80,80,18,all26,ospa60,3,quantile
1,-1.6194844063875493,usable,0,-1.2751766421139201,2,85,85,18,all26,ospa60,4,quantile
10,-0.7729840805298763,usable,0,-0.39733158671508706,3,83,83,17,all26,ospa60,4,quantile
11,-0.12143604844029425,usable,0,-0.39733158671508706,3,83,83,17,all26,ospa60,4,quantile
12,-0.7892636910838161,usable,0,-0.39733158671508706,3,78,78,17,all26,ospa60,4,quantile
13,-0.39045577715151375,usable,0,-0.39733158671508706,3,81,81,18,all26,ospa60,4,quantile
14,-1.2049784346981756,usable,0,-1.2751766421139201,2,74,74,13,all26,ospa60,4,quantile
15,-2.4064634921016723,usable,0,-3.3102434205952056,1,82,82,19,all26,ospa60,4,quantile
17,-2.9732384903448055,usable,0,-3.3102434205952056,1,82,82,19,all26,ospa60,4,quantile
18,-3.135351443188726,usable,0,-3.3102434205952056,1,74,74,13,all26,ospa60,4,quantile
19,13.9996251283915,usable,0,4.743821902448642,4,45,45,13,all26,ospa60,4,quantile
2,-5.507403014176008,usable,0,-3.3102434205952056,1,78,78,16,all26,ospa60,4,quantile
21,-1.1279136911571404,usable,0,-1.2751766421139201,2,45,45,13,all26,ospa60,4,quantile
26,11.260943608651319,usable,0,4.743821902448642,4,22,22,12,all26,ospa60,4,quantile
27,-3.662948402942726,usable,0,-3.3102434205952056,1,75,75,13,all26,ospa60,4,quantile
28,-2.8194217962471333,usable,0,-3.3102434205952056,1,80,80,17,all26,ospa60,4,quantile
29,0.5314438387951137,usable,0,4.743821902448642,4,81,81,17,all26,ospa60,4,quantile
30,-0.006761043633213653,usable,0,4.743821902448642,4,84,84,17,all26,ospa60,4,quantile
31,-0.037730176837867654,usable,0,-0.39733158671508706,3,89,89,19,all26,ospa60,4,quantile
32,-0.2721197462471545,usable,0,-0.39733158671508706,3,87,87,18,all26,ospa60,4,quantile
33,-2.6668773051653676,usable,0,-3.3102434205952056,1,86,86,18,all26,ospa60,4,quantile
34,2.8997827857096863,usable,0,4.743821902448642,4,101,101,19,all26,ospa60,4,quantile
35,0.5739566585615635,usable,0,4.743821902448642,4,79,79,18,all26,ospa60,4,quantile
36,-1.0676212038624546,usable,0,-1.2751766421139201,2,85,85,19,all26,ospa60,4,quantile
37,3.947762340664518,usable,0,4.743821902448642,4,83,83,18,all26,ospa60,4,quantile
6,-1.071252321927779,usable,0,-1.2751766421139201,2,83,83,18,all26,ospa60,4,quantile
8,-1.5598097946504217,usable,0,-1.2751766421139201,2,80,80,18,all26,ospa60,4,quantile
1,-1.6194844063875493,usable,0,-1.583729963798992,2,85,85,18,all26,ospa60,5,quantile
10,-0.7729840805298763,usable,0,-0.8183154149110881,3,83,83,17,all26,ospa60,5,quantile
