method,baseline,algorithm,condition,target,design,n_images,n_buildings,method_MAE,baseline_MAE,paired_MAE_delta,relative_MAE_reduction,CI_low,CI_high,building_macro_delta,macro_CI_low,macro_CI_high
A_all_traits,baseline,ridge,manual,scope_p_normal,same_room_leave_view,40,12,0.168932117475,0.173505434783,-0.00457331730766,0.0263583519063,-0.0104524815462,0,-0.00377529973881,-0.00987654320978,0
A_all_traits,baseline,ridge,manual,scope_p_oos_geometry,leave_building,187,22,0.0593087958855,0.0405957639973,0.0187130318882,-0.460960209776,0.0115858245142,0.0264651994538,0.0220856474041,0.0150574098012,0.0289543310431
A_all_traits,baseline,ridge,manual,scope_p_oos_geometry,leave_supported_room_conservative,69,18,0.0548255660376,0.0364996849401,0.0183258810975,-0.502083268047,0.00614481609945,0.0289877954866,0.0151679258461,0.00466208386436,0.0257596575025
A_all_traits,baseline,ridge,manual,scope_p_oos_geometry,same_room_leave_view,40,12,0.0662515677257,0.0626177536232,0.00363381410255,-0.0580316905716,-0.0031746031746,0.0123780657748,0.00140150166191,-0.0037037037037,0.00790820868943
A_all_traits,baseline,ridge,manual,scope_p_oos_insufficient,leave_building,187,22,0.0294405337431,0.01822056886,0.0112199648832,-0.615785652435,0.00824292648078,0.0149238954862,0.0128524669384,0.00915293986401,0.0171253701309
A_all_traits,baseline,ridge,manual,scope_p_oos_insufficient,leave_supported_room_conservative,69,18,0.0346229060032,0.0257246376812,0.00889826832202,-0.345904515053,0.00540701086428,0.0135149725954,0.0118505401639,0.00689513283261,0.017257224869
A_all_traits,baseline,ridge,manual,scope_p_oos_insufficient,same_room_leave_view,40,12,0.0132732371795,0.0141666666667,-0.00089342948719,0.0630656108605,-0.00369953627934,0.00158730158729,-0.0001877077398,-0.00241497507123,0.00185185185183
A_all_traits,baseline,ridge,manual,scope_p_oos_open_boundary,leave_building,187,22,0.150329747532,0.123108966907,0.0272207806247,-0.221111274902,0.0136564156635,0.0406667044158,0.0327505345754,0.0145380348567,0.0499775437079
A_all_traits,baseline,ridge,manual,scope_p_oos_open_boundary,leave_supported_room_conservative,69,18,0.180744680445,0.141461877757,0.0392828026879,-0.277691794502,0.0142785945087,0.0701734636586,0.0567941938069,0.0264523490864,0.0900742397172
A_all_traits,baseline,ridge,manual,scope_p_oos_open_boundary,same_room_leave_view,40,12,0.189093157748,0.188460144927,0.000633012820532,-0.00335886837387,0,0.00185226276571,0.00066031576449,0,0.00193791547959
A_all_traits,baseline,ridge,manual,scope_p_oos_split_level,leave_building,187,22,0.0303524353399,0.0176315585523,0.0127208767876,-0.721483398639,0.00956582381572,0.0158848194683,0.0121201749399,0.00794283564347,0.0158920733287
A_all_traits,baseline,ridge,manual,scope_p_oos_split_level,leave_supported_room_conservative,69,18,0.0317047820209,0.0219806763285,0.00972410569244,-0.442393379854,0.00421938596083,0.0135577953685,0.0075974086427,0.000410776494713,0.0130359021919
A_all_traits,baseline,ridge,manual,scope_p_oos_split_level,same_room_leave_view,40,12,0.0293302617521,0.0302083333334,-0.00087807158121,0.0290671971711,-0.00239474067603,0,-0.000487817545117,-0.00146345263535,0
A_all_traits,baseline,ridge,manual,within_topology_geometry_dispersion,leave_building,150,22,0.0529069613709,0.0474451757617,0.00546178560916,-0.115117828556,-0.000672775327098,0.0108048222518,0.00120078528721,-0.00643401078784,0.00701147891754
A_all_traits,baseline,ridge,manual,within_topology_geometry_dispersion,leave_supported_room_conservative,54,17,0.0437306950195,0.0361773402079,0.00755335481153,-0.208786902744,-0.00064278348378,0.0148657648009,0.0066505171363,-0.00426480070233,0.0178867851249
A_all_traits,baseline,ridge,manual,within_topology_geometry_dispersion,same_room_leave_view,29,10,0.0479944335709,0.0475582733114,0.000436160259479,-0.00917107012324,0,0.00111605713455,0.000210810792082,0,0.000632432376245
A_all_traits,baseline,ridge,semi,owner_valid_active_seconds,leave_building,43,12,59.8030874846,53.9825581395,5.82052934506,-0.107822406823,-2.40013320432,12.9747233217,2.29087559224,-6.66169604173,11.459831764
A_all_traits,baseline,ridge,semi,owner_valid_active_seconds,leave_supported_room_conservative,16,9,68.0127863833,69.203125,-1.19033861672,0.0172006483338,-9.96822084796,7.51539731185,-0.582885072772,-11.8402852811,10.8915410889
A_all_traits,baseline,ridge,semi,owner_valid_active_seconds,same_room_leave_view,0,0,,,,,,,,,
A_all_traits,baseline,ridge,semi,point_count_disagreement,leave_building,43,12,0.266279129435,0.248961739305,0.0173173901296,-0.0695584396941,-0.0234199930433,0.0855247351917,0.00764127066663,-0.0456613000126,0.0901095059903
A_all_traits,baseline,ridge,semi,point_count_disagreement,leave_supported_room_conservative,16,9,0.230107814458,0.230803277338,-0.00069546288069,0.00301322792601,-0.0274231907535,0.0191285505292,-0.00776411578414,-0.031110977404,0.0149270952696
A_all_traits,baseline,ridge,semi,point_count_disagreement,same_room_leave_view,0,0,,,,,,,,,
A_all_traits,baseline,ridge,semi,reference_geometry_error,leave_building,43,12,0.0384706521326,0.036828357681,0.0016422944516,-0.0445932035803,-0.00287683174362,0.00468405340409,-0.00059759574116,-0.00478340024289,0.00335920224044
A_all_traits,baseline,ridge,semi,reference_geometry_error,leave_supported_room_conservative,16,9,0.0424088660986,0.0383774725812,0.00403139351741,-0.10504583148,-0.00056234166541,0.00728444206743,0.0024086905357,-0.00243245167381,0.00656718129678
A_all_traits,baseline,ridge,semi,reference_geometry_error,same_room_leave_view,0,0,,,,,,,,,
A_all_traits,baseline,ridge,semi,scope_entropy,leave_building,43,12,0.411173683005,0.40418211339,0.00699156961432,-0.017298067833,-0.061767915943,0.0660269069325,0.00364036196499,-0.0701137251533,0.0730273464517
A_all_traits,baseline,ridge,semi,scope_entropy,leave_supported_room_conservative,16,9,0.447147037191,0.489878774887,-0.0427317376968,0.0872292083008,-0.199213167995,0.119388000331,-0.0473067038352,-0.218672604057,0.136489487592
A_all_traits,baseline,ridge,semi,scope_entropy,same_room_leave_view,0,0,,,,,,,,,
A_all_traits,baseline,ridge,semi,scope_non_normal_rate,leave_building,43,12,0.153462054583,0.129651162791,0.0238108917922,-0.183653515168,-0.0089360281012,0.0531212695956,0.0188496668318,-0.014559161339,0.0532994109554
A_all_traits,baseline,ridge,semi,scope_non_normal_rate,leave_supported_room_conservative,16,9,0.179669253921,0.1796875,-1.82460792e-05,0.000101543397287,-0.0525478488648,0.0499114971221,0.00228591470129,-0.0541142989289,0.0621976048341
A_all_traits,baseline,ridge,semi,scope_non_normal_rate,same_room_leave_view,0,0,,,,,,,,,
A_all_traits,baseline,ridge,semi,scope_p_normal,leave_building,43,12,0.153462054583,0.129651162791,0.0238108917921,-0.183653515168,-0.00893602810121,0.0531212695956,0.0188496668317,-0.0145591613391,0.0532994109553
A_all_traits,baseline,ridge,semi,scope_p_normal,leave_supported_room_conservative,16,9,0.179669253921,0.1796875,-1.82460792312e-05,0.000101543397461,-0.0525478488649,0.049911497122,0.00228591470124,-0.054114298929,0.0621976048341
A_all_traits,baseline,ridge,semi,scope_p_normal,same_room_leave_view,0,0,,,,,,,,,
A_all_traits,baseline,ridge,semi,scope_p_oos_geometry,leave_building,43,12,0.0434467570345,0.0281007751938,0.0153459818407,-0.546105284813,0.00724638821979,0.0240227327421,0.0137117602671,0.00387296315416,0.0246793661552
A_all_traits,baseline,ridge,semi,scope_p_oos_geometry,leave_supported_room_conservative,16,9,0.0447476135058,0.0338541666667,0.0108934468391,-0.321775660478,-0.00146944707866,0.0255016365693,0.0106720044197,-0.00441569896668,0.0248582199049
A_all_traits,baseline,ridge,semi,scope_p_oos_geometry,same_room_leave_view,0,0,,,,,,,,,
A_all_traits,baseline,ridge,semi,scope_p_oos_insufficient,leave_building,43,12,0.0137754980419,0.00658914728682,0.00718635075511,-1.09063440872,0.00466545350142,0.00890521867717,0.00649930828987,0.00469775232618,0.00826597710087
A_all_traits,baseline,ridge,semi,scope_p_oos_insufficient,leave_supported_room_conservative,16,9,0.010236411315,0.00260416666667,0.00763224464828,-2.93078194494,0.00448525554664,0.00952528308311,0.00726337381706,0.00482352423639,0.00934529097134
A_all_traits,baseline,ridge,semi,scope_p_oos_insufficient,same_room_leave_view,0,0,,,,,,,,,
A_all_traits,baseline,ridge,semi,scope_p_oos_open_boundary,leave_building,43,12,0.111802623603,0.0736434108527,0.0381592127506,-0.51816194156,0.0180347555795,0.0572490112992,0.0350469206843,0.0100723582654,0.0614521504624
A_all_traits,baseline,ridge,semi,scope_p_oos_open_boundary,leave_supported_room_conservative,16,9,0.144073593713,0.127604166667,0.0164694270465,-0.129066530324,-0.00888344631264,0.0439718852909,0.0210044668367,-0.00989015168201,0.0524569384371
A_all_traits,baseline,ridge,semi,scope_p_oos_open_boundary,same_room_leave_view,0,0,,,,,,,,,
A_all_traits,baseline,ridge,semi,scope_p_oos_split_level,leave_building,43,12,0.0452932859014,0.015503875969,0.0297894099324,-1.92141694064,0.00673248676682,0.0744501110336,0.0320154364139,0.00753878711539,0.0753888882695
A_all_traits,baseline,ridge,semi,scope_p_oos_split_level,leave_supported_room_conservative,16,9,0.0637963918724,0.0104166666667,0.0533797252057,-5.12445361974,0.00484694463154,0.164245748837,0.0517419946062,0.00611884426209,0.135396984107
A_all_traits,baseline,ridge,semi,scope_p_oos_split_level,same_room_leave_view,0,0,,,,,,,,,
A_all_traits,baseline,ridge,semi,within_topology_geometry_dispersion,leave_building,42,12,0.0404728649545,0.0341248965135,0.00634796844096,-0.186021617339,0.000248916145614,0.0128382453675,0.0055684473161,-0.000316290942606,0.011708886433
A_all_traits,baseline,ridge,semi,within_topology_geometry_dispersion,leave_supported_room_conservative,16,9,0.033305859834,0.0261111549703,0.00719470486377,-0.275541425569,0.000701535054676,0.0183414248833,0.00947203403493,0.000971537589166,0.0188950699204
A_all_traits,baseline,ridge,semi,within_topology_geometry_dispersion,same_room_leave_view,0,0,,,,,,,,,
B_feedback,baseline,knn,manual,owner_valid_active_seconds,leave_building,187,22,78.0614973262,68.5147058824,9.54679144385,-0.139339304182,4.30272159091,13.7662553275,8.63082179815,4.29312402087,12.7062649007
B_feedback,baseline,knn,manual,owner_valid_active_seconds,leave_supported_room_conservative,69,18,77.3971014493,72.1884057971,5.20869565217,-0.0721541859064,-3.26637611607,15.6628515625,5.6630952381,-1.32696428571,12.9860350529
