condition,field,value,images,buildings,median_people,invalid_images,unassigned,simple,medium,difficult_candidate,cdf_early7_n,cdf_early7_mean,cdf_early7_median,cdf_observed_by19_n,cdf_observed_by19_mean,cdf_observed_by19_median,late_new_geometry_n,late_new_geometry_mean,late_new_geometry_median,half_tv_n,half_tv_mean,half_tv_median,singleton_mass_n,singleton_mass_mean,singleton_mass_median,within_mode_median_n,within_mode_median_mean,within_mode_median_median,point_count_disagreement_n,point_count_disagreement_mean,point_count_disagreement_median
semi,scene_category,厨房与用餐,2,2,13.5,1,1,1,0,0,1,1,1,1,1,1,2,0.0454166666667,0.0454166666667,2,0.077114624506,0.077114624506,2,0.0217391304348,0.0217391304348,2,0.0181695899976,0.0181695899976,2,0.322134387352,0.322134387352
semi,scene_category,复合／待定,5,4,24,0,5,0,0,0,3,0.2,0,3,0.616666666667,0.6,5,0.158333333333,0.0441666666667,5,0.126166666667,0.1175,5,0.141666666667,0.0416666666667,5,0.0273887990754,0.0198287474,5,0.271739130435,0.235507246377
semi,scene_category,工作与学习,2,1,14,0,2,0,0,0,1,0,0,1,0.04,0.04,2,0.182916666666,0.182916666666,2,0.20875,0.20875,2,0.166666666667,0.166666666667,2,0.00339890898064,0.00339890898064,2,0.182971014493,0.182971014493
semi,scene_category,开放复合空间,1,1,4,0,0,1,0,0,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
semi,scene_category,无法判断,1,1,5,0,1,0,0,0,0,,,0,,,1,0.203333333333,0.203333333333,1,0.239,0.239,1,0.2,0.2,1,0.0212795173415,0.0212795173415,1,0.4,0.4
semi,scene_category,起居与休闲,3,3,4,0,3,0,0,0,1,0,0,1,0.39,0.39,3,0.175277777778,0.245,3,0.198194444444,0.25,3,0.180555555556,0.25,3,0.0195767625897,0.0158901573588,3,0.333333333333,0.5
semi,scene_category,通行与连接,10,5,4,0,9,0,0,1,3,0,0,3,0.18,0,10,0.327416666667,0.385,10,0.20425,0.25375,10,0.2875,0.354166666666,10,0.0241756929951,0.0254211043856,10,0.206884057971,0
semi,fine_human,,39,12,5,4,37,1,0,1,13,0.123076923077,0,13,0.440769230769,0.5,38,0.233353269537,0.18375,38,0.193267994591,0.187916666667,39,0.218930948279,0.166666666667,37,0.0281089389042,0.0242046332434,39,0.30985487942,0.289855072464
semi,fine_human,烹饪、用餐,1,1,4,0,0,1,0,0,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,1,0.000842867407285,0.000842867407285,1,0,0
semi,fine_human,用途未定,1,1,5,0,1,0,0,0,0,,,0,,,1,0.203333333333,0.203333333333,1,0.239,0.239,1,0.2,0.2,1,0.0212795173415,0.0212795173415,1,0.4,0.4
semi,fine_human,睡眠,1,1,24,0,0,0,1,0,1,0.3,0.3,1,1,1,1,0,0,1,0,0,1,0,0,1,0.0333776225288,0.0333776225288,1,0,0
semi,fine_human,起居、厨房,1,1,4,0,0,1,0,0,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
semi,fine_ai,储藏家务,1,1,24,0,1,0,0,0,0,,,0,,,1,0.1275,0.1275,1,0.112083333333,0.112083333333,1,0.125,0.125,1,0.0158365386176,0.0158365386176,1,0.163043478261,0.163043478261
semi,fine_ai,储藏家务|卧室|卫浴|通行,1,1,4,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0.0372028502284,0.0372028502284,1,0,0
semi,fine_ai,卧室,16,7,5,2,14,1,1,0,6,0.216666666667,0,6,0.651666666667,0.64,15,0.209166666667,0.1775,15,0.192951515152,0.183333333333,16,0.211798007246,0.148550724638,14,0.0338586250175,0.0319717960203,16,0.328787878788,0.340085638998
semi,fine_ai,卧室|通行,2,1,14,0,1,0,0,1,0,,,0,,,2,0.395,0.395,2,0.247916666667,0.247916666667,2,0.354166666666,0.354166666666,2,0.0113503621214,0.0113503621214,2,0.534420289855,0.534420289855
semi,fine_ai,卫浴,2,2,13,1,2,0,0,0,0,,,0,,,2,0.277045454546,0.277045454546,2,0.249090909091,0.249090909091,2,0.261363636364,0.261363636364,2,0.0519128647378,0.0519128647378,2,0.611471861472,0.611471861472
semi,fine_ai,厨房|用餐|起居休闲,1,1,4,0,1,0,0,0,0,,,0,,,1,0.595,0.595,1,0.34,0.34,1,0.5,0.5,1,0.00902094649736,0.00902094649736,1,0.833333333333,0.833333333333
semi,fine_ai,厨房|起居休闲|通行,1,1,24,0,1,0,0,0,1,0,0,1,0.39,0.39,1,0.0358333333333,0.0358333333333,1,0.0945833333333,0.0945833333333,1,0.0416666666667,0.0416666666667,1,0.0158901573588,0.0158901573588,1,0,0
semi,fine_ai,工作学习|起居休闲,1,1,4,0,1,0,0,0,0,,,0,,,1,0.245,0.245,1,0.25,0.25,1,0.25,0.25,1,0.0428401304102,0.0428401304102,1,0.5,0.5
semi,fine_ai,工作学习|起居休闲|通行,1,1,4,0,1,0,0,0,0,,,0,,,1,0.24,0.24,1,0.25,0.25,1,0.25,0.25,1,0.000794145126129,0.000794145126129,1,0,0
semi,fine_ai,工作学习|通行,2,1,24,0,2,0,0,0,1,0,0,1,0.04,0.04,2,0.1475,0.1475,2,0.18,0.18,2,0.125,0.125,2,0.00312898640833,0.00312898640833,2,0.182971014493,0.182971014493
semi,fine_ai,特殊用途,2,1,14.5,0,2,0,0,0,2,0.3,0.3,2,0.55,0.55,2,0.00916666666665,0.00916666666665,2,0.0658333333335,0.0658333333335,2,0.0208333333333,0.0208333333333,2,0.0518939502512,0.0518939502512,2,0.144927536232,0.144927536232
semi,fine_ai,特殊用途|用餐,1,1,4,0,0,1,0,0,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,1,0.000842867407285,0.000842867407285,1,0,0
semi,fine_ai,用途不明,2,1,14.5,0,2,0,0,0,1,0,0,1,0.75,0.75,2,0.12375,0.12375,2,0.140333333333,0.140333333333,2,0.120833333333,0.120833333333,2,0.0205541323707,0.0205541323707,2,0.2,0.2
semi,fine_ai,用途不明|起居休闲|通行,1,1,4,0,0,1,0,0,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
semi,fine_ai,用途不明|通行,2,2,14,0,2,0,0,0,0,,,0,,,2,0.354583333334,0.354583333334,2,0.2225,0.2225,2,0.3125,0.3125,2,0.0155251550955,0.0155251550955,2,0.367753623189,0.367753623189
semi,fine_ai,用餐|通行,1,1,23,1,1,0,0,0,0,,,0,,,1,0.0908333333333,0.0908333333333,1,0.154229249012,0.154229249012,1,0.0434782608696,0.0434782608696,1,0.035496312588,0.035496312588,1,0.644268774704,0.644268774704
semi,fine_ai,起居休闲,1,1,4,0,1,0,0,0,0,,,0,,,1,0.245,0.245,1,0.25,0.25,1,0.25,0.25,1,0,0,1,0.5,0.5
semi,fine_ai,通行,5,3,4,0,5,0,0,0,2,0,0,2,0.27,0.27,5,0.348,0.54,5,0.205333333333,0.315,5,0.3,0.5,5,0.0309710292569,0.0301945194671,5,0.1,0
semi,main_function_primary,bathroom,1,1,4,0,1,0,0,0,0,,,0,,,1,0.275,0.275,1,0.25,0.25,1,0.25,0.25,1,0.0696778568214,0.0696778568214,1,0.5,0.5
semi,main_function_primary,circulation,7,4,4,0,7,0,0,0,2,0,0,2,0.27,0.27,7,0.354880952381,0.54,7,0.220952380952,0.315,7,0.309523809524,0.5,7,0.0259790507828,0.0267439092136,7,0.142857142857,0
semi,main_function_primary,dining,2,2,13.5,1,1,1,0,0,1,1,1,1,1,1,2,0.0454166666667,0.0454166666667,2,0.077114624506,0.077114624506,2,0.0217391304348,0.0217391304348,2,0.0181695899976,0.0181695899976,2,0.322134387352,0.322134387352
semi,main_function_primary,empty,2,1,14.5,0,2,0,0,0,1,0,0,1,0.75,0.75,2,0.12375,0.12375,2,0.140333333333,0.140333333333,2,0.120833333333,0.120833333333,2,0.0205541323707,0.0205541323707,2,0.2,0.2
semi,main_function_primary,living,6,5,4,0,5,1,0,0,2,0.5,0.5,2,0.695,0.695,6,0.226805555556,0.2425,6,0.197430555556,0.25,6,0.215277777778,0.25,6,0.0114242298987,0.00490754581174,6,0.305555555556,0.25
semi,main_function_primary,sleep,16,8,14,1,13,1,1,1,6,0.216666666667,0,6,0.651666666667,0.64,16,0.22921875,0.18375,16,0.196256628788,0.175833333333,16,0.24044384058,0.183333333333,15,0.0293469912142,0.0242046332434,16,0.36434041502,0.340085638998
semi,main_function_primary,special,2,1,14.5,0,2,0,0,0,2,0.3,0.3,2,0.55,0.55,2,0.00916666666665,0.00916666666665,2,0.0658333333335,0.0658333333335,2,0.0208333333333,0.0208333333333,2,0.0518939502512,0.0518939502512,2,0.144927536232,0.144927536232
semi,main_function_primary,storage,2,2,24,0,2,0,0,0,0,,,0,,,2,0.130833333334,0.130833333334,2,0.114791666666,0.114791666666,2,0.125,0.125,2,0.0100714697975,0.0100714697975,2,0.199275362319,0.199275362319
semi,main_function_primary,unknown,4,3,4,2,4,0,0,0,1,0,0,1,0,0,3,0.179696969697,0.26,3,0.166060606061,0.248181818182,4,0.130681818182,0.125,3,0.0426224430522,0.0372028502284,4,0.305735930736,0.25
semi,main_function_primary,work,1,1,24,0,1,0,0,0,1,0,0,1,0.04,0.04,1,0.125833333333,0.125833333333,1,0.1675,0.1675,1,0.0833333333333,0.0833333333333,1,0.00600367283515,0.00600367283515,1,0.365942028986,0.365942028986
semi,floor_boundary,partial,31,12,5,4,27,3,1,0,12,0.325,0,12,0.62,0.595,30,0.199164141414,0.156666666666,30,0.18233390426,0.175416666667,31,0.1934400102,0.130434782609,29,0.0278744534849,0.0242046332434,31,0.342365348536,0.365942028986
semi,floor_boundary,present,12,6,4.5,0,11,0,0,1,4,0,0,4,0.3225,0.27,12,0.257986111111,0.18625,12,0.176097222222,0.180416666666,12,0.228472222222,0.183333333333,12,0.0239309663058,0.0233995119001,12,0.155917874396,0
semi,ceiling_boundary,partial,9,3,4,1,9,0,0,0,2,0,0,2,0.125,0.125,8,0.329895833333,0.2425,8,0.255208333333,0.25,9,0.282407407407,0.25,7,0.0152732718489,0.00600367283515,9,0.33615136876,0.365942028986
semi,ceiling_boundary,present,34,11,5,3,29,3,1,1,14,0.278571428571,0,14,0.605714285714,0.595,34,0.189164438503,0.135,34,0.162985797876,0.145750988142,34,0.182254126947,0.127717391304,34,0.0290769954056,0.0257938665741,34,0.278205234663,0.235507246377
semi,corner_occlusion,absent,12,6,4.5,0,11,0,0,1,4,0,0,4,0.3225,0.27,12,0.257986111111,0.18625,12,0.176097222222,0.180416666666,12,0.228472222222,0.183333333333,12,0.0239309663058,0.0233995119001,12,0.155917874396,0
semi,corner_occlusion,present,31,12,5,4,27,3,1,0,12,0.325,0,12,0.62,0.595,30,0.199164141414,0.156666666666,30,0.18233390426,0.175416666667,31,0.1934400102,0.130434782609,29,0.0278744534849,0.0242046332434,31,0.342365348536,0.365942028986
semi,connected_space,present,43,12,5,4,38,3,1,1,16,0.24375,0,16,0.545625,0.565,42,0.21597041847,0.173333333333,42,0.180551995106,0.175833333333,43,0.203216441462,0.166666666667,41,0.0267202621154,0.0240982995575,43,0.290333495288,0.235507246377
semi,reflection_glass,present,35,12,5,4,31,3,1,0,15,0.26,0,15,0.532,0.54,34,0.193282085561,0.1525,34,0.173738248857,0.175416666667,35,0.186808770939,0.130434782609,33,0.0295264542273,0.0273830999047,35,0.289055685515,0.289855072464
semi,reflection_glass,unknown,8,4,14.5,0,7,0,0,1,1,0,0,1,0.75,0.75,8,0.312395833333,0.216666666667,8,0.209510416667,0.203666666666,8,0.275,0.204166666667,8,0.0151447196538,0.0178326430088,8,0.295923913044,0.235507246377
semi,low_contrast,absent,43,12,5,4,38,3,1,1,16,0.24375,0,16,0.545625,0.565,42,0.21597041847,0.173333333333,42,0.180551995106,0.175833333333,43,0.203216441462,0.166666666667,41,0.0267202621154,0.0240982995575,43,0.290333495288,0.235507246377
semi,doorway,否,43,12,5,4,38,3,1,1,16,0.24375,0,16,0.545625,0.565,42,0.21597041847,0.173333333333,42,0.180551995106,0.175833333333,43,0.203216441462,0.166666666667,41,0.0267202621154,0.0240982995575,43,0.290333495288,0.235507246377
semi,position_entrance,0,42,12,5,4,37,3,1,1,16,0.24375,0,16,0.545625,0.565,41,0.207579453067,0.169166666667,41,0.176967897426,0.168333333333,42,0.196150166259,0.148550724638,40,0.0273882686683,0.0241514664005,42,0.277404927716,0.235507246377
semi,position_entrance,1,1,1,4,0,1,0,0,0,0,,,0,,,1,0.56,0.56,1,0.3275,0.3275,1,0.5,0.5,1,0,0,1,0.833333333333,0.833333333333
semi,position_window,0,42,12,5,4,37,3,1,1,16,0.24375,0,16,0.545625,0.565,41,0.217111973392,0.1775,41,0.180260580353,0.168333333333,42,0.204086674195,0.148550724638,40,0.0273819111688,0.0241514664005,42,0.297246197557,0.26268115942
semi,position_window,1,1,1,24,0,1,0,0,0,0,,,0,,,1,0.169166666667,0.169166666667,1,0.1925,0.1925,1,0.166666666667,0.166666666667,1,0.000254299981506,0.000254299981506,1,0,0
semi,position_edge,0,43,12,5,4,38,3,1,1,16,0.24375,0,16,0.545625,0.565,42,0.21597041847,0.173333333333,42,0.180551995106,0.175833333333,43,0.203216441462,0.166666666667,41,0.0267202621154,0.0240982995575,43,0.290333495288,0.235507246377
semi,position_stair_landing,0,41,12,5,4,36,3,1,1,15,0.26,0,15,0.582,0.59,40,0.211518939394,0.173333333333,40,0.181079594862,0.175833333333,41,0.200934316655,0.166666666667,39,0.0264092342044,0.0227406102284,41,0.304496104814,0.289855072464
semi,position_stair_landing,1,2,2,4,0,2,0,0,0,1,0,0,1,0,0,2,0.305,0.305,2,0.17,0.17,2,0.25,0.25,2,0.0327853063808,0.0327853063808,2,0,0
semi,position_shower_interior,0,43,12,5,4,38,3,1,1,16,0.24375,0,16,0.545625,0.565,42,0.21597041847,0.173333333333,42,0.180551995106,0.175833333333,43,0.203216441462,0.166666666667,41,0.0267202621154,0.0240982995575,43,0.290333495288,0.235507246377
semi,position_bath_tub,0,43,12,5,4,38,3,1,1,16,0.24375,0,16,0.545625,0.565,42,0.21597041847,0.173333333333,42,0.180551995106,0.175833333333,43,0.203216441462,0.166666666667,41,0.0267202621154,0.0240982995575,43,0.290333495288,0.235507246377
semi,position_washing,0,43,12,5,4,38,3,1,1,16,0.24375,0,16,0.545625,0.565,42,0.21597041847,0.173333333333,42,0.180551995106,0.175833333333,43,0.203216441462,0.166666666667,41,0.0267202621154,0.0240982995575,43,0.290333495288,0.235507246377
semi,position_mirrored,0,43,12,5,4,38,3,1,1,16,0.24375,0,16,0.545625,0.565,42,0.21597041847,0.173333333333,42,0.180551995106,0.175833333333,43,0.203216441462,0.166666666667,41,0.0267202621154,0.0240982995575,43,0.290333495288,0.235507246377
semi,position_glass,0,43,12,5,4,38,3,1,1,16,0.24375,0,16,0.545625,0.565,42,0.21597041847,0.173333333333,42,0.180551995106,0.175833333333,43,0.203216441462,0.166666666667,41,0.0267202621154,0.0240982995575,43,0.290333495288,0.235507246377
semi,position_fireplace,0,42,12,5,4,38,2,1,1,15,0.193333333333,0,15,0.515333333333,0.54,41,0.221237989653,0.1775,41,0.184955702304,0.183333333333,42,0.208054928164,0.166666666667,40,0.0273882686683,0.0241514664005,42,0.297246197557,0.26268115942
semi,position_fireplace,1,1,1,4,0,0,1,0,0,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
semi,position_empty,0,40,12,4.5,4,35,3,1,1,15,0.26,0,15,0.532,0.54,39,0.222797202797,0.1775,39,0.184231208405,0.183333333333,40,0.209291007905,0.166666666667,38,0.0276346337109,0.0254742712285,40,0.296220826275,0.26268115942
semi,position_empty,1,3,2,24,0,3,0,0,0,1,0,0,1,0.75,0.75,3,0.127222222222,0.134166666667,3,0.132722222222,0.1175,3,0.122222222222,0.125,3,0.0151382219063,0.0198287474,3,0.211835748792,0.235507246377
semi,position_shared_focus,0,40,12,5,4,35,3,1,1,16,0.24375,0,16,0.545625,0.565,39,0.207284382284,0.135833333333,39,0.17064573832,0.1675,40,0.189707674572,0.127717391304,38,0.0257891050151,0.023419454893,40,0.302108507435,0.26268115942
semi,position_shared_focus,1,3,2,4,0,3,0,0,0,0,,,0,,,3,0.328888888889,0.24,3,0.309333333333,0.315,3,0.383333333333,0.4,3,0.0385149187192,0.0565756862501,3,0.133333333333,0
