image_id,code,condition,N,method,clusters,supported,singletons,singleton_mass,largest_share,entropy_bits,sizes
7y3sRwLe3Va_bbcc19afdad742eba89290ad2b5dbf6b,7y3sRwLe3Va-23,manual,5,OSPA30_c3_gate0,3,2,1,0.2,0.4,1.5219280948873621,2;2;1
7y3sRwLe3Va_bbcc19afdad742eba89290ad2b5dbf6b,7y3sRwLe3Va-23,manual,5,OSPA30_c6_gate0,2,1,1,0.2,0.8,0.7219280948873623,4;1
7y3sRwLe3Va_bbcc19afdad742eba89290ad2b5dbf6b,7y3sRwLe3Va-23,manual,5,OSPA30_c9_gate0,2,1,1,0.2,0.8,0.7219280948873623,4;1
7y3sRwLe3Va_bbcc19afdad742eba89290ad2b5dbf6b,7y3sRwLe3Va-23,manual,5,OSPA30_c3_gate1,3,2,1,0.2,0.4,1.5219280948873621,2;2;1
7y3sRwLe3Va_bbcc19afdad742eba89290ad2b5dbf6b,7y3sRwLe3Va-23,manual,5,OSPA30_c6_gate1,2,1,1,0.2,0.8,0.7219280948873623,4;1
7y3sRwLe3Va_bbcc19afdad742eba89290ad2b5dbf6b,7y3sRwLe3Va-23,manual,5,OSPA30_c9_gate1,2,1,1,0.2,0.8,0.7219280948873623,4;1
7y3sRwLe3Va_fdab6422162e49db822a37178ab70481,7y3sRwLe3Va-26,manual,5,OSPA30_c3_gate0,3,1,2,0.4,0.6,1.3709505944546687,3;1;1
7y3sRwLe3Va_fdab6422162e49db822a37178ab70481,7y3sRwLe3Va-26,manual,5,OSPA30_c6_gate0,2,1,1,0.2,0.8,0.7219280948873623,4;1
7y3sRwLe3Va_fdab6422162e49db822a37178ab70481,7y3sRwLe3Va-26,manual,5,OSPA30_c9_gate0,1,1,0,0.0,1.0,-0.0,5
7y3sRwLe3Va_fdab6422162e49db822a37178ab70481,7y3sRwLe3Va-26,manual,5,OSPA30_c3_gate1,3,1,2,0.4,0.6,1.3709505944546687,3;1;1
7y3sRwLe3Va_fdab6422162e49db822a37178ab70481,7y3sRwLe3Va-26,manual,5,OSPA30_c6_gate1,2,1,1,0.2,0.8,0.7219280948873623,4;1
7y3sRwLe3Va_fdab6422162e49db822a37178ab70481,7y3sRwLe3Va-26,manual,5,OSPA30_c9_gate1,2,1,1,0.2,0.8,0.7219280948873623,4;1
