variant,cohort,panel,model,half_support,attempts,valid,ari_median,shared_workers_median
scope_all_historical,all26,common,Q_median2,half_diagnostic,100,77,0.2159090909090908,24.0
scope_all_historical,all26,common,S,full_requirement,100,0,,0.0
scope_all_historical,all26,common,S,half_diagnostic,100,76,0.0295377135085602,24.0
scope_all_historical,all26,common,SB,full_requirement,100,0,,0.0
scope_all_historical,all26,common,SB,half_diagnostic,100,77,-0.0463604852686307,24.0
scope_all_historical,all26,common,T,full_requirement,100,0,,0.0
scope_all_historical,all26,common,T,half_diagnostic,100,77,0.6809583858764187,24.0
scope_all_historical,all26,common,TB,full_requirement,100,0,,0.0
scope_all_historical,all26,common,TB,half_diagnostic,100,77,0.2261280440313619,24.0
scope_all_historical,all26,common,TS,full_requirement,100,0,,0.0
scope_all_historical,all26,common,TS,half_diagnostic,100,77,0.4207461042027388,24.0
scope_all_historical,all26,common,TSB,full_requirement,100,0,,0.0
scope_all_historical,all26,common,TSB,half_diagnostic,100,77,0.2941723496590205,24.0
scope_all_historical,all26,native,B,full_requirement,100,84,0.0,26.0
scope_all_historical,all26,native,B,half_diagnostic,100,100,0.4343548997351494,26.0
scope_all_historical,all26,native,Q,full_requirement,100,0,,25.0
scope_all_historical,all26,native,Q,half_diagnostic,100,3,-0.0574018126888217,25.0
scope_all_historical,all26,native,QB,full_requirement,100,2,0.16879846032009133,25.0
scope_all_historical,all26,native,QB,half_diagnostic,100,4,0.0309546165884194,25.0
scope_all_historical,all26,native,QS,full_requirement,100,0,,0.0
scope_all_historical,all26,native,QS,half_diagnostic,100,7,0.2222222222222222,25.0
scope_all_historical,all26,native,QSB,full_requirement,100,0,,0.0
scope_all_historical,all26,native,QSB,half_diagnostic,100,6,0.1434964815644843,25.0
scope_all_historical,all26,native,QT,full_requirement,100,0,,22.0
scope_all_historical,all26,native,QT,half_diagnostic,100,0,,24.0
scope_all_historical,all26,native,QTB,full_requirement,100,1,-0.0288808664259927,22.0
scope_all_historical,all26,native,QTB,half_diagnostic,100,0,,24.0
scope_all_historical,all26,native,QTS,full_requirement,100,0,,0.0
scope_all_historical,all26,native,QTS,half_diagnostic,100,0,,24.0
scope_all_historical,all26,native,QTSB,full_requirement,100,0,,0.0
scope_all_historical,all26,native,QTSB,half_diagnostic,100,0,,24.0
scope_all_historical,all26,native,Q_median2,full_requirement,100,100,0.2387820512820512,25.0
scope_all_historical,all26,native,Q_median2,half_diagnostic,100,100,0.2387820512820512,25.0
scope_all_historical,all26,native,S,full_requirement,100,0,,0.0
scope_all_historical,all26,native,S,half_diagnostic,100,77,-0.0180489260143198,26.0
scope_all_historical,all26,native,SB,full_requirement,100,0,,0.0
scope_all_historical,all26,native,SB,half_diagnostic,100,77,0.0115296690189842,26.0
scope_all_historical,all26,native,T,full_requirement,100,100,0.8178438661710037,22.0
scope_all_historical,all26,native,T,half_diagnostic,100,100,0.6809583858764187,24.0
scope_all_historical,all26,native,TB,full_requirement,100,89,0.1791530944625408,22.0
scope_all_historical,all26,native,TB,half_diagnostic,100,100,0.2261280440313619,24.0
scope_all_historical,all26,native,TS,full_requirement,100,0,,0.0
scope_all_historical,all26,native,TS,half_diagnostic,100,77,0.4207461042027388,24.0
scope_all_historical,all26,native,TSB,full_requirement,100,0,,0.0
scope_all_historical,all26,native,TSB,half_diagnostic,100,77,0.2941723496590205,24.0
scope_all_historical,current20,common,B,full_requirement,100,0,,0.0
scope_all_historical,current20,common,B,half_diagnostic,100,76,-0.0457948040510788,20.0
scope_all_historical,current20,common,Q,full_requirement,100,0,,0.0
scope_all_historical,current20,common,Q,half_diagnostic,100,39,0.1078814980435998,20.0
scope_all_historical,current20,common,QB,full_requirement,100,0,,0.0
scope_all_historical,current20,common,QB,half_diagnostic,100,72,0.32687457688810856,20.0
scope_all_historical,current20,common,QS,full_requirement,100,0,,0.0
scope_all_historical,current20,common,QS,half_diagnostic,100,35,-0.0039630118890356,20.0
scope_all_historical,current20,common,QSB,full_requirement,100,0,,0.0
scope_all_historical,current20,common,QSB,half_diagnostic,100,70,0.2212263635369986,20.0
scope_all_historical,current20,common,QT,full_requirement,100,0,,0.0
scope_all_historical,current20,common,QT,half_diagnostic,100,77,0.326241134751773,20.0
scope_all_historical,current20,common,QTB,full_requirement,100,0,,0.0
scope_all_historical,current20,common,QTB,half_diagnostic,100,77,0.0526027397260274,20.0
scope_all_historical,current20,common,QTS,full_requirement,100,0,,0.0
scope_all_historical,current20,common,QTS,half_diagnostic,100,76,0.2108760660095248,20.0
scope_all_historical,current20,common,QTSB,full_requirement,100,0,,0.0
scope_all_historical,current20,common,QTSB,half_diagnostic,100,77,0.0416805232235894,20.0
scope_all_historical,current20,common,Q_median2,full_requirement,100,0,,0.0
scope_all_historical,current20,common,Q_median2,half_diagnostic,100,77,0.1133333333333334,20.0
scope_all_historical,current20,common,S,full_requirement,100,0,,0.0
scope_all_historical,current20,common,S,half_diagnostic,100,75,0.055087987758225,20.0
scope_all_historical,current20,common,SB,full_requirement,100,0,,0.0
scope_all_historical,current20,common,SB,half_diagnostic,100,77,-0.0457948040510788,20.0
scope_all_historical,current20,common,T,full_requirement,100,0,,0.0
scope_all_historical,current20,common,T,half_diagnostic,100,77,0.7999113180356945,20.0
scope_all_historical,current20,common,TB,full_requirement,100,0,,0.0
scope_all_historical,current20,common,TB,half_diagnostic,100,77,0.7995558023320377,20.0
scope_all_historical,current20,common,TS,full_requirement,100,0,,0.0
scope_all_historical,current20,common,TS,half_diagnostic,100,77,0.4643449419568823,20.0
scope_all_historical,current20,common,TSB,full_requirement,100,0,,0.0
scope_all_historical,current20,common,TSB,half_diagnostic,100,77,0.4629198536747589,20.0
scope_all_historical,current20,native,B,full_requirement,100,84,-0.0457948040510788,20.0
scope_all_historical,current20,native,B,half_diagnostic,100,99,-0.0457948040510788,20.0
scope_all_historical,current20,native,Q,full_requirement,100,45,0.0810686319668355,20.0
scope_all_historical,current20,native,Q,half_diagnostic,100,45,0.0810686319668355,20.0
scope_all_historical,current20,native,QB,full_requirement,100,80,0.24437342165350195,20.0
scope_all_historical,current20,native,QB,half_diagnostic,100,94,0.32732195993276214,20.0
scope_all_historical,current20,native,QS,full_requirement,100,0,,0.0
scope_all_historical,current20,native,QS,half_diagnostic,100,35,0.0065359477124183,20.0
scope_all_historical,current20,native,QSB,full_requirement,100,0,,0.0
scope_all_historical,current20,native,QSB,half_diagnostic,100,70,0.21779148147078176,20.0
scope_all_historical,current20,native,QT,full_requirement,100,99,0.2988929889298893,19.0
scope_all_historical,current20,native,QT,half_diagnostic,100,99,0.3014705882352941,20.0
scope_all_historical,current20,native,QTB,full_requirement,100,86,0.08574918938667389,19.0
scope_all_historical,current20,native,QTB,half_diagnostic,100,99,0.0442233278054174,20.0
scope_all_historical,current20,native,QTS,full_requirement,100,0,,0.0
scope_all_historical,current20,native,QTS,half_diagnostic,100,76,0.2108760660095248,20.0
scope_all_historical,current20,native,QTSB,full_requirement,100,0,,0.0
scope_all_historical,current20,native,QTSB,half_diagnostic,100,77,0.0416805232235894,20.0
scope_all_historical,current20,native,Q_median2,full_requirement,100,100,0.1133333333333334,20.0
scope_all_historical,current20,native,Q_median2,half_diagnostic,100,100,0.1133333333333334,20.0
scope_all_historical,current20,native,S,full_requirement,100,0,,0.0
scope_all_historical,current20,native,S,half_diagnostic,100,75,0.055087987758225,20.0
scope_all_historical,current20,native,SB,full_requirement,100,0,,0.0
scope_all_historical,current20,native,SB,half_diagnostic,100,77,-0.0457948040510788,20.0
scope_all_historical,current20,native,T,full_requirement,100,100,0.7891491985203453,19.0
scope_all_historical,current20,native,T,half_diagnostic,100,100,0.7999113180356945,20.0
scope_all_historical,current20,native,TB,full_requirement,100,89,0.7891491985203453,19.0
scope_all_historical,current20,native,TB,half_diagnostic,100,100,0.7995558023320377,20.0
scope_all_historical,current20,native,TS,full_requirement,100,0,,0.0
scope_all_historical,current20,native,TS,half_diagnostic,100,77,0.4643449419568823,20.0
scope_all_historical,current20,native,TSB,full_requirement,100,0,,0.0
scope_all_historical,current20,native,TSB,half_diagnostic,100,77,0.4629198536747589,20.0
without_synthetic,all26,common,B,full_requirement,100,0,,0.0
without_synthetic,all26,common,B,half_diagnostic,100,68,-0.0474883522031666,24.0
without_synthetic,all26,common,Q,full_requirement,100,0,,0.0
without_synthetic,all26,common,Q,half_diagnostic,100,0,,24.0
without_synthetic,all26,common,QB,full_requirement,100,0,,0.0
without_synthetic,all26,common,QB,half_diagnostic,100,0,,24.0
without_synthetic,all26,common,QS,full_requirement,100,0,,0.0
without_synthetic,all26,common,QS,half_diagnostic,100,1,0.0883977900552486,24.0
without_synthetic,all26,common,QSB,full_requirement,100,0,,0.0
without_synthetic,all26,common,QSB,half_diagnostic,100,2,0.424930110612131,24.0
without_synthetic,all26,common,QT,full_requirement,100,0,,0.0
without_synthetic,all26,common,QT,half_diagnostic,100,0,,24.0
without_synthetic,all26,common,QTB,full_requirement,100,0,,0.0
without_synthetic,all26,common,QTB,half_diagnostic,100,1,-0.0144927536231884,24.0
without_synthetic,all26,common,QTS,full_requirement,100,0,,0.0
without_synthetic,all26,common,QTS,half_diagnostic,100,0,,24.0
without_synthetic,all26,common,QTSB,full_requirement,100,0,,0.0
without_synthetic,all26,common,QTSB,half_diagnostic,100,1,0.0314465408805031,24.0
without_synthetic,all26,common,Q_median2,full_requirement,100,0,,0.0
without_synthetic,all26,common,Q_median2,half_diagnostic,100,68,0.2159090909090908,24.0
without_synthetic,all26,common,S,full_requirement,100,0,,0.0
without_synthetic,all26,common,S,half_diagnostic,100,67,-0.004575707154742,24.0
without_synthetic,all26,common,SB,full_requirement,100,0,,0.0
without_synthetic,all26,common,SB,half_diagnostic,100,67,-0.0463604852686307,24.0
without_synthetic,all26,common,T,full_requirement,100,0,,0.0
without_synthetic,all26,common,T,half_diagnostic,100,68,0.6809583858764187,24.0
without_synthetic,all26,common,TB,full_requirement,100,0,,0.0
without_synthetic,all26,common,TB,half_diagnostic,100,68,0.1506154960173786,24.0
without_synthetic,all26,common,TS,full_requirement,100,0,,0.0
without_synthetic,all26,common,TS,half_diagnostic,100,68,0.3861011823029288,24.0
without_synthetic,all26,common,TSB,full_requirement,100,0,,0.0
without_synthetic,all26,common,TSB,half_diagnostic,100,68,0.1506154960173786,24.0
without_synthetic,all26,native,B,full_requirement,100,69,0.0,14.0
without_synthetic,all26,native,B,half_diagnostic,100,98,0.006432837181502751,26.0
without_synthetic,all26,native,Q,full_requirement,100,0,,25.0
without_synthetic,all26,native,Q,half_diagnostic,100,3,-0.0574018126888217,25.0
without_synthetic,all26,native,QB,full_requirement,100,7,0.3048780487804877,14.0
without_synthetic,all26,native,QB,half_diagnostic,100,5,0.0219092331768388,25.0
without_synthetic,all26,native,QS,full_requirement,100,0,,0.0
without_synthetic,all26,native,QS,half_diagnostic,100,7,0.0618101545253861,25.0
without_synthetic,all26,native,QSB,full_requirement,100,0,,0.0
without_synthetic,all26,native,QSB,half_diagnostic,100,10,0.06427083333333335,25.0
without_synthetic,all26,native,QT,full_requirement,100,0,,22.0
without_synthetic,all26,native,QT,half_diagnostic,100,0,,24.0
without_synthetic,all26,native,QTB,full_requirement,100,8,-0.01680879800420805,12.0
without_synthetic,all26,native,QTB,half_diagnostic,100,1,-0.0144927536231884,24.0
without_synthetic,all26,native,QTS,full_requirement,100,0,,0.0
without_synthetic,all26,native,QTS,half_diagnostic,100,0,,24.0
without_synthetic,all26,native,QTSB,full_requirement,100,0,,0.0
without_synthetic,all26,native,QTSB,half_diagnostic,100,1,0.0314465408805031,24.0
without_synthetic,all26,native,Q_median2,full_requirement,100,100,0.2387820512820512,25.0
without_synthetic,all26,native,Q_median2,half_diagnostic,100,100,0.2387820512820512,25.0
without_synthetic,all26,native,S,full_requirement,100,0,,0.0
without_synthetic,all26,native,S,half_diagnostic,100,69,0.0124491261671054,26.0
without_synthetic,all26,native,SB,full_requirement,100,0,,0.0
without_synthetic,all26,native,SB,half_diagnostic,100,67,-0.0411899313501144,26.0
without_synthetic,all26,native,T,full_requirement,100,100,0.8178438661710037,22.0
without_synthetic,all26,native,T,half_diagnostic,100,100,0.6809583858764187,24.0
without_synthetic,all26,native,TB,full_requirement,100,70,0.0501713511372674,12.0
without_synthetic,all26,native,TB,half_diagnostic,100,98,0.16573327992358283,24.0
without_synthetic,all26,native,TS,full_requirement,100,0,,0.0
without_synthetic,all26,native,TS,half_diagnostic,100,69,0.4201680672268907,24.0
without_synthetic,all26,native,TSB,full_requirement,100,0,,0.0
without_synthetic,all26,native,TSB,half_diagnostic,100,68,0.1506154960173786,24.0
without_synthetic,current20,common,B,full_requirement,100,0,,0.0
without_synthetic,current20,common,B,half_diagnostic,100,68,0.35622168451400327,20.0
without_synthetic,current20,common,Q,full_requirement,100,0,,0.0
without_synthetic,current20,common,Q,half_diagnostic,100,35,0.1156914893617021,20.0
without_synthetic,current20,common,QB,full_requirement,100,0,,0.0
without_synthetic,current20,common,QB,half_diagnostic,100,64,0.32987152735955866,20.0
without_synthetic,current20,common,QS,full_requirement,100,0,,0.0
without_synthetic,current20,common,QS,half_diagnostic,100,34,-0.0079025546362605,20.0
without_synthetic,current20,common,QSB,full_requirement,100,0,,0.0
without_synthetic,current20,common,QSB,half_diagnostic,100,67,0.3303964757709251,20.0
without_synthetic,current20,common,QT,full_requirement,100,0,,0.0
without_synthetic,current20,common,QT,half_diagnostic,100,68,0.2842720322903717,20.0
without_synthetic,current20,common,QTB,full_requirement,100,0,,0.0
without_synthetic,current20,common,QTB,half_diagnostic,100,67,0.0442233278054174,20.0
without_synthetic,current20,common,QTS,full_requirement,100,0,,0.0
without_synthetic,current20,common,QTS,half_diagnostic,100,67,0.2108760660095248,20.0
without_synthetic,current20,common,QTSB,full_requirement,100,0,,0.0
without_synthetic,current20,common,QTSB,half_diagnostic,100,68,0.027057745614357052,20.0
without_synthetic,current20,common,Q_median2,full_requirement,100,0,,0.0
without_synthetic,current20,common,Q_median2,half_diagnostic,100,68,0.1133333333333334,20.0
without_synthetic,current20,common,S,full_requirement,100,0,,0.0
without_synthetic,current20,common,S,half_diagnostic,100,67,-0.0039630118890356,20.0
without_synthetic,current20,common,SB,full_requirement,100,0,,0.0
without_synthetic,current20,common,SB,half_diagnostic,100,68,0.2133142864352841,20.0
without_synthetic,current20,common,T,full_requirement,100,0,,0.0
without_synthetic,current20,common,T,half_diagnostic,100,68,0.7995558023320377,20.0
without_synthetic,current20,common,TB,full_requirement,100,0,,0.0
without_synthetic,current20,common,TB,half_diagnostic,100,68,0.6203796203796204,20.0
without_synthetic,current20,common,TS,full_requirement,100,0,,0.0
without_synthetic,current20,common,TS,half_diagnostic,100,68,0.4274485829287652,20.0
without_synthetic,current20,common,TSB,full_requirement,100,0,,0.0
without_synthetic,current20,common,TSB,half_diagnostic,100,68,0.4510677699746344,20.0
without_synthetic,current20,native,B,full_requirement,100,68,0.32230749475020015,12.0
without_synthetic,current20,native,B,half_diagnostic,100,98,0.3322350356946732,20.0
without_synthetic,current20,native,Q,full_requirement,100,45,0.0810686319668355,20.0
without_synthetic,current20,native,Q,half_diagnostic,100,45,0.0810686319668355,20.0
without_synthetic,current20,native,QB,full_requirement,100,58,0.35,12.0
without_synthetic,current20,native,QB,half_diagnostic,100,93,0.3322350356946732,20.0
without_synthetic,current20,native,QS,full_requirement,100,0,,0.0
without_synthetic,current20,native,QS,half_diagnostic,100,35,-0.0070671378091873,20.0
without_synthetic,current20,native,QSB,full_requirement,100,0,,0.0
without_synthetic,current20,native,QSB,half_diagnostic,100,67,0.3303964757709251,20.0
without_synthetic,current20,native,QT,full_requirement,100,99,0.2988929889298893,19.0
without_synthetic,current20,native,QT,half_diagnostic,100,99,0.3014705882352941,20.0
without_synthetic,current20,native,QTB,full_requirement,100,64,0.02966105955337485,11.0
without_synthetic,current20,native,QTB,half_diagnostic,100,97,0.0416805232235894,20.0
without_synthetic,current20,native,QTS,full_requirement,100,0,,0.0
without_synthetic,current20,native,QTS,half_diagnostic,100,68,0.2108760660095248,20.0
without_synthetic,current20,native,QTSB,full_requirement,100,0,,0.0
without_synthetic,current20,native,QTSB,half_diagnostic,100,68,0.027057745614357052,20.0
without_synthetic,current20,native,Q_median2,full_requirement,100,100,0.1133333333333334,20.0
without_synthetic,current20,native,Q_median2,half_diagnostic,100,100,0.1133333333333334,20.0
without_synthetic,current20,native,S,full_requirement,100,0,,0.0
without_synthetic,current20,native,S,half_diagnostic,100,68,-0.01163151731143715,20.0
without_synthetic,current20,native,SB,full_requirement,100,0,,0.0
without_synthetic,current20,native,SB,half_diagnostic,100,68,0.2143565994045649,20.0
without_synthetic,current20,native,T,full_requirement,100,100,0.7891491985203453,19.0
without_synthetic,current20,native,T,half_diagnostic,100,100,0.7999113180356945,20.0
without_synthetic,current20,native,TB,full_requirement,100,70,0.6660488357272167,11.0
without_synthetic,current20,native,TB,half_diagnostic,100,98,0.6203796203796204,20.0
without_synthetic,current20,native,TS,full_requirement,100,0,,0.0
without_synthetic,current20,native,TS,half_diagnostic,100,69,0.4643449419568823,20.0
without_synthetic,current20,native,TSB,full_requirement,100,0,,0.0
without_synthetic,current20,native,TSB,half_diagnostic,100,68,0.4510677699746344,20.0
