partition_id,context_key,cluster_id,method,rank,original_support,calculable_support,representative_id,medoid_enclosed,medoid_extended,semantic_label,representative_role
extended73|C1|manual|uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8,C1|0|uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8|manual,extended73|C1|manual|uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8|cluster4,historical_pairmap_unaveraged,4,4,4,74ec5ab0599eaeaf4719,0.2742746600522219,0.2650333458991906,,sensitivity_display_medoid_not_semantic_cluster
extended73|C1|manual|uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8,C1|0|uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8|manual,extended73|C1|manual|uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8|cluster5,serialized_adjacency,5,3,1,f0749422e452eec8ab7d,0.15492826101484558,0.15669175588744988,,sensitivity_display_medoid_not_semantic_cluster
extended73|C1|manual|uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8,C1|0|uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8|manual,extended73|C1|manual|uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8|cluster5,historical_pairmap_unaveraged,5,3,3,f155c5b328bfdbe59187,0.3086446566273967,0.30142437050076987,,sensitivity_display_medoid_not_semantic_cluster
extended73|C1|manual|uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8,C1|0|uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8|manual,extended73|C1|manual|uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8|cluster6,serialized_adjacency,6,1,0,,,,,sensitivity_display_medoid_not_semantic_cluster
extended73|C1|manual|uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8,C1|0|uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8|manual,extended73|C1|manual|uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8|cluster6,historical_pairmap_unaveraged,6,1,1,063a5ec4d91eccc8b4c3,0.25386691091940294,0.25178288429016327,,sensitivity_display_medoid_not_semantic_cluster
extended73|C1|manual|uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8,C1|0|uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8|manual,extended73|C1|manual|uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8|cluster7,serialized_adjacency,7,1,1,1892d2228413184cfbd6,0.32129079223906143,0.3205290739681026,,sensitivity_display_medoid_not_semantic_cluster
extended73|C1|manual|uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8,C1|0|uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8|manual,extended73|C1|manual|uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8|cluster7,historical_pairmap_unaveraged,7,1,1,1892d2228413184cfbd6,0.32129079223906143,0.3205290739681026,,sensitivity_display_medoid_not_semantic_cluster
extended73|C1|manual|wc2JMjhGNzB_b41b10699d614f24851b56a9a0e743c6,C1|0|wc2JMjhGNzB_b41b10699d614f24851b56a9a0e743c6|manual,extended73|C1|manual|wc2JMjhGNzB_b41b10699d614f24851b56a9a0e743c6|cluster1,serialized_adjacency,1,5,5,9468385d865a6955cb73,0.36146751576130887,0.40186991992927334,,sensitivity_display_medoid_not_semantic_cluster
extended73|C1|manual|wc2JMjhGNzB_b41b10699d614f24851b56a9a0e743c6,C1|0|wc2JMjhGNzB_b41b10699d614f24851b56a9a0e743c6|manual,extended73|C1|manual|wc2JMjhGNzB_b41b10699d614f24851b56a9a0e743c6|cluster1,historical_pairmap_unaveraged,1,5,5,9468385d865a6955cb73,0.36146751576130887,0.40186991992927334,,sensitivity_display_medoid_not_semantic_cluster
extended73|C1|manual|wc2JMjhGNzB_b41b10699d614f24851b56a9a0e743c6,C1|0|wc2JMjhGNzB_b41b10699d614f24851b56a9a0e743c6|manual,extended73|C1|manual|wc2JMjhGNzB_b41b10699d614f24851b56a9a0e743c6|cluster2,serialized_adjacency,2,5,0,,,,,sensitivity_display_medoid_not_semantic_cluster
extended73|C1|manual|wc2JMjhGNzB_b41b10699d614f24851b56a9a0e743c6,C1|0|wc2JMjhGNzB_b41b10699d614f24851b56a9a0e743c6|manual,extended73|C1|manual|wc2JMjhGNzB_b41b10699d614f24851b56a9a0e743c6|cluster2,historical_pairmap_unaveraged,2,5,5,8f784855d8bd4f3a9024,0.1718019304216204,0.10988737898824652,,sensitivity_display_medoid_not_semantic_cluster
extended73|C1|manual|wc2JMjhGNzB_b41b10699d614f24851b56a9a0e743c6,C1|0|wc2JMjhGNzB_b41b10699d614f24851b56a9a0e743c6|manual,extended73|C1|manual|wc2JMjhGNzB_b41b10699d614f24851b56a9a0e743c6|cluster3,serialized_adjacency,3,4,3,9d17cd836d7fc38ad108,0.1621700200417009,0.21931034454396336,,sensitivity_display_medoid_not_semantic_cluster
extended73|C1|manual|wc2JMjhGNzB_b41b10699d614f24851b56a9a0e743c6,C1|0|wc2JMjhGNzB_b41b10699d614f24851b56a9a0e743c6|manual,extended73|C1|manual|wc2JMjhGNzB_b41b10699d614f24851b56a9a0e743c6|cluster3,historical_pairmap_unaveraged,3,4,4,9d17cd836d7fc38ad108,0.1621700200417009,0.21931034454396336,,sensitivity_display_medoid_not_semantic_cluster
extended73|C1|manual|wc2JMjhGNzB_b41b10699d614f24851b56a9a0e743c6,C1|0|wc2JMjhGNzB_b41b10699d614f24851b56a9a0e743c6|manual,extended73|C1|manual|wc2JMjhGNzB_b41b10699d614f24851b56a9a0e743c6|cluster4,serialized_adjacency,4,4,1,decd9e3adcbe39aed044,0.47676761426308556,0.465702120752461,,sensitivity_display_medoid_not_semantic_cluster
extended73|C1|manual|wc2JMjhGNzB_b41b10699d614f24851b56a9a0e743c6,C1|0|wc2JMjhGNzB_b41b10699d614f24851b56a9a0e743c6|manual,extended73|C1|manual|wc2JMjhGNzB_b41b10699d614f24851b56a9a0e743c6|cluster4,historical_pairmap_unaveraged,4,4,4,1f84dbf5541abdd7a52b,0.23094646787287576,0.17309282500204837,,sensitivity_display_medoid_not_semantic_cluster
extended73|C1|manual|wc2JMjhGNzB_b41b10699d614f24851b56a9a0e743c6,C1|0|wc2JMjhGNzB_b41b10699d614f24851b56a9a0e743c6|manual,extended73|C1|manual|wc2JMjhGNzB_b41b10699d614f24851b56a9a0e743c6|cluster5,serialized_adjacency,5,2,2,0a79e9b207c32db39202,0.08767701108475434,0.1589820493439683,,sensitivity_display_medoid_not_semantic_cluster
extended73|C1|manual|wc2JMjhGNzB_b41b10699d614f24851b56a9a0e743c6,C1|0|wc2JMjhGNzB_b41b10699d614f24851b56a9a0e743c6|manual,extended73|C1|manual|wc2JMjhGNzB_b41b10699d614f24851b56a9a0e743c6|cluster5,historical_pairmap_unaveraged,5,2,2,0a79e9b207c32db39202,0.08767701108475434,0.1589820493439683,,sensitivity_display_medoid_not_semantic_cluster
extended73|C1|manual|wc2JMjhGNzB_b41b10699d614f24851b56a9a0e743c6,C1|0|wc2JMjhGNzB_b41b10699d614f24851b56a9a0e743c6|manual,extended73|C1|manual|wc2JMjhGNzB_b41b10699d614f24851b56a9a0e743c6|cluster6,serialized_adjacency,6,2,2,014b4e58073b849f7ed9,0.14980802172080387,0.21332514745893072,,sensitivity_display_medoid_not_semantic_cluster
extended73|C1|manual|wc2JMjhGNzB_b41b10699d614f24851b56a9a0e743c6,C1|0|wc2JMjhGNzB_b41b10699d614f24851b56a9a0e743c6|manual,extended73|C1|manual|wc2JMjhGNzB_b41b10699d614f24851b56a9a0e743c6|cluster6,historical_pairmap_unaveraged,6,2,2,014b4e58073b849f7ed9,0.1353663269829548,0.19735443997843405,,sensitivity_display_medoid_not_semantic_cluster
extended73|C1|manual|wc2JMjhGNzB_b41b10699d614f24851b56a9a0e743c6,C1|0|wc2JMjhGNzB_b41b10699d614f24851b56a9a0e743c6|manual,extended73|C1|manual|wc2JMjhGNzB_b41b10699d614f24851b56a9a0e743c6|cluster7,serialized_adjacency,7,1,0,,,,,sensitivity_display_medoid_not_semantic_cluster
extended73|C1|manual|wc2JMjhGNzB_b41b10699d614f24851b56a9a0e743c6,C1|0|wc2JMjhGNzB_b41b10699d614f24851b56a9a0e743c6|manual,extended73|C1|manual|wc2JMjhGNzB_b41b10699d614f24851b56a9a0e743c6|cluster7,historical_pairmap_unaveraged,7,1,1,303a694734e00bd95c83,0.18087573199042017,0.2398237350449718,,sensitivity_display_medoid_not_semantic_cluster
extended73|C1|manual|wc2JMjhGNzB_dda6efcba51c40de8552408953719515,C1|0|wc2JMjhGNzB_dda6efcba51c40de8552408953719515|manual,extended73|C1|manual|wc2JMjhGNzB_dda6efcba51c40de8552408953719515|cluster1,serialized_adjacency,1,15,7,e1db3136aee3813a438a,0.14985331756130993,0.1582859240852713,,sensitivity_display_medoid_not_semantic_cluster
extended73|C1|manual|wc2JMjhGNzB_dda6efcba51c40de8552408953719515,C1|0|wc2JMjhGNzB_dda6efcba51c40de8552408953719515|manual,extended73|C1|manual|wc2JMjhGNzB_dda6efcba51c40de8552408953719515|cluster1,historical_pairmap_unaveraged,1,15,15,099f4ec32f8c8013e8b0,0.19453189055536924,0.20267929555362696,,sensitivity_display_medoid_not_semantic_cluster
extended73|C1|manual|wc2JMjhGNzB_dda6efcba51c40de8552408953719515,C1|0|wc2JMjhGNzB_dda6efcba51c40de8552408953719515|manual,extended73|C1|manual|wc2JMjhGNzB_dda6efcba51c40de8552408953719515|cluster2,serialized_adjacency,2,7,5,f447db699b5c09a195ce,0.3837863545030683,0.385827511004997,,sensitivity_display_medoid_not_semantic_cluster
extended73|C1|manual|wc2JMjhGNzB_dda6efcba51c40de8552408953719515,C1|0|wc2JMjhGNzB_dda6efcba51c40de8552408953719515|manual,extended73|C1|manual|wc2JMjhGNzB_dda6efcba51c40de8552408953719515|cluster2,historical_pairmap_unaveraged,2,7,7,9971c6aae0055fa67213,0.32410451799660345,0.32664520567257305,,sensitivity_display_medoid_not_semantic_cluster
extended73|C1|manual|wc2JMjhGNzB_dda6efcba51c40de8552408953719515,C1|0|wc2JMjhGNzB_dda6efcba51c40de8552408953719515|manual,extended73|C1|manual|wc2JMjhGNzB_dda6efcba51c40de8552408953719515|cluster3,serialized_adjacency,3,1,0,,,,,sensitivity_display_medoid_not_semantic_cluster
extended73|C1|manual|wc2JMjhGNzB_dda6efcba51c40de8552408953719515,C1|0|wc2JMjhGNzB_dda6efcba51c40de8552408953719515|manual,extended73|C1|manual|wc2JMjhGNzB_dda6efcba51c40de8552408953719515|cluster3,historical_pairmap_unaveraged,3,1,1,4f044fa1f2070a2eeaa3,0.35104864988447404,0.3516821072625472,,sensitivity_display_medoid_not_semantic_cluster
extended73|C1|manual|yqstnuAEVhm_26b2e92ccd314a2da1a4fc8dfc6e6f56,C1|0|yqstnuAEVhm_26b2e92ccd314a2da1a4fc8dfc6e6f56|manual,extended73|C1|manual|yqstnuAEVhm_26b2e92ccd314a2da1a4fc8dfc6e6f56|cluster1,serialized_adjacency,1,15,10,0b276bc0087988e64912,0.08560696596057926,0.6471284357849524,,sensitivity_display_medoid_not_semantic_cluster
extended73|C1|manual|yqstnuAEVhm_26b2e92ccd314a2da1a4fc8dfc6e6f56,C1|0|yqstnuAEVhm_26b2e92ccd314a2da1a4fc8dfc6e6f56|manual,extended73|C1|manual|yqstnuAEVhm_26b2e92ccd314a2da1a4fc8dfc6e6f56|cluster1,historical_pairmap_unaveraged,1,15,15,87633c987c28cc7b24da,0.09853415624067174,0.6539164115161802,,sensitivity_display_medoid_not_semantic_cluster
extended73|C1|manual|yqstnuAEVhm_26b2e92ccd314a2da1a4fc8dfc6e6f56,C1|0|yqstnuAEVhm_26b2e92ccd314a2da1a4fc8dfc6e6f56|manual,extended73|C1|manual|yqstnuAEVhm_26b2e92ccd314a2da1a4fc8dfc6e6f56|cluster2,serialized_adjacency,2,3,1,a8f02e5f6ff661b1a6ea,0.11794596190355566,0.6240321963476398,,sensitivity_display_medoid_not_semantic_cluster
extended73|C1|manual|yqstnuAEVhm_26b2e92ccd314a2da1a4fc8dfc6e6f56,C1|0|yqstnuAEVhm_26b2e92ccd314a2da1a4fc8dfc6e6f56|manual,extended73|C1|manual|yqstnuAEVhm_26b2e92ccd314a2da1a4fc8dfc6e6f56|cluster2,historical_pairmap_unaveraged,2,3,3,a8f02e5f6ff661b1a6ea,0.11794596190355566,0.6240321963476398,,sensitivity_display_medoid_not_semantic_cluster
extended73|C1|manual|yqstnuAEVhm_26b2e92ccd314a2da1a4fc8dfc6e6f56,C1|0|yqstnuAEVhm_26b2e92ccd314a2da1a4fc8dfc6e6f56|manual,extended73|C1|manual|yqstnuAEVhm_26b2e92ccd314a2da1a4fc8dfc6e6f56|cluster3,serialized_adjacency,3,2,0,,,,,sensitivity_display_medoid_not_semantic_cluster
extended73|C1|manual|yqstnuAEVhm_26b2e92ccd314a2da1a4fc8dfc6e6f56,C1|0|yqstnuAEVhm_26b2e92ccd314a2da1a4fc8dfc6e6f56|manual,extended73|C1|manual|yqstnuAEVhm_26b2e92ccd314a2da1a4fc8dfc6e6f56|cluster3,historical_pairmap_unaveraged,3,2,2,1348b48c5c9e762ca204,0.7195319598214143,0.4657068683342577,,sensitivity_display_medoid_not_semantic_cluster
extended73|C1|manual|yqstnuAEVhm_26b2e92ccd314a2da1a4fc8dfc6e6f56,C1|0|yqstnuAEVhm_26b2e92ccd314a2da1a4fc8dfc6e6f56|manual,extended73|C1|manual|yqstnuAEVhm_26b2e92ccd314a2da1a4fc8dfc6e6f56|cluster4,serialized_adjacency,4,1,1,cbd801dc08d6ed3f53b9,0.6505938200436788,0.42308532155006184,,sensitivity_display_medoid_not_semantic_cluster
