analysis_role,outer_fold,building_id,base_task_id,condition,method,selected_worker_id,status,public_gt_quality,delivery_adjusted_quality,structurally_valid,corner_count,a0_reconstruction_match,severe_geometric_error_status,topology_error_status,training_buildings_excluded_test_building,inner_tuning,gt_used_for_selection
development_cross_fitted_retrospective_audit_opportunity_estimate,leave_building_out:7y3sRwLe3Va,7y3sRwLe3Va,7y3sRwLe3Va_fdab6422162e49db822a37178ab70481,manual,A4_image_evidence_weighted_cluster_selector,,source_absent_no_frozen_preoutcome_image_evidence,,,,,True,not_identifiable_no_frozen_severe_threshold,not_identifiable_no_frozen_reference_topology_field,True,none_fixed_lexicographic_rules,False
development_cross_fitted_retrospective_audit_opportunity_estimate,leave_building_out:7y3sRwLe3Va,7y3sRwLe3Va,7y3sRwLe3Va_fdab6422162e49db822a37178ab70481,manual,A5_topology_preserving_variable_corner_selector,15,estimated,0.9521166408435916,0.9521166408435916,True,6,True,not_identifiable_no_frozen_severe_threshold,not_identifiable_no_frozen_reference_topology_field,True,none_fixed_lexicographic_rules,False
development_cross_fitted_retrospective_audit_opportunity_estimate,leave_building_out:7y3sRwLe3Va,7y3sRwLe3Va,7y3sRwLe3Va_fdab6422162e49db822a37178ab70481,manual,A_oracle_evaluator_only,31,evaluator_only,0.9558182527433389,0.9558182527433389,True,6,True,not_identifiable_no_frozen_severe_threshold,not_identifiable_no_frozen_reference_topology_field,True,none_fixed_lexicographic_rules,True
development_cross_fitted_retrospective_audit_opportunity_estimate,leave_building_out:B6ByNegPMKs,B6ByNegPMKs,B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,manual,A0_current_largest_cluster_medoid,34,estimated,0.7339369477473546,0.7339369477473546,True,4,True,not_identifiable_no_frozen_severe_threshold,not_identifiable_no_frozen_reference_topology_field,True,none_fixed_lexicographic_rules,False
development_cross_fitted_retrospective_audit_opportunity_estimate,leave_building_out:B6ByNegPMKs,B6ByNegPMKs,B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,manual,A1_global_medoid_over_all_legal_submissions,34,estimated,0.7339369477473546,0.7339369477473546,True,4,True,not_identifiable_no_frozen_severe_threshold,not_identifiable_no_frozen_reference_topology_field,True,none_fixed_lexicographic_rules,False
development_cross_fitted_retrospective_audit_opportunity_estimate,leave_building_out:B6ByNegPMKs,B6ByNegPMKs,B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,manual,A2_cross_fitted_worker_quality_weighted_medoid,34,estimated,0.7339369477473546,0.7339369477473546,True,4,True,not_identifiable_no_frozen_severe_threshold,not_identifiable_no_frozen_reference_topology_field,True,none_fixed_lexicographic_rules,False
development_cross_fitted_retrospective_audit_opportunity_estimate,leave_building_out:B6ByNegPMKs,B6ByNegPMKs,B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,manual,A3_cluster_support_plus_worker_quality_selector,34,estimated,0.7339369477473546,0.7339369477473546,True,4,True,not_identifiable_no_frozen_severe_threshold,not_identifiable_no_frozen_reference_topology_field,True,none_fixed_lexicographic_rules,False
development_cross_fitted_retrospective_audit_opportunity_estimate,leave_building_out:B6ByNegPMKs,B6ByNegPMKs,B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,manual,A4_image_evidence_weighted_cluster_selector,,source_absent_no_frozen_preoutcome_image_evidence,,,,,True,not_identifiable_no_frozen_severe_threshold,not_identifiable_no_frozen_reference_topology_field,True,none_fixed_lexicographic_rules,False
development_cross_fitted_retrospective_audit_opportunity_estimate,leave_building_out:B6ByNegPMKs,B6ByNegPMKs,B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,manual,A5_topology_preserving_variable_corner_selector,34,estimated,0.7339369477473546,0.7339369477473546,True,4,True,not_identifiable_no_frozen_severe_threshold,not_identifiable_no_frozen_reference_topology_field,True,none_fixed_lexicographic_rules,False
development_cross_fitted_retrospective_audit_opportunity_estimate,leave_building_out:B6ByNegPMKs,B6ByNegPMKs,B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,manual,A_oracle_evaluator_only,15,evaluator_only,0.7915574604545034,0.7915574604545034,True,4,True,not_identifiable_no_frozen_severe_threshold,not_identifiable_no_frozen_reference_topology_field,True,none_fixed_lexicographic_rules,True
