cohort,model,groups,support,attempts,available,no_singletons,all_groups_represented,shared_workers_median,ari_median
all26,QT,3,diagnostic_3rows_2buildings,100,100,0,100,24.0,0.5600191296030607
all26,QT,3,primary_6rows_3buildings,100,100,0,96,22.0,0.5438846190340639
all26,QT,4,diagnostic_3rows_2buildings,100,100,0,100,24.0,0.4065967400311876
all26,QT,4,primary_6rows_3buildings,100,100,0,96,22.0,0.4537736159997583
all26,QT,5,diagnostic_3rows_2buildings,100,100,0,100,24.0,0.3480455721275405
all26,QT,5,primary_6rows_3buildings,100,100,0,96,22.0,0.3635996795578283
all26,QT,6,diagnostic_3rows_2buildings,100,100,0,100,24.0,0.3092683357016939
all26,QT,6,primary_6rows_3buildings,100,100,0,96,22.0,0.35545125246639453
all26,QT,7,diagnostic_3rows_2buildings,100,100,0,100,24.0,0.2994847616774091
all26,QT,7,primary_6rows_3buildings,100,100,0,96,22.0,0.31827276156914663
all26,QT,8,diagnostic_3rows_2buildings,100,100,0,100,24.0,0.27444366556097627
all26,QT,8,primary_6rows_3buildings,100,100,0,96,22.0,0.2940130111807382
all26,QT,9,diagnostic_3rows_2buildings,100,100,0,100,24.0,0.24273178845201843
all26,QT,9,primary_6rows_3buildings,100,100,0,95,22.0,0.28218912873073265
all26,QT,10,diagnostic_3rows_2buildings,100,100,0,98,24.0,0.22010707911957167
all26,QT,10,primary_6rows_3buildings,100,100,0,88,22.0,0.2461896125945362
all26,QT,11,diagnostic_3rows_2buildings,100,100,0,96,24.0,0.17513869845407637
all26,QT,11,primary_6rows_3buildings,100,100,0,77,22.0,0.19151175752271526
all26,QT,12,diagnostic_3rows_2buildings,100,100,0,95,24.0,0.15250753450257198
all26,QT,12,primary_6rows_3buildings,100,100,0,62,22.0,0.1421860340436939
all26,QTB,2,diagnostic_3rows_2buildings,100,100,0,99,24.0,1.0
all26,QTB,2,primary_6rows_3buildings,100,90,1,53,22.0,1.0
all26,QTB,3,diagnostic_3rows_2buildings,100,100,0,99,24.0,0.34212617193707295
all26,QTB,3,primary_6rows_3buildings,100,90,0,52,22.0,0.28459079987693553
all26,QTB,4,diagnostic_3rows_2buildings,100,100,0,99,24.0,0.3160974444709816
all26,QTB,4,primary_6rows_3buildings,100,89,0,52,22.0,0.29787234042553196
all26,QTB,5,diagnostic_3rows_2buildings,100,100,0,99,24.0,0.4107519179058656
all26,QTB,5,primary_6rows_3buildings,100,88,0,52,22.0,0.3955633918320486
all26,QTB,6,diagnostic_3rows_2buildings,100,100,0,99,24.0,0.42781098010777563
all26,QTB,6,primary_6rows_3buildings,100,88,0,52,22.0,0.37863115060925234
all26,QTB,7,diagnostic_3rows_2buildings,100,100,0,99,24.0,0.4057512015664867
all26,QTB,7,primary_6rows_3buildings,100,88,0,51,22.0,0.35434873538068595
all26,QTB,8,diagnostic_3rows_2buildings,100,100,0,99,24.0,0.39987591122368915
all26,QTB,8,primary_6rows_3buildings,100,86,0,51,22.0,0.34181635932804977
all26,QTB,9,diagnostic_3rows_2buildings,100,100,0,99,24.0,0.37830989984691765
all26,QTB,9,primary_6rows_3buildings,100,86,0,51,22.0,0.35893418413097533
all26,QTB,10,diagnostic_3rows_2buildings,100,100,0,99,24.0,0.3428142699189927
all26,QTB,10,primary_6rows_3buildings,100,81,0,49,22.0,0.3355704697986577
all26,QTB,11,diagnostic_3rows_2buildings,100,100,0,99,24.0,0.29887868056668154
all26,QTB,11,primary_6rows_3buildings,100,79,0,45,22.0,0.3002544529262086
all26,QTB,12,diagnostic_3rows_2buildings,100,100,0,99,24.0,0.28070454838241754
all26,QTB,12,primary_6rows_3buildings,100,78,0,41,22.0,0.29423889115891855
all26,QTS,2,diagnostic_3rows_2buildings,100,69,0,69,24.0,1.0
all26,QTS,2,primary_6rows_3buildings,100,0,0,0,0.0,
all26,QTS,3,diagnostic_3rows_2buildings,100,69,0,69,24.0,0.3436558685197907
all26,QTS,3,primary_6rows_3buildings,100,0,0,0,0.0,
all26,QTS,4,diagnostic_3rows_2buildings,100,69,0,69,24.0,0.3343773490353295
all26,QTS,4,primary_6rows_3buildings,100,0,0,0,0.0,
all26,QTS,5,diagnostic_3rows_2buildings,100,69,0,69,24.0,0.29358052019922526
all26,QTS,5,primary_6rows_3buildings,100,0,0,0,0.0,
all26,QTS,6,diagnostic_3rows_2buildings,100,69,0,69,24.0,0.26381175095001463
all26,QTS,6,primary_6rows_3buildings,100,0,0,0,0.0,
all26,QTS,7,diagnostic_3rows_2buildings,100,69,0,69,24.0,0.2702702702702703
all26,QTS,7,primary_6rows_3buildings,100,0,0,0,0.0,
all26,QTS,8,diagnostic_3rows_2buildings,100,69,0,69,24.0,0.29068241469816275
all26,QTS,8,primary_6rows_3buildings,100,0,0,0,0.0,
all26,QTS,9,diagnostic_3rows_2buildings,100,69,0,69,24.0,0.2975474317445627
all26,QTS,9,primary_6rows_3buildings,100,0,0,0,0.0,
all26,QTS,10,diagnostic_3rows_2buildings,100,69,0,68,24.0,0.27156549520766776
all26,QTS,10,primary_6rows_3buildings,100,0,0,0,0.0,
all26,QTS,11,diagnostic_3rows_2buildings,100,69,0,68,24.0,0.2553956834532374
all26,QTS,11,primary_6rows_3buildings,100,0,0,0,0.0,
all26,QTS,12,diagnostic_3rows_2buildings,100,69,0,67,24.0,0.2453125
all26,QTS,12,primary_6rows_3buildings,100,0,0,0,0.0,
all26,QTSB,2,diagnostic_3rows_2buildings,100,69,0,69,24.0,1.0
all26,QTSB,2,primary_6rows_3buildings,100,0,0,0,0.0,
all26,QTSB,3,diagnostic_3rows_2buildings,100,69,0,69,24.0,0.26261197548326254
all26,QTSB,3,primary_6rows_3buildings,100,0,0,0,0.0,
all26,QTSB,4,diagnostic_3rows_2buildings,100,69,0,69,24.0,0.2891178364455892
all26,QTSB,4,primary_6rows_3buildings,100,0,0,0,0.0,
all26,QTSB,5,diagnostic_3rows_2buildings,100,69,0,69,24.0,0.3108846750792901
all26,QTSB,5,primary_6rows_3buildings,100,0,0,0,0.0,
all26,QTSB,6,diagnostic_3rows_2buildings,100,69,0,69,24.0,0.3160577740016992
all26,QTSB,6,primary_6rows_3buildings,100,0,0,0,0.0,
all26,QTSB,7,diagnostic_3rows_2buildings,100,69,0,69,24.0,0.29210220673635306
all26,QTSB,7,primary_6rows_3buildings,100,0,0,0,0.0,
all26,QTSB,8,diagnostic_3rows_2buildings,100,69,0,69,24.0,0.25646551724137934
all26,QTSB,8,primary_6rows_3buildings,100,0,0,0,0.0,
all26,QTSB,9,diagnostic_3rows_2buildings,100,69,0,69,24.0,0.26800670016750416
all26,QTSB,9,primary_6rows_3buildings,100,0,0,0,0.0,
all26,QTSB,10,diagnostic_3rows_2buildings,100,69,0,69,24.0,0.23616236162361623
all26,QTSB,10,primary_6rows_3buildings,100,0,0,0,0.0,
all26,QTSB,11,diagnostic_3rows_2buildings,100,69,0,69,24.0,0.23596792668957614
all26,QTSB,11,primary_6rows_3buildings,100,0,0,0,0.0,
all26,QTSB,12,diagnostic_3rows_2buildings,100,69,0,69,24.0,0.2453125
all26,QTSB,12,primary_6rows_3buildings,100,0,0,0,0.0,
all26,S,2,diagnostic_3rows_2buildings,100,69,69,69,26.0,0.012449126167105484
all26,S,2,primary_6rows_3buildings,100,0,0,0,0.0,
all26,S,3,diagnostic_3rows_2buildings,100,69,61,69,26.0,0.20424531030095047
all26,S,3,primary_6rows_3buildings,100,0,0,0,0.0,
all26,S,4,diagnostic_3rows_2buildings,100,69,39,69,26.0,0.16337738115668435
all26,S,4,primary_6rows_3buildings,100,0,0,0,0.0,
all26,S,5,diagnostic_3rows_2buildings,100,69,11,69,26.0,0.18073721759809752
all26,S,5,primary_6rows_3buildings,100,0,0,0,0.0,
all26,S,6,diagnostic_3rows_2buildings,100,69,1,69,26.0,0.16555228670767586
all26,S,6,primary_6rows_3buildings,100,0,0,0,0.0,
all26,S,7,diagnostic_3rows_2buildings,100,69,1,69,26.0,0.15885562395075548
all26,S,7,primary_6rows_3buildings,100,0,0,0,0.0,
all26,S,8,diagnostic_3rows_2buildings,100,69,0,69,26.0,0.1406796796018353
all26,S,8,primary_6rows_3buildings,100,0,0,0,0.0,
