cohort,model,groups,group,support,attempts,available,both_at_least_2,jaccard_median,chance_jaccard_median,adjusted_jaccard_median
all26,B,13,7,primary_6rows_3buildings,100,78,38,0.0,0.05572755417956656,-0.04
all26,B,13,8,diagnostic_3rows_2buildings,100,100,39,0.0,0.038461538461538464,-0.04
all26,B,13,8,primary_6rows_3buildings,100,78,28,0.0,0.045454545454545456,-0.04
all26,B,13,9,diagnostic_3rows_2buildings,100,100,37,0.0,0.038461538461538464,-0.04
all26,B,13,9,primary_6rows_3buildings,100,78,25,0.0,0.043478260869565216,-0.04
all26,B,13,10,diagnostic_3rows_2buildings,100,100,42,0.0,0.038461538461538464,-0.04
all26,B,13,10,primary_6rows_3buildings,100,78,32,0.0,0.04996336996336996,-0.04545454545454545
all26,B,13,11,diagnostic_3rows_2buildings,100,100,53,0.2,0.05230769230769231,0.13789530401624736
all26,B,13,11,primary_6rows_3buildings,100,78,38,0.2,0.05230769230769231,0.14187800680444432
all26,B,13,12,diagnostic_3rows_2buildings,100,100,58,0.0,0.05230769230769231,-0.04
all26,B,13,12,primary_6rows_3buildings,100,78,35,0.0,0.05230769230769231,-0.04
all26,B,13,13,diagnostic_3rows_2buildings,100,100,4,0.41666666666666663,0.038461538461538464,0.38944444444444437
all26,B,13,13,primary_6rows_3buildings,100,78,3,0.3333333333333333,0.038461538461538464,0.3066666666666666
all26,Q,2,1,diagnostic_3rows_2buildings,100,100,100,1.0,0.9232,1.0
all26,Q,2,1,primary_6rows_3buildings,100,100,100,1.0,0.9232,1.0
all26,Q,2,2,diagnostic_3rows_2buildings,100,100,0,1.0,0.04,1.0
all26,Q,2,2,primary_6rows_3buildings,100,100,0,1.0,0.04,1.0
all26,Q,3,1,diagnostic_3rows_2buildings,100,100,99,0.3333333333333333,0.09551242236024844,0.2470202901165454
all26,Q,3,1,primary_6rows_3buildings,100,100,99,0.3333333333333333,0.09551242236024844,0.2470202901165454
all26,Q,3,2,diagnostic_3rows_2buildings,100,100,100,0.7142857142857143,0.5564511943632926,0.3341456169411481
all26,Q,3,2,primary_6rows_3buildings,100,100,100,0.7008928571428572,0.548837798131131,0.3341456169411481
all26,Q,3,3,diagnostic_3rows_2buildings,100,100,0,1.0,0.04,1.0
all26,Q,3,3,primary_6rows_3buildings,100,100,0,1.0,0.04,1.0
all26,Q,4,1,diagnostic_3rows_2buildings,100,100,78,0.4,0.06744444444444445,0.3449159783537454
all26,Q,4,1,primary_6rows_3buildings,100,100,78,0.4,0.06744444444444445,0.3449159783537454
all26,Q,4,2,diagnostic_3rows_2buildings,100,100,100,0.3550420168067227,0.25582150464990444,0.1169303266086397
all26,Q,4,2,primary_6rows_3buildings,100,100,100,0.3514705882352941,0.25582150464990444,0.1169303266086397
all26,Q,4,3,diagnostic_3rows_2buildings,100,100,99,0.2899159663865546,0.17015232179828454,0.174207921534654
all26,Q,4,3,primary_6rows_3buildings,100,100,100,0.30090497737556565,0.17015232179828454,0.18028017978077354
all26,Q,4,4,diagnostic_3rows_2buildings,100,100,0,1.0,0.04,1.0
all26,Q,4,4,primary_6rows_3buildings,100,100,0,1.0,0.04,1.0
all26,Q,5,1,diagnostic_3rows_2buildings,100,100,51,0.5,0.05444444444444444,0.4791666666666667
all26,Q,5,1,primary_6rows_3buildings,100,100,43,0.5,0.04,0.4791666666666667
all26,Q,5,2,diagnostic_3rows_2buildings,100,100,99,0.3333333333333333,0.16663344341209954,0.16406127338153198
all26,Q,5,2,primary_6rows_3buildings,100,100,97,0.3038461538461539,0.15911933422308916,0.16276540039147724
all26,Q,5,3,diagnostic_3rows_2buildings,100,100,100,0.4,0.254187254566673,0.18488854177671696
all26,Q,5,3,primary_6rows_3buildings,100,100,100,0.40588235294117647,0.26368149948936004,0.19642613665076675
all26,Q,5,4,diagnostic_3rows_2buildings,100,100,78,0.3333333333333333,0.07172619047619047,0.2746674268135012
all26,Q,5,4,primary_6rows_3buildings,100,100,87,0.3333333333333333,0.07466666666666666,0.2824192721681189
all26,Q,5,5,diagnostic_3rows_2buildings,100,100,0,1.0,0.04,1.0
all26,Q,5,5,primary_6rows_3buildings,100,100,0,1.0,0.04,1.0
all26,Q,6,1,diagnostic_3rows_2buildings,100,100,19,0.5,0.04,0.4791666666666667
all26,Q,6,1,primary_6rows_3buildings,100,100,19,0.5,0.04,0.4791666666666667
all26,Q,6,2,diagnostic_3rows_2buildings,100,100,91,0.2,0.09934782608695653,0.13691692824639745
all26,Q,6,2,primary_6rows_3buildings,100,100,89,0.2,0.09934782608695653,0.13057301463526433
all26,Q,6,3,diagnostic_3rows_2buildings,100,100,100,0.23076923076923078,0.17088601206316445,0.060286344503378574
all26,Q,6,3,primary_6rows_3buildings,100,100,100,0.23076923076923078,0.1674647662394698,0.07207421635969344
all26,Q,6,4,diagnostic_3rows_2buildings,100,100,100,0.25,0.14863869259126178,0.13490220634842723
all26,Q,6,4,primary_6rows_3buildings,100,100,100,0.2727272727272727,0.16663344341209954,0.14018612065581298
all26,Q,6,5,diagnostic_3rows_2buildings,100,100,47,0.3666666666666667,0.04,0.3252357669546505
all26,Q,6,5,primary_6rows_3buildings,100,100,61,0.4,0.06166666666666667,0.35026228511959345
