condition,metric,partition,nominal_cut,k,images,buildings,next_uncovered,fixed_expected_clusters,fixed_unseen_pool_mass,minority_unseen_mass
manual,sphere,representative,9,5,45,14,0.33184659412617418,2.6269356999670639,0.2543943860727888,0.067280020479380268
manual,sphere,representative,9,6,45,14,0.31378128084638607,2.9529375053537126,0.22864395598022638,0.057368282374686143
manual,sphere,representative,9,7,45,14,0.29893002849490935,3.2634179684401792,0.206112376854,0.048518025073934587
manual,sphere,representative,9,8,45,14,0.2863860368960876,3.561050307816584,0.18597567691655642,0.040653694128638659
manual,sphere,representative,9,9,45,14,0.27557730905220473,3.8477775451018821,0.16770088764857946,0.033703366093596941
manual,sphere,representative,9,10,45,14,0.26611728654960137,4.1250826652495789,0.15091696392732817,0.027598748526893545
manual,sphere,representative,9,11,45,14,0.25773214285486012,4.3941340913398621,0.13535256043581001,0.022275179989898086
manual,sphere,representative,9,12,45,14,0.2502210096446647,4.6558721672478569,0.12080293253723909,0.01767163004726572
manual,sphere,representative,9,13,45,14,0.24343238399459513,4.9110654556146329,0.10711038081803029,0.0137306992669371
manual,sphere,representative,9,14,45,14,0.2372493590275257,5.1603499881179697,0.094151595696592982,0.010398619220138416
manual,sphere,representative,9,15,45,14,0.23158007881052708,5.4042578327357571,0.081828964362302803,0.0076252524813813661
manual,sphere,representative,9,16,45,14,0.22635145185981997,5.6432384922625864,0.070064371422313088,0.0053640926284631747
manual,sphere,representative,9,17,45,14,0.2215048949412031,5.8776753643000781,0.058794629831777377,0.003572264242466584
manual,sphere,representative,9,18,45,14,0.21699322416713721,6.107898732338092,0.047968010069698974,0.0022105229077598559
manual,sphere,representative,12,1,45,14,0.48356691391779111,1,0.43686547708541607,0.11711394825483799
manual,sphere,representative,12,2,45,14,0.38865169416432482,1.4569134885229471,0.33720263114762583,0.10184624181777137
manual,sphere,representative,12,3,45,14,0.3436850205028964,1.8266241840101041,0.28488388005677406,0.088101570977084043
manual,sphere,representative,12,4,45,14,0.31368966821024075,2.1548014559204933,0.24768083690587675,0.075771263576102296
manual,sphere,representative,12,5,45,14,0.29119589880347274,2.455342417113854,0.21834537265934223,0.064751422143459789
manual,sphere,representative,12,6,45,14,0.27333393963290314,2.7352065773724141,0.19400643916095955,0.054942923893097767
manual,sphere,representative,12,7,45,14,0.25864634081744953,2.9987001215466238,0.17318411353391436,0.046251420724264976
manual,sphere,representative,12,8,45,14,0.24627301020422571,3.2488118142607307,0.15497934920136711,0.038587339221517684
manual,sphere,representative,12,9,45,14,0.2356555644168378,3.4877521454405964,0.13878611795608853,0.031865880654719674
manual,sphere,representative,12,10,45,14,0.22640876179934821,3.7172119946181064,0.12417279328364567,0.026007020979042228
manual,sphere,representative,12,11,45,14,0.21825615948557575,3.938510955993682,0.1108232259057879,0.020935510834964165
manual,sphere,representative,12,12,45,14,0.21099382474163736,4.1526945454001583,0.09850174786503274,0.016580875548271812
manual,sphere,representative,12,13,45,14,0.20446799840370083,4.3606023225306885,0.087030101038941571,0.012877415130059015
manual,sphere,representative,12,14,45,14,0.19856057395721777,4.5629168655188312,0.076271599824618272,0.0097642042767271328
manual,sphere,representative,12,15,45,14,0.19317933650896812,4.7601993994324729,0.066120096478387402,0.0071850923699850354
manual,sphere,representative,12,16,45,14,0.1882512552748565,4.9529160289962553,0.056492206102042627,0.0050887034768491192
