stage,condition,dataset_group,base_task_id,selected_support,distinct_workers,even_point_candidate_support,strict_valid_support,strict_invalid_support,all_selected_pair_count,strict_pair_count,boundary_metric_pair_count,wall_metric_pair_count,metric_pair_coverage_over_all_selected,boundary_distance_mean,boundary_distance_median,boundary_distance_q90,wall_distance_mean,wall_distance_median,wall_distance_q90,vertical_boundary_count_disagreement,selected_point_counts_json,strict_vertical_boundary_counts_json,strict_boundary_count_diverse
C1,manual,C1_core_all,uNb9QFRL6hY_f7944295a76541b186e6a557ebdbba14,5,5,5,5,0,10,10,10,10,1.0,0.045946908678289655,0.04730614611612416,0.06572327173229563,0.10275899894995826,0.08889079348743695,0.16876736476816498,0.8,"[12, 8, 12, 8, 14]","[6, 4, 6, 4, 7]",True
C1,manual,C1_core_all,uNb9QFRL6hY_fd8d4da92ec14b668ed3d2986616bd14,5,5,4,4,1,10,6,6,6,0.6,0.037159786183223874,0.03626831519738871,0.05558220904405242,0.055736716838518,0.04942889969470915,0.10178305611772515,0.8333333333333334,"[12, 12, 20, 18, 17]","[6, 6, 10, 9]",True
C1,manual,C1_core_all,wc2JMjhGNzB_03c1aca95e254bf4b0db303a28d79aee,5,5,5,5,0,10,10,10,10,1.0,0.009475794948640603,0.009446463936188199,0.01338100640910511,0.014458660882691321,0.0037027446897281435,0.03219054620437358,0.4,"[8, 8, 8, 8, 12]","[4, 4, 4, 4, 6]",True
C1,manual,C1_core_all,wc2JMjhGNzB_1d8917d25abb4a77a0da9583dc82c17c,5,5,5,5,0,10,10,10,10,1.0,0.050242211605881326,0.05336112118646258,0.08181322481833397,0.06932656790902195,0.07988984851488135,0.09553560817744113,0.7,"[16, 8, 10, 8, 8]","[8, 4, 5, 4, 4]",True
C1,manual,C1_core_all,wc2JMjhGNzB_4884da3227464ab5b82f631ff22205bd,6,6,6,6,0,15,15,15,15,1.0,0.05969639279449003,0.05695368056777872,0.0827644962146933,0.05573874883868832,0.051930601169845714,0.10688635247891502,0.8666666666666667,"[12, 12, 10, 16, 20, 20]","[6, 6, 5, 8, 10, 10]",True
C1,manual,C1_core_all,wc2JMjhGNzB_55b45b0f19c2460bbcd1fb1c86c6610d,6,6,6,6,0,15,15,15,15,1.0,0.006551385505910782,0.00760699331151482,0.008434348235189537,0.015378937410328667,0.006455064565250912,0.03927745406600007,0.9333333333333333,"[8, 12, 20, 14, 16, 20]","[4, 6, 10, 7, 8, 10]",True
C1,manual,C1_core_all,wc2JMjhGNzB_9087f0358178420a8b9ac7b17a8919c7,7,7,7,7,0,21,21,21,21,1.0,0.007437922079987222,0.006534591293203218,0.012251632299264736,0.012819958103860093,0.007373975639552222,0.02367442073714021,0.47619047619047616,"[8, 8, 12, 12, 12, 12, 12]","[4, 4, 6, 6, 6, 6, 6]",True
C1,manual,C1_core_all,wc2JMjhGNzB_c7c84bf01a834489ad11d8450a7dc2bc,5,5,4,4,1,10,6,6,6,0.6,0.009228026259910446,0.009806813455173424,0.011749201001122922,0.004030912395390458,0.004467861679759433,0.004821468747222835,0.0,"[8, 9, 8, 8, 8]","[4, 4, 4, 4]",False
C1,manual,C1_core_all,wc2JMjhGNzB_ec04ef10a0664e94878aa2d0f1720c2f,5,5,5,5,0,10,10,10,10,1.0,0.01769214495934889,0.016930244854494847,0.025906684546074473,0.0401454545865481,0.03486458297902412,0.07322834801729804,0.7,"[6, 10, 8, 8, 8]","[3, 5, 4, 4, 4]",True
C1,manual,C1_core_all,x8F5xyUWy9e_1be9a97aada84e4795f64583ac0e3b76,5,5,5,5,0,10,10,10,10,1.0,0.018501411369673648,0.02309666332398619,0.02525156980252411,0.04393038283020236,0.045018577575580365,0.06514879216729166,1.0,"[10, 18, 12, 16, 8]","[5, 9, 6, 8, 4]",True
