method,baseline,algorithm,condition,target,design,n_images,n_buildings,method_MAE,target_only_MAE,delta_MAE,CI_low,CI_high
DX_other_views_feedback_mean,DX_target_feedback_matched,ridge,manual,within_topology_geometry_dispersion,leave_building,54,17,0.0383321616265,0.0380582860523,0.000273875574204,-0.00211246646707,0.00276744807171
DX_other_views_feedback_mean,DX_target_feedback_matched,ridge,manual,within_topology_geometry_dispersion,leave_supported_room_conservative,54,17,0.0383321616265,0.0380582860523,0.000273875574204,-0.00211246646707,0.00276744807171
DX_other_views_feedback_mean,DX_target_feedback_matched,ridge,manual,within_topology_geometry_dispersion,same_room_leave_view,29,10,0.0501468691765,0.0501468691765,0,0,0
DX_other_views_feedback_mean,DX_target_feedback_matched,ridge,semi,owner_valid_active_seconds,leave_building,16,9,74.1956343228,65.8448724743,8.35076184849,-7.6545717654,28.7963317759
DX_other_views_feedback_mean,DX_target_feedback_matched,ridge,semi,owner_valid_active_seconds,leave_supported_room_conservative,16,9,74.1956343228,65.8448724743,8.35076184849,-7.6545717654,28.7963317759
DX_other_views_feedback_mean,DX_target_feedback_matched,ridge,semi,owner_valid_active_seconds,same_room_leave_view,0,0,,,,,
DX_other_views_feedback_mean,DX_target_feedback_matched,ridge,semi,point_count_disagreement,leave_building,16,9,0.120643664756,0.299642600829,-0.178998936073,-0.255727573394,-0.105316186435
DX_other_views_feedback_mean,DX_target_feedback_matched,ridge,semi,point_count_disagreement,leave_supported_room_conservative,16,9,0.120643664756,0.299642600829,-0.178998936073,-0.255727573394,-0.105316186435
DX_other_views_feedback_mean,DX_target_feedback_matched,ridge,semi,point_count_disagreement,same_room_leave_view,0,0,,,,,
DX_other_views_feedback_mean,DX_target_feedback_matched,ridge,semi,reference_geometry_error,leave_building,16,9,0.0457920182626,0.0507493682689,-0.00495735000632,-0.023723316607,0.0303800273201
DX_other_views_feedback_mean,DX_target_feedback_matched,ridge,semi,reference_geometry_error,leave_supported_room_conservative,16,9,0.0457920182626,0.0507493682689,-0.00495735000632,-0.023723316607,0.0303800273201
DX_other_views_feedback_mean,DX_target_feedback_matched,ridge,semi,reference_geometry_error,same_room_leave_view,0,0,,,,,
DX_other_views_feedback_mean,DX_target_feedback_matched,ridge,semi,scope_entropy,leave_building,16,9,0.488592788081,0.398598858457,0.089993929624,0.00258185983259,0.194267114372
DX_other_views_feedback_mean,DX_target_feedback_matched,ridge,semi,scope_entropy,leave_supported_room_conservative,16,9,0.488592788081,0.398598858457,0.089993929624,0.00258185983259,0.194267114372
DX_other_views_feedback_mean,DX_target_feedback_matched,ridge,semi,scope_entropy,same_room_leave_view,0,0,,,,,
DX_other_views_feedback_mean,DX_target_feedback_matched,ridge,semi,scope_non_normal_rate,leave_building,16,9,0.16134697172,0.222283515805,-0.0609365440846,-0.145466685723,0.0410284243492
DX_other_views_feedback_mean,DX_target_feedback_matched,ridge,semi,scope_non_normal_rate,leave_supported_room_conservative,16,9,0.16134697172,0.222283515805,-0.0609365440846,-0.145466685723,0.0410284243492
DX_other_views_feedback_mean,DX_target_feedback_matched,ridge,semi,scope_non_normal_rate,same_room_leave_view,0,0,,,,,
DX_other_views_feedback_mean,DX_target_feedback_matched,ridge,semi,scope_p_normal,leave_building,16,9,0.16134697172,0.222283515805,-0.0609365440846,-0.145466685723,0.0410284243492
DX_other_views_feedback_mean,DX_target_feedback_matched,ridge,semi,scope_p_normal,leave_supported_room_conservative,16,9,0.16134697172,0.222283515805,-0.0609365440846,-0.145466685723,0.0410284243492
DX_other_views_feedback_mean,DX_target_feedback_matched,ridge,semi,scope_p_normal,same_room_leave_view,0,0,,,,,
DX_other_views_feedback_mean,DX_target_feedback_matched,ridge,semi,scope_p_oos_geometry,leave_building,16,9,0.0513442869357,0.0473291924298,0.00401509450588,-0.0164160335085,0.0193758808925
DX_other_views_feedback_mean,DX_target_feedback_matched,ridge,semi,scope_p_oos_geometry,leave_supported_room_conservative,16,9,0.0513442869357,0.0473291924298,0.00401509450588,-0.0164160335085,0.0193758808925
DX_other_views_feedback_mean,DX_target_feedback_matched,ridge,semi,scope_p_oos_geometry,same_room_leave_view,0,0,,,,,
DX_other_views_feedback_mean,DX_target_feedback_matched,ridge,semi,scope_p_oos_insufficient,leave_building,16,9,0.00567676488598,0.00581958646873,-0.00014282158275,-0.00193575481374,0.00279229446301
DX_other_views_feedback_mean,DX_target_feedback_matched,ridge,semi,scope_p_oos_insufficient,leave_supported_room_conservative,16,9,0.00567676488598,0.00581958646873,-0.00014282158275,-0.00193575481374,0.00279229446301
DX_other_views_feedback_mean,DX_target_feedback_matched,ridge,semi,scope_p_oos_insufficient,same_room_leave_view,0,0,,,,,
DX_other_views_feedback_mean,DX_target_feedback_matched,ridge,semi,scope_p_oos_open_boundary,leave_building,16,9,0.16743136906,0.18466393485,-0.0172325657905,-0.0958121488573,0.0928179788613
DX_other_views_feedback_mean,DX_target_feedback_matched,ridge,semi,scope_p_oos_open_boundary,leave_supported_room_conservative,16,9,0.16743136906,0.18466393485,-0.0172325657905,-0.0958121488573,0.0928179788613
DX_other_views_feedback_mean,DX_target_feedback_matched,ridge,semi,scope_p_oos_open_boundary,same_room_leave_view,0,0,,,,,
DX_other_views_feedback_mean,DX_target_feedback_matched,ridge,semi,scope_p_oos_split_level,leave_building,16,9,0.0220974541494,0.0186186128763,0.00347884127304,-0.00140542866535,0.012090905095
DX_other_views_feedback_mean,DX_target_feedback_matched,ridge,semi,scope_p_oos_split_level,leave_supported_room_conservative,16,9,0.0220974541494,0.0186186128763,0.00347884127304,-0.00140542866535,0.012090905095
DX_other_views_feedback_mean,DX_target_feedback_matched,ridge,semi,scope_p_oos_split_level,same_room_leave_view,0,0,,,,,
DX_other_views_feedback_mean,DX_target_feedback_matched,ridge,semi,within_topology_geometry_dispersion,leave_building,16,9,0.0296590084765,0.0304560747666,-0.00079706629006,-0.00346225014511,0.00351650040017
DX_other_views_feedback_mean,DX_target_feedback_matched,ridge,semi,within_topology_geometry_dispersion,leave_supported_room_conservative,16,9,0.0296590084765,0.0304560747666,-0.00079706629006,-0.00346225014511,0.00351650040017
DX_other_views_feedback_mean,DX_target_feedback_matched,ridge,semi,within_topology_geometry_dispersion,same_room_leave_view,0,0,,,,,
DX_target_plus_aux_feedback,DX_target_feedback_matched,knn,manual,owner_valid_active_seconds,leave_building,69,18,75.4734299517,78.2985507246,-2.82512077296,-10.2239614058,5.25050866236
DX_target_plus_aux_feedback,DX_target_feedback_matched,knn,manual,owner_valid_active_seconds,leave_supported_room_conservative,69,18,75.4734299517,78.2985507246,-2.82512077296,-10.2239614058,5.25050866236
DX_target_plus_aux_feedback,DX_target_feedback_matched,knn,manual,owner_valid_active_seconds,same_room_leave_view,40,12,105.025,111.0875,-6.0625,-35.1454545455,11.652173913
DX_target_plus_aux_feedback,DX_target_feedback_matched,knn,manual,point_count_disagreement,leave_building,59,18,0.284711426296,0.280863418903,0.00384800739261,-0.049030063833,0.0582113517571
DX_target_plus_aux_feedback,DX_target_feedback_matched,knn,manual,point_count_disagreement,leave_supported_room_conservative,59,18,0.284711426296,0.280863418903,0.00384800739261,-0.049030063833,0.0582113517571
DX_target_plus_aux_feedback,DX_target_feedback_matched,knn,manual,point_count_disagreement,same_room_leave_view,33,11,0.181717228753,0.207297708879,-0.0255804801259,-0.103448275862,0.0094757344368
DX_target_plus_aux_feedback,DX_target_feedback_matched,knn,manual,reference_geometry_error,leave_building,60,18,0.0518280234766,0.0577954385571,-0.00596741508056,-0.013954805296,0.00107812217527
DX_target_plus_aux_feedback,DX_target_feedback_matched,knn,manual,reference_geometry_error,leave_supported_room_conservative,60,18,0.0518280234766,0.0577954385571,-0.00596741508056,-0.013954805296,0.00107812217527
DX_target_plus_aux_feedback,DX_target_feedback_matched,knn,manual,reference_geometry_error,same_room_leave_view,31,9,0.0552528871378,0.0520565585902,0.00319632854757,0,0.00677920657804
DX_target_plus_aux_feedback,DX_target_feedback_matched,knn,manual,scope_entropy,leave_building,69,18,0.369458702428,0.445293956846,-0.0758352544181,-0.167580171544,0.0117564151967
DX_target_plus_aux_feedback,DX_target_feedback_matched,knn,manual,scope_entropy,leave_supported_room_conservative,69,18,0.369458702428,0.445293956846,-0.0758352544181,-0.167580171544,0.0117564151967
DX_target_plus_aux_feedback,DX_target_feedback_matched,knn,manual,scope_entropy,same_room_leave_view,40,12,0.271236636674,0.246733298042,0.0245033386328,0,0.0559724459749
