cohort,pool,metric,outcome,building,max_abs_error,labels_match
current20,without_synthetic,ospa30,final,e9zR4mvMWw7,7.9936057773e-15,True
current20,without_synthetic,ospa30,final,q9vSo1VnCiC,7.1054273576e-15,True
current20,without_synthetic,ospa30,final,rPc6DW4iMge,7.32747196253e-15,True
current20,without_synthetic,ospa30,final,uNb9QFRL6hY,8.43769498715e-15,True
current20,without_synthetic,ospa30,final,wc2JMjhGNzB,1.06581410364e-14,True
current20,without_synthetic,ospa30,final,yqstnuAEVhm,6.66133814775e-15,True
current20,without_synthetic,ospa30,final_via_edit_labels,7y3sRwLe3Va,8.38218383592e-15,True
current20,without_synthetic,ospa30,final_via_edit_labels,B6ByNegPMKs,7.54951656745e-15,True
current20,without_synthetic,ospa30,final_via_edit_labels,UwV83HsGsw3,6.88338275268e-15,True
current20,without_synthetic,ospa30,final_via_edit_labels,X7HyMhZNoso,1.09912079438e-14,True
current20,without_synthetic,ospa30,final_via_edit_labels,Z6MFQCViBuw,8.881784197e-15,True
current20,without_synthetic,ospa30,final_via_edit_labels,b8cTxDM8gDG,6.66133814775e-15,True
current20,without_synthetic,ospa30,final_via_edit_labels,e9zR4mvMWw7,7.9936057773e-15,True
current20,without_synthetic,ospa30,final_via_edit_labels,q9vSo1VnCiC,7.1054273576e-15,True
current20,without_synthetic,ospa30,final_via_edit_labels,rPc6DW4iMge,7.32747196253e-15,True
current20,without_synthetic,ospa30,final_via_edit_labels,uNb9QFRL6hY,8.43769498715e-15,True
current20,without_synthetic,ospa30,final_via_edit_labels,wc2JMjhGNzB,1.06581410364e-14,True
current20,without_synthetic,ospa30,final_via_edit_labels,yqstnuAEVhm,6.66133814775e-15,True
current20,without_synthetic,ospa60,edit,7y3sRwLe3Va,2.84217094304e-14,True
current20,without_synthetic,ospa60,edit,B6ByNegPMKs,2.57571741713e-14,True
current20,without_synthetic,ospa60,edit,UwV83HsGsw3,3.73034936274e-14,True
current20,without_synthetic,ospa60,edit,X7HyMhZNoso,1.82909243307e-14,True
current20,without_synthetic,ospa60,edit,Z6MFQCViBuw,2.44249065418e-14,True
current20,without_synthetic,ospa60,edit,b8cTxDM8gDG,1.90958360236e-14,True
current20,without_synthetic,ospa60,edit,e9zR4mvMWw7,9.88098491916e-15,True
current20,without_synthetic,ospa60,edit,q9vSo1VnCiC,1.53210777398e-14,True
current20,without_synthetic,ospa60,edit,rPc6DW4iMge,2.93098878501e-14,True
current20,without_synthetic,ospa60,edit,uNb9QFRL6hY,2.48689957516e-14,True
current20,without_synthetic,ospa60,edit,wc2JMjhGNzB,1.84297022088e-14,True
current20,without_synthetic,ospa60,edit,yqstnuAEVhm,1.02695629778e-14,True
current20,without_synthetic,ospa60,final,7y3sRwLe3Va,2.0650148258e-14,True
current20,without_synthetic,ospa60,final,B6ByNegPMKs,1.1990408666e-14,True
current20,without_synthetic,ospa60,final,UwV83HsGsw3,1.24344978758e-14,True
current20,without_synthetic,ospa60,final,X7HyMhZNoso,2.28705943073e-14,True
current20,without_synthetic,ospa60,final,Z6MFQCViBuw,1.42490186317e-14,True
current20,without_synthetic,ospa60,final,b8cTxDM8gDG,1.13242748512e-14,True
current20,without_synthetic,ospa60,final,e9zR4mvMWw7,2.04281036531e-14,True
current20,without_synthetic,ospa60,final,q9vSo1VnCiC,9.7699626167e-15,True
current20,without_synthetic,ospa60,final,rPc6DW4iMge,1.46549439251e-14,True
current20,without_synthetic,ospa60,final,uNb9QFRL6hY,1.95399252334e-14,True
current20,without_synthetic,ospa60,final,wc2JMjhGNzB,1.86517468137e-14,True
current20,without_synthetic,ospa60,final,yqstnuAEVhm,1.06581410364e-14,True
current20,without_synthetic,ospa60,final_via_edit_labels,7y3sRwLe3Va,2.0650148258e-14,True
current20,without_synthetic,ospa60,final_via_edit_labels,B6ByNegPMKs,1.1990408666e-14,True
current20,without_synthetic,ospa60,final_via_edit_labels,UwV83HsGsw3,1.24344978758e-14,True
current20,without_synthetic,ospa60,final_via_edit_labels,X7HyMhZNoso,2.28705943073e-14,True
current20,without_synthetic,ospa60,final_via_edit_labels,Z6MFQCViBuw,1.42490186317e-14,True
current20,without_synthetic,ospa60,final_via_edit_labels,b8cTxDM8gDG,1.13242748512e-14,True
current20,without_synthetic,ospa60,final_via_edit_labels,e9zR4mvMWw7,2.04281036531e-14,True
current20,without_synthetic,ospa60,final_via_edit_labels,q9vSo1VnCiC,9.7699626167e-15,True
current20,without_synthetic,ospa60,final_via_edit_labels,rPc6DW4iMge,1.46549439251e-14,True
current20,without_synthetic,ospa60,final_via_edit_labels,uNb9QFRL6hY,1.95399252334e-14,True
current20,without_synthetic,ospa60,final_via_edit_labels,wc2JMjhGNzB,1.86517468137e-14,True
current20,without_synthetic,ospa60,final_via_edit_labels,yqstnuAEVhm,1.06581410364e-14,True
