design,feature,baseline,algorithm,n_relation_eligible_images,n_supported_components,supported_component_macro_rps,total_images
pooled,dinov3__block12__faces_local16,main,knn,54,9,0.116148621066,106
pooled,dinov3__block12__faces_local16,main,ridge,54,9,0.116369402954,106
pooled,dinov3__block12__faces_local96,coarse,knn,54,9,0.146601502909,106
pooled,dinov3__block12__faces_local96,coarse,ridge,54,9,0.137680009437,106
pooled,dinov3__block12__faces_local96,global,knn,54,9,0.201201310103,106
pooled,dinov3__block12__faces_local96,global,ridge,54,9,0.168646701635,106
pooled,dinov3__block12__faces_local96,main,knn,54,9,0.127871789863,106
pooled,dinov3__block12__faces_local96,main,ridge,54,9,0.117866962548,106
pooled,dinov3__block12__panorama_global,coarse,knn,54,9,0.137238356426,106
pooled,dinov3__block12__panorama_global,coarse,ridge,54,9,0.139057286503,106
pooled,dinov3__block12__panorama_global,global,knn,54,9,0.179513713752,106
pooled,dinov3__block12__panorama_global,global,ridge,54,9,0.149369628344,106
pooled,dinov3__block12__panorama_global,main,knn,54,9,0.132372755186,106
pooled,dinov3__block12__panorama_global,main,ridge,54,9,0.12320013699,106
pooled,dinov3__block12__panorama_local16,coarse,knn,54,9,0.132189781375,106
pooled,dinov3__block12__panorama_local16,coarse,ridge,54,9,0.136457569801,106
pooled,dinov3__block12__panorama_local16,global,knn,54,9,0.18928791449,106
pooled,dinov3__block12__panorama_local16,global,ridge,54,9,0.157289414185,106
pooled,dinov3__block12__panorama_local16,main,knn,54,9,0.122950173909,106
pooled,dinov3__block12__panorama_local16,main,ridge,54,9,0.114010393414,106
pooled,dinov3__block12__panorama_mean,coarse,knn,54,9,0.138118434386,106
pooled,dinov3__block12__panorama_mean,coarse,ridge,54,9,0.14758923118,106
pooled,dinov3__block12__panorama_mean,global,knn,54,9,0.157964086241,106
pooled,dinov3__block12__panorama_mean,global,ridge,54,9,0.161707469207,106
pooled,dinov3__block12__panorama_mean,main,knn,54,9,0.120749507275,106
pooled,dinov3__block12__panorama_mean,main,ridge,54,9,0.135559713857,106
pooled,dinov3__block3__faces_concat,coarse,knn,54,9,0.147052477776,106
pooled,dinov3__block3__faces_concat,coarse,ridge,54,9,0.143649637143,106
pooled,dinov3__block3__faces_concat,global,knn,54,9,0.20466176026,106
pooled,dinov3__block3__faces_concat,global,ridge,54,9,0.208700368515,106
pooled,dinov3__block3__faces_concat,main,knn,54,9,0.134781627587,106
pooled,dinov3__block3__faces_concat,main,ridge,54,9,0.128624370784,106
pooled,dinov3__block3__faces_global,coarse,knn,54,9,0.121768447255,106
pooled,dinov3__block3__faces_global,coarse,ridge,54,9,0.139727895085,106
pooled,dinov3__block3__faces_global,global,knn,54,9,0.205146580524,106
pooled,dinov3__block3__faces_global,global,ridge,54,9,0.163182759916,106
pooled,dinov3__block3__faces_global,main,knn,54,9,0.104795179691,106
pooled,dinov3__block3__faces_global,main,ridge,54,9,0.117234958949,106
pooled,dinov3__block3__faces_local16,coarse,knn,54,9,0.134401448023,106
pooled,dinov3__block3__faces_local16,coarse,ridge,54,9,0.126711518742,106
pooled,dinov3__block3__faces_local16,global,knn,54,9,0.159647882026,106
pooled,dinov3__block3__faces_local16,global,ridge,54,9,0.183141882424,106
pooled,dinov3__block3__faces_local16,main,knn,54,9,0.116461535382,106
pooled,dinov3__block3__faces_local16,main,ridge,54,9,0.114370079135,106
pooled,dinov3__block3__faces_local96,coarse,knn,54,9,0.13332900042,106
pooled,dinov3__block3__faces_local96,coarse,ridge,54,9,0.120686897605,106
pooled,dinov3__block3__faces_local96,global,knn,54,9,0.196993000416,106
pooled,dinov3__block3__faces_local96,global,ridge,54,9,0.169406564564,106
pooled,dinov3__block3__faces_local96,main,knn,54,9,0.131127000809,106
pooled,dinov3__block3__faces_local96,main,ridge,54,9,0.105642495308,106
pooled,dinov3__block3__panorama_global,coarse,knn,54,9,0.14056288583,106
pooled,dinov3__block3__panorama_global,coarse,ridge,54,9,0.125537426571,106
pooled,dinov3__block3__panorama_global,global,knn,54,9,0.191975745823,106
pooled,dinov3__block3__panorama_global,global,ridge,54,9,0.160031683873,106
pooled,dinov3__block3__panorama_global,main,knn,54,9,0.130974472217,106
pooled,dinov3__block3__panorama_global,main,ridge,54,9,0.111493882682,106
pooled,dinov3__block3__panorama_local16,coarse,knn,54,9,0.127636294682,106
pooled,dinov3__block3__panorama_local16,coarse,ridge,54,9,0.114843296024,106
pooled,dinov3__block3__panorama_local16,global,knn,54,9,0.152476179486,106
pooled,dinov3__block3__panorama_local16,global,ridge,54,9,0.15869618421,106
pooled,dinov3__block3__panorama_local16,main,knn,54,9,0.11966890064,106
pooled,dinov3__block3__panorama_local16,main,ridge,54,9,0.106092662056,106
pooled,dinov3__block3__panorama_mean,coarse,knn,54,9,0.132833568626,106
pooled,dinov3__block3__panorama_mean,coarse,ridge,54,9,0.116730132584,106
pooled,dinov3__block3__panorama_mean,global,knn,54,9,0.18860107766,106
pooled,dinov3__block3__panorama_mean,global,ridge,54,9,0.167382488705,106
pooled,dinov3__block3__panorama_mean,main,knn,54,9,0.118109244444,106
pooled,dinov3__block3__panorama_mean,main,ridge,54,9,0.105296922818,106
pooled,dinov3__block6__faces_concat,coarse,knn,54,9,0.148038678484,106
pooled,dinov3__block6__faces_concat,coarse,ridge,54,9,0.127899380923,106
pooled,dinov3__block6__faces_concat,global,knn,54,9,0.239767987517,106
pooled,dinov3__block6__faces_concat,global,ridge,54,9,0.192205427512,106
pooled,dinov3__block6__faces_concat,main,knn,54,9,0.136531051409,106
pooled,dinov3__block6__faces_concat,main,ridge,54,9,0.119401164491,106
pooled,dinov3__block6__faces_global,coarse,knn,54,9,0.119869677749,106
pooled,dinov3__block6__faces_global,coarse,ridge,54,9,0.128274302507,106
pooled,dinov3__block6__faces_global,global,knn,54,9,0.191784383251,106
pooled,dinov3__block6__faces_global,global,ridge,54,9,0.165596717316,106
pooled,dinov3__block6__faces_global,main,knn,54,9,0.118416820228,106
pooled,dinov3__block6__faces_global,main,ridge,54,9,0.117258911123,106
pooled,dinov3__block6__faces_local16,coarse,knn,54,9,0.131925811733,106
pooled,dinov3__block6__faces_local16,coarse,ridge,54,9,0.12916251623,106
pooled,dinov3__block6__faces_local16,global,knn,54,9,0.202709844601,106
pooled,dinov3__block6__faces_local16,global,ridge,54,9,0.172257284191,106
pooled,dinov3__block6__faces_local16,main,knn,54,9,0.124396922667,106
pooled,dinov3__block6__faces_local16,main,ridge,54,9,0.117833246035,106
pooled,dinov3__block6__faces_local96,coarse,knn,54,9,0.150523290925,106
pooled,dinov3__block6__faces_local96,coarse,ridge,54,9,0.116989094728,106
pooled,dinov3__block6__faces_local96,global,knn,54,9,0.204587656678,106
pooled,dinov3__block6__faces_local96,global,ridge,54,9,0.173710087099,106
pooled,dinov3__block6__faces_local96,main,knn,54,9,0.135569272755,106
pooled,dinov3__block6__faces_local96,main,ridge,54,9,0.109746071275,106
pooled,dinov3__block6__panorama_global,coarse,knn,54,9,0.140182528713,106
pooled,dinov3__block6__panorama_global,coarse,ridge,54,9,0.140489501492,106
pooled,dinov3__block6__panorama_global,global,knn,54,9,0.206616439956,106
pooled,dinov3__block6__panorama_global,global,ridge,54,9,0.176980128023,106
pooled,dinov3__block6__panorama_global,main,knn,54,9,0.140897002658,106
pooled,dinov3__block6__panorama_global,main,ridge,54,9,0.121815974686,106
pooled,dinov3__block6__panorama_local16,coarse,knn,54,9,0.124679797337,106
pooled,dinov3__block6__panorama_local16,coarse,ridge,54,9,0.127505491893,106
pooled,dinov3__block6__panorama_local16,global,knn,54,9,0.162588663886,106
pooled,dinov3__block6__panorama_local16,global,ridge,54,9,0.175910622875,106
pooled,dinov3__block6__panorama_local16,main,knn,54,9,0.10558300005,106
pooled,dinov3__block6__panorama_local16,main,ridge,54,9,0.112298392439,106
pooled,dinov3__block6__panorama_mean,coarse,knn,54,9,0.131779912593,106
pooled,dinov3__block6__panorama_mean,coarse,ridge,54,9,0.151194385346,106
pooled,dinov3__block6__panorama_mean,global,knn,54,9,0.219467829932,106
pooled,dinov3__block6__panorama_mean,global,ridge,54,9,0.20214919379,106
pooled,dinov3__block6__panorama_mean,main,knn,54,9,0.129419639913,106
pooled,dinov3__block6__panorama_mean,main,ridge,54,9,0.121672552566,106
pooled,dinov3__block9__faces_concat,coarse,knn,54,9,0.153376959844,106
pooled,dinov3__block9__faces_concat,coarse,ridge,54,9,0.140402812757,106
pooled,dinov3__block9__faces_concat,global,knn,54,9,0.226875176691,106
pooled,dinov3__block9__faces_concat,global,ridge,54,9,0.16198689596,106
pooled,dinov3__block9__faces_concat,main,knn,54,9,0.143046170913,106
pooled,dinov3__block9__faces_concat,main,ridge,54,9,0.128599491569,106
pooled,dinov3__block9__faces_global,coarse,knn,54,9,0.125136478557,106
pooled,dinov3__block9__faces_global,coarse,ridge,54,9,0.115813005478,106
pooled,dinov3__block9__faces_global,global,knn,54,9,0.198635640328,106
pooled,dinov3__block9__faces_global,global,ridge,54,9,0.132759705006,106
pooled,dinov3__block9__faces_global,main,knn,54,9,0.12300473556,106
pooled,dinov3__block9__faces_global,main,ridge,54,9,0.105293444562,106
pooled,dinov3__block9__faces_local16,coarse,knn,54,9,0.147174050255,106
pooled,dinov3__block9__faces_local16,coarse,ridge,54,9,0.125352030253,106
pooled,dinov3__block9__faces_local16,global,knn,54,9,0.170131620195,106
pooled,dinov3__block9__faces_local16,global,ridge,54,9,0.15067685971,106
pooled,dinov3__block9__faces_local16,main,knn,54,9,0.129727380668,106
pooled,dinov3__block9__faces_local16,main,ridge,54,9,0.116297435722,106
pooled,dinov3__block9__faces_local96,coarse,knn,54,9,0.129517139011,106
pooled,dinov3__block9__faces_local96,coarse,ridge,54,9,0.128468320849,106
pooled,dinov3__block9__faces_local96,global,knn,54,9,0.168803211749,106
pooled,dinov3__block9__faces_local96,global,ridge,54,9,0.152876791897,106
pooled,dinov3__block9__faces_local96,main,knn,54,9,0.124399178482,106
pooled,dinov3__block9__faces_local96,main,ridge,54,9,0.112215490802,106
pooled,dinov3__block9__panorama_global,coarse,knn,54,9,0.133517493837,106
pooled,dinov3__block9__panorama_global,coarse,ridge,54,9,0.137389192301,106
pooled,dinov3__block9__panorama_global,global,knn,54,9,0.168347947497,106
pooled,dinov3__block9__panorama_global,global,ridge,54,9,0.149310113694,106
pooled,dinov3__block9__panorama_global,main,knn,54,9,0.126234719035,106
pooled,dinov3__block9__panorama_global,main,ridge,54,9,0.118408823723,106
pooled,dinov3__block9__panorama_local16,coarse,knn,54,9,0.122233322936,106
pooled,dinov3__block9__panorama_local16,coarse,ridge,54,9,0.132440209202,106
pooled,dinov3__block9__panorama_local16,global,knn,54,9,0.173781557848,106
pooled,dinov3__block9__panorama_local16,global,ridge,54,9,0.173103124868,106
pooled,dinov3__block9__panorama_local16,main,knn,54,9,0.110651477693,106
pooled,dinov3__block9__panorama_local16,main,ridge,54,9,0.116977790037,106
pooled,dinov3__block9__panorama_mean,coarse,knn,54,9,0.12929836785,106
pooled,dinov3__block9__panorama_mean,coarse,ridge,54,9,0.13146136182,106
pooled,dinov3__block9__panorama_mean,global,knn,54,9,0.177728450281,106
pooled,dinov3__block9__panorama_mean,global,ridge,54,9,0.159714463647,106
pooled,dinov3__block9__panorama_mean,main,knn,54,9,0.123343575533,106
pooled,dinov3__block9__panorama_mean,main,ridge,54,9,0.117162382316,106
pooled,dinov3__cls__faces_concat,coarse,knn,54,9,0.136643633538,106
pooled,dinov3__cls__faces_concat,coarse,ridge,54,9,0.133296130986,106
pooled,dinov3__cls__faces_concat,global,knn,54,9,0.14107633597,106
pooled,dinov3__cls__faces_concat,global,ridge,54,9,0.155146919029,106
pooled,dinov3__cls__faces_concat,main,knn,54,9,0.126800549039,106
pooled,dinov3__cls__faces_concat,main,ridge,54,9,0.114744644069,106
pooled,dinov3__cls__faces_global,coarse,knn,54,9,0.111421244392,106
pooled,dinov3__cls__faces_global,coarse,ridge,54,9,0.117247311154,106
pooled,dinov3__cls__faces_global,global,knn,54,9,0.131266644867,106
pooled,dinov3__cls__faces_global,global,ridge,54,9,0.137032168378,106
pooled,dinov3__cls__faces_global,main,knn,54,9,0.0959763369855,106
pooled,dinov3__cls__faces_global,main,ridge,54,9,0.105934618907,106
pooled,dinov3__cls__panorama,coarse,knn,54,9,0.153802661344,106
pooled,dinov3__cls__panorama,coarse,ridge,54,9,0.126989728436,106
pooled,dinov3__cls__panorama,global,knn,54,9,0.153547369377,106
pooled,dinov3__cls__panorama,global,ridge,54,9,0.11550677046,106
pooled,dinov3__cls__panorama,main,knn,54,9,0.142994910194,106
pooled,dinov3__cls__panorama,main,ridge,54,9,0.104098222429,106
pooled,feedback__all,coarse,knn,54,9,0.0968584163972,106
pooled,feedback__all,coarse,ridge,54,9,0.105680667916,106
pooled,feedback__all,global,knn,54,9,0.130203823312,106
pooled,feedback__all,global,ridge,54,9,0.126131893594,106
pooled,feedback__all,main,knn,54,9,0.0888752304509,106
pooled,feedback__all,main,ridge,54,9,0.088243458479,106
pooled,feedback__between_models,coarse,knn,54,9,0.125787092749,106
pooled,feedback__between_models,coarse,ridge,54,9,0.115957046882,106
pooled,feedback__between_models,global,knn,54,9,0.173216773493,106
pooled,feedback__between_models,global,ridge,54,9,0.140159041997,106
pooled,feedback__between_models,main,knn,54,9,0.107974211775,106
pooled,feedback__between_models,main,ridge,54,9,0.101068404112,106
