family,baseline,algorithm,building,stratum,feature,grid,inner_loss,n_inner,dino_weight
bilayout,global,knn,Z6MFQCViBuw,厨房与用餐,bilayout__fc__global,6,0.246666118503,9,
bilayout,global,knn,e9zR4mvMWw7,卧室,bilayout__fg_enclosed__global,4,0.0925922244787,27,
bilayout,global,knn,e9zR4mvMWw7,复合／待定,bilayout__fc__global,4,inf,0,
bilayout,global,knn,jtcxE69GiFV,卧室,bilayout__fg_enclosed__global,4,0.0892853587866,28,
bilayout,global,knn,pa4otMbVnkk,起居与休闲,bilayout__fc__global,4,inf,0,
bilayout,global,knn,rPc6DW4iMge,卧室,bilayout__fg_enclosed__global,4,0.0833330005407,30,
bilayout,global,knn,uNb9QFRL6hY,储藏与家务辅助,bilayout__fc__global,4,inf,0,
bilayout,global,knn,uNb9QFRL6hY,卧室,bilayout__fg_enclosed__global,4,0.104166246951,24,
bilayout,global,knn,uNb9QFRL6hY,卫浴,bilayout__fc__regions,5,0.181817755103,11,
bilayout,global,knn,uNb9QFRL6hY,工作与学习,bilayout__fc__global,4,inf,0,
bilayout,global,knn,uNb9QFRL6hY,起居与休闲,bilayout__fc__global,4,inf,0,
bilayout,global,knn,wc2JMjhGNzB,卧室,bilayout__fg_enclosed__global,11,0.071428284049,28,
bilayout,global,knn,wc2JMjhGNzB,卫浴,bilayout__fc__global,4,0.0882349386811,17,
bilayout,global,knn,wc2JMjhGNzB,复合／待定,bilayout__fc__global,4,inf,0,
bilayout,global,knn,wc2JMjhGNzB,无法判断,bilayout__fc__global,4,inf,0,
bilayout,global,knn,yqstnuAEVhm,厨房与用餐,bilayout__fc__global,4,0.16666598618,9,
bilayout,coarse,ridge,2t7WUuJeko7,厨房与用餐,bilayout__fc__global,0,2.56683563293e-12,8,
bilayout,coarse,ridge,7y3sRwLe3Va,开放复合空间,bilayout__fc__global,1,inf,0,
bilayout,coarse,ridge,B6ByNegPMKs,通行与连接,bilayout__fc__global,1,inf,0,
bilayout,coarse,ridge,S9hNv5qa7GM,卧室,bilayout__fg_enclosed__global,1,0.0545580498874,28,
bilayout,coarse,ridge,VFuaQ6m2Qom,卫浴,bilayout__fg_extended__regions,3,0.0549005717039,16,
bilayout,coarse,ridge,Z6MFQCViBuw,厨房与用餐,bilayout__fc__global,3,0.229992628098,9,
bilayout,coarse,ridge,e9zR4mvMWw7,卧室,bilayout__fg_enclosed__global,3,0.0544826537371,27,
bilayout,coarse,ridge,e9zR4mvMWw7,复合／待定,bilayout__fc__global,1,inf,0,
bilayout,coarse,ridge,jtcxE69GiFV,卧室,bilayout__fg_extended__global,0,0.0957017987967,28,
bilayout,coarse,ridge,pa4otMbVnkk,起居与休闲,bilayout__fc__global,1,inf,0,
bilayout,coarse,ridge,rPc6DW4iMge,卧室,bilayout__fg_enclosed__global,0,0.0450923889875,30,
bilayout,coarse,ridge,uNb9QFRL6hY,储藏与家务辅助,bilayout__fc__global,1,inf,0,
bilayout,coarse,ridge,uNb9QFRL6hY,卧室,bilayout__fg_extended__regions,10,0.109833844006,24,
bilayout,coarse,ridge,uNb9QFRL6hY,卫浴,bilayout__fc__regions,3,0.188080012798,11,
bilayout,coarse,ridge,uNb9QFRL6hY,工作与学习,bilayout__fc__global,1,inf,0,
bilayout,coarse,ridge,uNb9QFRL6hY,起居与休闲,bilayout__fc__global,1,inf,0,
bilayout,coarse,ridge,wc2JMjhGNzB,卧室,bilayout__fg_enclosed__global,0,0.0502811297774,28,
bilayout,coarse,ridge,wc2JMjhGNzB,卫浴,bilayout__fc__global,3,0.0926652923226,17,
bilayout,coarse,ridge,wc2JMjhGNzB,复合／待定,bilayout__fc__global,1,inf,0,
bilayout,coarse,ridge,wc2JMjhGNzB,无法判断,bilayout__fc__global,1,inf,0,
bilayout,coarse,ridge,yqstnuAEVhm,厨房与用餐,bilayout__fc__global,0,0.16666598618,9,
bilayout,coarse,knn,2t7WUuJeko7,厨房与用餐,bilayout__fc__global,4,2.56683563293e-12,8,
bilayout,coarse,knn,7y3sRwLe3Va,开放复合空间,bilayout__fc__global,4,inf,0,
bilayout,coarse,knn,B6ByNegPMKs,通行与连接,bilayout__fc__global,4,inf,0,
bilayout,coarse,knn,S9hNv5qa7GM,卧室,bilayout__fg_enclosed__global,4,0.0892853587866,28,
bilayout,coarse,knn,VFuaQ6m2Qom,卫浴,bilayout__fg_enclosed__global,4,0.0937497466803,16,
bilayout,coarse,knn,Z6MFQCViBuw,厨房与用餐,bilayout__fc__global,6,0.246666118503,9,
bilayout,coarse,knn,e9zR4mvMWw7,卧室,bilayout__fg_enclosed__global,4,0.0925922244787,27,
bilayout,coarse,knn,e9zR4mvMWw7,复合／待定,bilayout__fc__global,4,inf,0,
bilayout,coarse,knn,jtcxE69GiFV,卧室,bilayout__fg_enclosed__global,4,0.0892853587866,28,
bilayout,coarse,knn,pa4otMbVnkk,起居与休闲,bilayout__fc__global,4,inf,0,
bilayout,coarse,knn,rPc6DW4iMge,卧室,bilayout__fg_enclosed__global,4,0.0833330005407,30,
bilayout,coarse,knn,uNb9QFRL6hY,储藏与家务辅助,bilayout__fc__global,4,inf,0,
