condition,target,design,method,baseline,n,groups,delta,lo,hi,group_macro
manual,cdf_early7,same_room,dinov3__block3__faces_local96,source_frequency,4,2,0,0,0,0
manual,cdf_early7,same_room,dinov3__block3__panorama_global,source_frequency,4,2,0,0,0,0
manual,cdf_early7,same_room,dinov3__block3__panorama_local16,source_frequency,4,2,0,0,0,0
manual,cdf_early7,same_room,dinov3__block3__panorama_mean,source_frequency,4,2,0,0,0,0
manual,cdf_early7,same_room,dinov3__block6__faces_concat,source_frequency,4,2,0,0,0,0
manual,cdf_early7,same_room,dinov3__block6__faces_global,source_frequency,4,2,0,0,0,0
manual,cdf_early7,same_room,dinov3__block6__faces_local16,source_frequency,4,2,0,0,0,0
manual,cdf_early7,same_room,dinov3__block6__faces_local96,source_frequency,4,2,0,0,0,0
manual,cdf_early7,same_room,dinov3__block6__panorama_global,source_frequency,4,2,0,0,0,0
manual,cdf_early7,same_room,dinov3__block6__panorama_local16,source_frequency,4,2,0,0,0,0
manual,cdf_early7,same_room,dinov3__block6__panorama_mean,source_frequency,4,2,0,0,0,0
manual,cdf_early7,same_room,dinov3__block9__faces_concat,source_frequency,4,2,0,0,0,0
manual,cdf_early7,same_room,dinov3__block9__faces_global,source_frequency,4,2,0,0,0,0
manual,cdf_early7,same_room,dinov3__block9__faces_local16,source_frequency,4,2,0,0,0,0
manual,cdf_early7,same_room,dinov3__block9__faces_local96,source_frequency,4,2,0,0,0,0
manual,cdf_early7,same_room,dinov3__block9__panorama_global,source_frequency,4,2,0,0,0,0
manual,cdf_early7,same_room,dinov3__block9__panorama_local16,source_frequency,4,2,0,0,0,0
manual,cdf_early7,same_room,dinov3__block9__panorama_mean,source_frequency,4,2,0,0,0,0
manual,cdf_early7,same_room,dinov3__cls__faces,source_frequency,4,2,0,0,0,0
manual,cdf_early7,same_room,dinov3__cls__panorama,source_frequency,4,2,0,0,0,0
manual,cdf_early7,same_room,feedback_counts_nearest,source_frequency,4,2,0,0,0,0
manual,cdf_early7,same_room,source_frequency_smooth,source_frequency,4,2,0,0,0,0
manual,cdf_early7,same_room,source_random_expectation,source_frequency,4,2,0,0,0,0
manual,cdf_early7,same_scene_cross_building,dinov3__block11__faces_concat,source_frequency,39,14,0.0737179487179,-0.0582772988506,0.19079296875,0.00586734693878
manual,cdf_early7,same_scene_cross_building,dinov3__block11__faces_global,source_frequency,39,14,0.111666666667,0.0081234962406,0.213334302326,0.100714285714
manual,cdf_early7,same_scene_cross_building,dinov3__block11__faces_local16,source_frequency,39,14,0.119102564103,-0.00308143194335,0.214122464503,0.0593928571429
manual,cdf_early7,same_scene_cross_building,dinov3__block11__faces_local96,source_frequency,39,14,0.0603846153846,-0.116730659299,0.190128378378,-0.0195969387755
manual,cdf_early7,same_scene_cross_building,dinov3__block11__panorama_global,source_frequency,39,14,0.0432051282051,-0.0415884948652,0.159556818182,0.0756632653061
manual,cdf_early7,same_scene_cross_building,dinov3__block11__panorama_local16,source_frequency,39,14,-0.0221794871795,-0.143871754524,0.10100234375,-0.0664489795918
manual,cdf_early7,same_scene_cross_building,dinov3__block11__panorama_mean,source_frequency,39,14,0.0288461538462,-0.0516704545455,0.138448607427,0.0556632653061
manual,cdf_early7,same_scene_cross_building,dinov3__block12__faces_concat,source_frequency,39,14,0.0924358974359,-0.0188382092199,0.198554677419,0.0937244897959
manual,cdf_early7,same_scene_cross_building,dinov3__block12__faces_global,source_frequency,39,14,0.0896153846154,-0.025166478979,0.187645833333,0.0462244897959
manual,cdf_early7,same_scene_cross_building,dinov3__block12__faces_local16,source_frequency,39,14,0.129358974359,-0.00108183183183,0.234681756757,0.0776785714286
manual,cdf_early7,same_scene_cross_building,dinov3__block12__faces_local96,source_frequency,39,14,0.020641025641,-0.149518357385,0.15107181677,-0.0378826530612
manual,cdf_early7,same_scene_cross_building,dinov3__block12__panorama_global,source_frequency,39,14,0.0732051282051,-0.00978765123071,0.175389285714,0.0783418367347
manual,cdf_early7,same_scene_cross_building,dinov3__block12__panorama_local16,source_frequency,39,14,0.0198717948718,-0.103724574373,0.145229166667,-0.0452653061224
manual,cdf_early7,same_scene_cross_building,dinov3__block12__panorama_mean,source_frequency,39,14,0.0732051282051,-0.00978765123071,0.175389285714,0.0783418367347
manual,cdf_early7,same_scene_cross_building,dinov3__block3__faces_concat,source_frequency,39,14,0.040641025641,-0.070818766347,0.130772810734,0.0094387755102
manual,cdf_early7,same_scene_cross_building,dinov3__block3__faces_global,source_frequency,39,14,0.0273076923077,-0.1125,0.141316785714,-0.0509285714286
manual,cdf_early7,same_scene_cross_building,dinov3__block3__faces_local16,source_frequency,39,14,0.0408974358974,-0.0892137096774,0.153144379845,-0.00607142857143
manual,cdf_early7,same_scene_cross_building,dinov3__block3__faces_local96,source_frequency,39,14,0.0344871794872,-0.124069474394,0.149118333333,-0.0167040816327
manual,cdf_early7,same_scene_cross_building,dinov3__block3__panorama_global,source_frequency,39,14,0.0801282051282,-0.0265427631579,0.181368348818,0.0544387755102
manual,cdf_early7,same_scene_cross_building,dinov3__block3__panorama_local16,source_frequency,39,14,0.0160256410256,-0.119212857143,0.107428152493,-0.0488469387755
manual,cdf_early7,same_scene_cross_building,dinov3__block3__panorama_mean,source_frequency,39,14,0.0432051282051,-0.0673002096925,0.144466394026,0.0422959183673
manual,cdf_early7,same_scene_cross_building,dinov3__block6__faces_concat,source_frequency,39,14,-0.0270512820513,-0.144280487805,0.0832919142615,-0.0296020408163
manual,cdf_early7,same_scene_cross_building,dinov3__block6__faces_global,source_frequency,39,14,0.0439743589744,-0.0759700969828,0.141866372843,-0.0118469387755
manual,cdf_early7,same_scene_cross_building,dinov3__block6__faces_local16,source_frequency,39,14,-0.0157692307692,-0.152508012821,0.113874188312,-0.0812857142857
manual,cdf_early7,same_scene_cross_building,dinov3__block6__faces_local96,source_frequency,39,14,0.0470512820513,-0.115326704545,0.161573809524,-0.0924183673469
manual,cdf_early7,same_scene_cross_building,dinov3__block6__panorama_global,source_frequency,39,14,0.0119230769231,-0.09158203125,0.0975920645447,-0.00913265306122
manual,cdf_early7,same_scene_cross_building,dinov3__block6__panorama_local16,source_frequency,39,14,-0.00833333333333,-0.129417987805,0.0868884698276,-0.0624591836735
manual,cdf_early7,same_scene_cross_building,dinov3__block6__panorama_mean,source_frequency,39,14,-0.0737179487179,-0.17631622807,0.0121291666667,-0.109336734694
manual,cdf_early7,same_scene_cross_building,dinov3__block9__faces_concat,source_frequency,39,14,-0.00807692307692,-0.136332841031,0.107731353073,-0.0212755102041
manual,cdf_early7,same_scene_cross_building,dinov3__block9__faces_global,source_frequency,39,14,0.0380769230769,-0.106707903377,0.150258984868,-0.0455714285714
manual,cdf_early7,same_scene_cross_building,dinov3__block9__faces_local16,source_frequency,39,14,0.0757692307692,-0.050879076087,0.168800181159,-0.0128928571429
manual,cdf_early7,same_scene_cross_building,dinov3__block9__faces_local96,source_frequency,39,14,0.00423076923077,-0.160863486842,0.124378528226,-0.0987448979592
manual,cdf_early7,same_scene_cross_building,dinov3__block9__panorama_global,source_frequency,39,14,-0.00807692307692,-0.106031902277,0.116453667954,0.027806122449
manual,cdf_early7,same_scene_cross_building,dinov3__block9__panorama_local16,source_frequency,39,14,-0.00833333333333,-0.129254861111,0.0844955357143,-0.0628163265306
manual,cdf_early7,same_scene_cross_building,dinov3__block9__panorama_mean,source_frequency,39,14,0.0688461538462,-0.071759375,0.191507954545,0.0387244897959
manual,cdf_early7,same_scene_cross_building,dinov3__cls__faces,source_frequency,39,14,0.0516666666667,-0.0468773674242,0.145024456522,-0.00234693877551
manual,cdf_early7,same_scene_cross_building,dinov3__cls__panorama,source_frequency,39,14,0.0152564102564,-0.0886426767677,0.113607142857,-0.00740816326531
manual,cdf_early7,same_scene_cross_building,feedback_counts_nearest,source_frequency,39,14,0.0244871794872,-0.0396388888889,0.0928623271889,0.0326785714286
manual,cdf_early7,same_scene_cross_building,source_frequency_smooth,source_frequency,39,14,0,0,0,0
manual,cdf_early7,same_scene_cross_building,source_random_expectation,source_frequency,39,14,0.0315496540497,-0.0328080890042,0.0978843947808,0.0162532596372
manual,cdf_observed_by19,same_building_diagnostic,dinov3__block11__faces_concat,source_frequency,37,10,0.0878378378378,0.0161142857143,0.140222222222,0.0577428571429
manual,cdf_observed_by19,same_building_diagnostic,dinov3__block11__faces_global,source_frequency,37,10,0.0508108108108,-0.0310526315789,0.113300595238,0.0301142857143
manual,cdf_observed_by19,same_building_diagnostic,dinov3__block11__faces_local16,source_frequency,37,10,-0.0127027027027,-0.0920691489362,0.078275862069,-0.003
