condition,k,method,baseline,metric,images,buildings,delta,ci_low,ci_high,building_macro_delta
semi,6,joint,prefix,brier,18,10,0.051305540658611086,0.0030667970921967763,0.10288335844249591,0.04000518515021554
semi,6,joint,image_prefix,brier,18,10,0.0418159606327683,-0.007410620586539863,0.09434402078661441,0.030868895065379504
semi,6,interaction,training_frequency,brier,18,10,0.04307159240117631,0.0057283770536588,0.07680352830786225,0.03910981894688624
semi,6,interaction,prefix,brier,18,10,0.050467697782706454,0.012568058405891239,0.08764889175232136,0.03761406796746306
semi,6,interaction,image_prefix,brier,18,10,0.04097811775686368,-0.00433005424403337,0.07831032430188252,0.02847777788262703
semi,8,prefix,training_frequency,brier,18,10,-0.009172116886985032,-0.020632631586475873,0.00946624037179252,-0.0007490920420061074
semi,8,prefix,image_prefix,brier,18,10,-0.011990989815199601,-0.03606731279737689,0.00138707870672955,-0.016191678017942173
semi,8,image_prefix,training_frequency,brier,18,10,0.0028188729282145647,-0.01843238734622824,0.04121873643879824,0.015442585975936066
semi,8,image_prefix,prefix,brier,18,10,0.011990989815199601,-0.0011657141060339824,0.03553232035273773,0.016191678017942173
semi,8,person_prefix,training_frequency,brier,18,10,-0.010708402603025862,-0.025988153475454568,0.0040843507273036475,-0.010655093423248411
semi,8,person_prefix,prefix,brier,18,10,-0.0015362857160408302,-0.023067223251378124,0.01071728796731297,-0.009906001381242303
semi,8,person_prefix,image_prefix,brier,18,10,-0.013527275531240427,-0.05570017929649026,0.009615894925500633,-0.026097679399184476
semi,8,joint,training_frequency,brier,18,10,0.03356350946470804,-0.005824796524469641,0.07122370949040505,0.028565644718072027
semi,8,joint,prefix,brier,18,10,0.042735626351693076,-0.0007429088340256007,0.08579719636713601,0.029314736760078137
semi,8,joint,image_prefix,brier,18,10,0.030744636536493477,-0.01656990806013638,0.0799149068451499,0.013123058742135962
semi,8,interaction,training_frequency,brier,18,10,0.032555566100775334,-0.00048116082569776755,0.05896737174180663,0.027154793030896306
semi,8,interaction,prefix,brier,18,10,0.04172768298776037,0.0052180373842453,0.07304047110546648,0.027903885072902413
semi,8,interaction,image_prefix,brier,18,10,0.029736693172560762,-0.01615628073348917,0.06532360745356947,0.011712207054960243
