condition,k,method,image_id,building,brier,uncovered_brier,p_new_count,p_new_same_count_geometry
manual,2,closed_seed_assumes_no_novelty,q9vSo1VnCiC_a424533651804a38a55b1252daccc81e,q9vSo1VnCiC,0.6666666666666666,0.3333333333333333,0.0,0.0
manual,2,closed_seed_assumes_no_novelty,q9vSo1VnCiC_c421f07780004647a7198c4ac5371e8a,q9vSo1VnCiC,0.045454545454545456,0.022727272727272728,0.0,0.0
manual,2,closed_seed_assumes_no_novelty,q9vSo1VnCiC_c4b0b6a41c2a4db3927f5fa9cafb6345,q9vSo1VnCiC,0.25,0.125,0.0,0.0
manual,2,closed_seed_assumes_no_novelty,q9vSo1VnCiC_dc320b1236f741a98303db9f89bc68a2,q9vSo1VnCiC,0.0,0.0,0.0,0.0
manual,2,closed_seed_assumes_no_novelty,q9vSo1VnCiC_dc873df7717c43888a1cff13713fe146,q9vSo1VnCiC,2.0,1.0,0.0,0.0
manual,2,closed_seed_assumes_no_novelty,q9vSo1VnCiC_e74e843601574864a14517f990c748a0,q9vSo1VnCiC,0.18181818181818182,0.09090909090909091,0.0,0.0
manual,2,closed_seed_assumes_no_novelty,q9vSo1VnCiC_f7452776f0604b508bb2b0263238deb0,q9vSo1VnCiC,0.3333333333333333,0.16666666666666666,0.0,0.0
manual,2,closed_seed_assumes_no_novelty,rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3,rPc6DW4iMge,1.0952380952380953,0.5476190476190477,0.0,0.0
manual,2,closed_seed_assumes_no_novelty,rPc6DW4iMge_0dfe61800cc540db8e25c1738bc4b8ff,rPc6DW4iMge,0.6666666666666666,0.3333333333333333,0.0,0.0
manual,2,closed_seed_assumes_no_novelty,rPc6DW4iMge_186a32a1b7e34cb797731bfa78365db5,rPc6DW4iMge,1.0,0.5,0.0,0.0
manual,2,closed_seed_assumes_no_novelty,rPc6DW4iMge_1f14902595544e389c9c910c444e79e7,rPc6DW4iMge,0.36363636363636365,0.18181818181818182,0.0,0.0
manual,2,closed_seed_assumes_no_novelty,rPc6DW4iMge_4350d36797324601adba7351d09602d2,rPc6DW4iMge,0.0,0.0,0.0,0.0
manual,2,closed_seed_assumes_no_novelty,rPc6DW4iMge_9d3eb9f5d38844bfb4e5fb2cd05fd3fd,rPc6DW4iMge,0.09523809523809523,0.047619047619047616,0.0,0.0
manual,2,closed_seed_assumes_no_novelty,rPc6DW4iMge_a72230c911234d18b08568b9d8b02dd2,rPc6DW4iMge,0.75,0.375,0.0,0.0
manual,2,closed_seed_assumes_no_novelty,rPc6DW4iMge_cc15fb105d86466faafdd633f89148de,rPc6DW4iMge,0.18181818181818182,0.09090909090909091,0.0,0.0
manual,2,closed_seed_assumes_no_novelty,rPc6DW4iMge_fbc169773c954580baea6d2798c0d486,rPc6DW4iMge,1.5,0.75,0.0,0.0
manual,2,closed_seed_assumes_no_novelty,uNb9QFRL6hY_07a43087f1e54e3f828851d8e457a283,uNb9QFRL6hY,0.18181818181818182,0.09090909090909091,0.0,0.0
manual,2,closed_seed_assumes_no_novelty,uNb9QFRL6hY_1096f195d3294cefa462add5ab0c342e,uNb9QFRL6hY,0.047619047619047616,0.023809523809523808,0.0,0.0
manual,2,closed_seed_assumes_no_novelty,uNb9QFRL6hY_3b9e548b46af4410b97e1d12781ec3c9,uNb9QFRL6hY,1.5909090909090908,0.7954545454545454,0.0,0.0
manual,2,closed_seed_assumes_no_novelty,uNb9QFRL6hY_5948424345f541b9a570b48f1cfcf622,uNb9QFRL6hY,1.5714285714285714,0.7857142857142857,0.0,0.0
manual,2,closed_seed_assumes_no_novelty,uNb9QFRL6hY_5b62816d9cf94f17ae166291822ea9ab,uNb9QFRL6hY,1.3333333333333333,0.6666666666666666,0.0,0.0
manual,2,closed_seed_assumes_no_novelty,uNb9QFRL6hY_6115ed700b5144cfa3443346381cb7cd,uNb9QFRL6hY,2.0,1.0,0.0,0.0
manual,2,closed_seed_assumes_no_novelty,uNb9QFRL6hY_6a500a9a43a340eb817c58bb084327fe,uNb9QFRL6hY,1.0,0.5,0.0,0.0
manual,2,closed_seed_assumes_no_novelty,uNb9QFRL6hY_6c4fa6dfddc1499db228854454bfc61d,uNb9QFRL6hY,0.0,0.0,0.0,0.0
manual,2,closed_seed_assumes_no_novelty,uNb9QFRL6hY_748279b5d6e740c4b2cba9fc78d6fc62,uNb9QFRL6hY,0.3333333333333333,0.16666666666666666,0.0,0.0
manual,2,closed_seed_assumes_no_novelty,uNb9QFRL6hY_85e7a14905bd44648061e3eb7f79cf13,uNb9QFRL6hY,0.6666666666666666,0.3333333333333333,0.0,0.0
manual,2,closed_seed_assumes_no_novelty,uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97,uNb9QFRL6hY,0.8095238095238095,0.40476190476190477,0.0,0.0
manual,2,closed_seed_assumes_no_novelty,uNb9QFRL6hY_978d7a8eb0794936bd8fd092306e1dc5,uNb9QFRL6hY,1.3333333333333333,0.6666666666666666,0.0,0.0
manual,2,closed_seed_assumes_no_novelty,uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8,uNb9QFRL6hY,1.5714285714285714,0.7857142857142857,0.0,0.0
