image_id,building,condition,kind,n,k,half_TV,half_within_geometry,half_future_coverage,late_new_geometry,late_support_promotions,full_within_geometry
pa4otMbVnkk_48321c1bb20244f1b43b2c41b4dc9657,pa4otMbVnkk,manual,not_supported_multimodal,3,2,0.223333333333,0.0676850255907,0,0.34,0.66,0.0676850255907
pa4otMbVnkk_5d1adb544bb14217ba5ded2eb82cd8e3,pa4otMbVnkk,manual,not_supported_multimodal,6,3,0.5,,0,1,0,
pa4otMbVnkk_63bde48e974d42e59a664bc3b5d9566a,pa4otMbVnkk,manual,not_supported_multimodal,3,2,0.233333333333,0.0429611475528,0,0.4,0.6,0.0429611475528
q9vSo1VnCiC_1cd414875b9b4311bc6a179d91e6270d,q9vSo1VnCiC,manual,not_supported_multimodal,5,3,0.160666666667,0.0478931821842,0.795,0.025,0,0.0504209503578
q9vSo1VnCiC_1cd414875b9b4311bc6a179d91e6270d,q9vSo1VnCiC,semi,not_supported_multimodal,4,2,0.5,,0,1,0,
q9vSo1VnCiC_2a8ef249ec0e4ad5bfe138a65f50964e,q9vSo1VnCiC,manual,not_supported_multimodal,24,12,0,0.0341202337226,1,0,0,0.0336899296955
q9vSo1VnCiC_3e5aacbc10904d4b88660a3cb91efcb9,q9vSo1VnCiC,manual,not_supported_multimodal,5,3,0.237333333333,0.0570331513659,0.3,0.38,0.16,0.0566005613784
q9vSo1VnCiC_3e7f67e8969f434b9a4aec0c68668b20,q9vSo1VnCiC,manual,not_supported_multimodal,3,2,0.333333333333,,0,1,0,
q9vSo1VnCiC_830eb252ae01401a8fe55f9538e627dd,q9vSo1VnCiC,manual,not_supported_multimodal,5,3,0,0.0479783822608,1,0,0,0.0366647143508
q9vSo1VnCiC_9ba6cd412cb04c5c9beb15ef9e6d22c5,q9vSo1VnCiC,manual,not_supported_multimodal,6,3,0,0.0430450214707,1,0,0,0.0410235926583
q9vSo1VnCiC_9ba6cd412cb04c5c9beb15ef9e6d22c5,q9vSo1VnCiC,semi,not_supported_multimodal,4,2,0.25,0.0591410634313,0.26,0.26,0.24,0.056516606274
q9vSo1VnCiC_9c9fb1fccf4e46a597a9510a1938c8b4,q9vSo1VnCiC,manual,mixed_point_and_geometry_multimodal,24,12,0.364583333333,0.0832913641751,0.1325,0.508333333333,0.25,0.0922206821194
q9vSo1VnCiC_a412536ff52747d3b078f66e764cf103,q9vSo1VnCiC,semi,mixed_point_and_geometry_multimodal,24,12,0.104166666667,0.0312432824327,0.909166666667,0.0241666666667,0.1375,0.0644747480192
q9vSo1VnCiC_a424533651804a38a55b1252daccc81e,q9vSo1VnCiC,manual,not_supported_multimodal,5,3,0.159333333333,0.0601915645047,0.805,0.195,0,0.0548308668382
q9vSo1VnCiC_a424533651804a38a55b1252daccc81e,q9vSo1VnCiC,semi,not_supported_multimodal,3,2,0,0.0103339910455,1,0,0,0.0178172259405
