H,L,U,condition,feature_name,interpretation,reference_source_version,stage,threshold,worker_descriptions
0,0,23,semi,d_mask_to_reference,counts_within_stratum_not_unique_people_across_rows,import_json/groudTruth_458_tasks_import_from_updated_gt_20260701.json|1b2a2d905f62d703a3e46a7a83e5dca6e90c6030988d6ca594d2eb69793b5cf6|geometry_gt,C1,0.8,23
0,0,23,semi,d_mask_to_reference,counts_within_stratum_not_unique_people_across_rows,import_json/groudTruth_458_tasks_import_from_updated_gt_20260701.json|1b2a2d905f62d703a3e46a7a83e5dca6e90c6030988d6ca594d2eb69793b5cf6|geometry_gt,C1,0.9,23
0,0,22,semi,reference_corner_cyclic_rmse,counts_within_stratum_not_unique_people_across_rows,import_json/groudTruth_458_tasks_import_from_updated_gt_20260701.json|1b2a2d905f62d703a3e46a7a83e5dca6e90c6030988d6ca594d2eb69793b5cf6|geometry_gt,C1,0.7,22
0,0,22,semi,reference_corner_cyclic_rmse,counts_within_stratum_not_unique_people_across_rows,import_json/groudTruth_458_tasks_import_from_updated_gt_20260701.json|1b2a2d905f62d703a3e46a7a83e5dca6e90c6030988d6ca594d2eb69793b5cf6|geometry_gt,C1,0.8,22
0,0,22,semi,reference_corner_cyclic_rmse,counts_within_stratum_not_unique_people_across_rows,import_json/groudTruth_458_tasks_import_from_updated_gt_20260701.json|1b2a2d905f62d703a3e46a7a83e5dca6e90c6030988d6ca594d2eb69793b5cf6|geometry_gt,C1,0.9,22
0,0,7,semi,reference_corresponding_signed_x_offset,counts_within_stratum_not_unique_people_across_rows,import_json/groudTruth_458_tasks_import_from_updated_gt_20260701.json|1b2a2d905f62d703a3e46a7a83e5dca6e90c6030988d6ca594d2eb69793b5cf6|geometry_gt,C1,0.7,7
0,0,7,semi,reference_corresponding_signed_x_offset,counts_within_stratum_not_unique_people_across_rows,import_json/groudTruth_458_tasks_import_from_updated_gt_20260701.json|1b2a2d905f62d703a3e46a7a83e5dca6e90c6030988d6ca594d2eb69793b5cf6|geometry_gt,C1,0.8,7
0,0,7,semi,reference_corresponding_signed_x_offset,counts_within_stratum_not_unique_people_across_rows,import_json/groudTruth_458_tasks_import_from_updated_gt_20260701.json|1b2a2d905f62d703a3e46a7a83e5dca6e90c6030988d6ca594d2eb69793b5cf6|geometry_gt,C1,0.9,7
0,0,23,semi,reference_signed_corner_pair_count_difference,counts_within_stratum_not_unique_people_across_rows,import_json/groudTruth_458_tasks_import_from_updated_gt_20260701.json|1b2a2d905f62d703a3e46a7a83e5dca6e90c6030988d6ca594d2eb69793b5cf6|geometry_gt,C1,0.7,23
0,0,23,semi,reference_signed_corner_pair_count_difference,counts_within_stratum_not_unique_people_across_rows,import_json/groudTruth_458_tasks_import_from_updated_gt_20260701.json|1b2a2d905f62d703a3e46a7a83e5dca6e90c6030988d6ca594d2eb69793b5cf6|geometry_gt,C1,0.8,23
0,0,23,semi,reference_signed_corner_pair_count_difference,counts_within_stratum_not_unique_people_across_rows,import_json/groudTruth_458_tasks_import_from_updated_gt_20260701.json|1b2a2d905f62d703a3e46a7a83e5dca6e90c6030988d6ca594d2eb69793b5cf6|geometry_gt,C1,0.9,23
0,0,1,manual,log_owner_valid_active_seconds,counts_within_stratum_not_unique_people_across_rows,active_logs/c2a_rp_block2_20260814|0.24-official|owner_valid_active_time,C2-A-RP,0.7,1
0,0,1,manual,log_owner_valid_active_seconds,counts_within_stratum_not_unique_people_across_rows,active_logs/c2a_rp_block2_20260814|0.24-official|owner_valid_active_time,C2-A-RP,0.8,1
0,0,1,manual,log_owner_valid_active_seconds,counts_within_stratum_not_unique_people_across_rows,active_logs/c2a_rp_block2_20260814|0.24-official|owner_valid_active_time,C2-A-RP,0.9,1
3,3,11,manual,log_owner_valid_active_seconds,counts_within_stratum_not_unique_people_across_rows,active_logs/c2a_rp_block2_20260814|c2plus_task_worker_active_time_20260802_v2|owner_valid_active_time,C2-A-RP,0.7,17
0,0,17,manual,log_owner_valid_active_seconds,counts_within_stratum_not_unique_people_across_rows,active_logs/c2a_rp_block2_20260814|c2plus_task_worker_active_time_20260802_v2|owner_valid_active_time,C2-A-RP,0.8,17
0,0,17,manual,log_owner_valid_active_seconds,counts_within_stratum_not_unique_people_across_rows,active_logs/c2a_rp_block2_20260814|c2plus_task_worker_active_time_20260802_v2|owner_valid_active_time,C2-A-RP,0.9,17
0,0,2,manual,log_owner_valid_active_seconds,counts_within_stratum_not_unique_people_across_rows,active_logs/c2a_rp_block2_20260814|stage1_active_time_annotation_hardening_20260701_v1|owner_valid_active_time,C2-A-RP,0.7,2
0,0,2,manual,log_owner_valid_active_seconds,counts_within_stratum_not_unique_people_across_rows,active_logs/c2a_rp_block2_20260814|stage1_active_time_annotation_hardening_20260701_v1|owner_valid_active_time,C2-A-RP,0.8,2
0,0,2,manual,log_owner_valid_active_seconds,counts_within_stratum_not_unique_people_across_rows,active_logs/c2a_rp_block2_20260814|stage1_active_time_annotation_hardening_20260701_v1|owner_valid_active_time,C2-A-RP,0.9,2
0,0,20,manual,c2_reference_quality,counts_within_stratum_not_unique_people_across_rows,analysis_results/c2a_rp_terminal_reestimate_20260817_v1/c2b_plus_c2a_rp_terminal_risk_slope_evidence.csv|65ea96402b41b600920f311f7960ed0384606c88a0f5c6a37b56e1f748eb25bd|frozen_c2_operational_reference,C2-A-RP,0.7,20
0,0,20,manual,c2_reference_quality,counts_within_stratum_not_unique_people_across_rows,analysis_results/c2a_rp_terminal_reestimate_20260817_v1/c2b_plus_c2a_rp_terminal_risk_slope_evidence.csv|65ea96402b41b600920f311f7960ed0384606c88a0f5c6a37b56e1f748eb25bd|frozen_c2_operational_reference,C2-A-RP,0.8,20
0,0,20,manual,c2_reference_quality,counts_within_stratum_not_unique_people_across_rows,analysis_results/c2a_rp_terminal_reestimate_20260817_v1/c2b_plus_c2a_rp_terminal_risk_slope_evidence.csv|65ea96402b41b600920f311f7960ed0384606c88a0f5c6a37b56e1f748eb25bd|frozen_c2_operational_reference,C2-A-RP,0.9,20
0,0,20,manual,d_mask_to_reference,counts_within_stratum_not_unique_people_across_rows,import_json/mp3d_validation_gt_audit_20260809/mp3d_validation_all_gt_import.json|802a5d1a4d78545874bacc5463a0c5a204531bbca773643340ed28d63ee15da6|geometry_gt,C2-A-RP,0.7,20
0,0,20,manual,d_mask_to_reference,counts_within_stratum_not_unique_people_across_rows,import_json/mp3d_validation_gt_audit_20260809/mp3d_validation_all_gt_import.json|802a5d1a4d78545874bacc5463a0c5a204531bbca773643340ed28d63ee15da6|geometry_gt,C2-A-RP,0.8,20
0,0,20,manual,d_mask_to_reference,counts_within_stratum_not_unique_people_across_rows,import_json/mp3d_validation_gt_audit_20260809/mp3d_validation_all_gt_import.json|802a5d1a4d78545874bacc5463a0c5a204531bbca773643340ed28d63ee15da6|geometry_gt,C2-A-RP,0.9,20
