scenario,support_set,k,building_id,task_count,image_count,worker_count,full_status_recovery_rate_task_equal,partition_recovery_rate_task_equal,historical_all_target_status_recovery_rate_task_equal,historical_all_target_partition_recovery_rate_task_equal,paired_status_changed_from_prior_k_rate_task_equal
historical_all__all_strict_geometry,fixed_common_support_k20,17,wc2JMjhGNzB,4,4,24,0.84125,0.91,0.84125,0.91,0.036250000000000004
historical_all__all_strict_geometry,fixed_common_support_k20,17,x8F5xyUWy9e,1,1,24,1.0,1.0,1.0,1.0,0.0
historical_all__all_strict_geometry,fixed_common_support_k20,17,yqstnuAEVhm,6,6,26,0.8325,0.9308333333333333,0.8325,0.9308333333333333,0.03416666666666667
historical_all__all_strict_geometry,fixed_common_support_k20,18,7y3sRwLe3Va,1,1,25,0.625,1.0,0.625,1.0,0.045
historical_all__all_strict_geometry,fixed_common_support_k20,18,B6ByNegPMKs,3,3,25,0.8083333333333332,0.9916666666666667,0.8083333333333332,0.9916666666666667,0.045000000000000005
historical_all__all_strict_geometry,fixed_common_support_k20,18,UwV83HsGsw3,3,3,24,0.8516666666666666,1.0,0.8516666666666666,1.0,0.03166666666666667
historical_all__all_strict_geometry,fixed_common_support_k20,18,X7HyMhZNoso,1,1,25,0.75,1.0,0.75,1.0,0.05
historical_all__all_strict_geometry,fixed_common_support_k20,18,b8cTxDM8gDG,1,1,26,0.41,0.41,0.41,0.41,0.06
historical_all__all_strict_geometry,fixed_common_support_k20,18,e9zR4mvMWw7,1,1,24,1.0,1.0,1.0,1.0,0.0
historical_all__all_strict_geometry,fixed_common_support_k20,18,q9vSo1VnCiC,4,4,25,0.6875,0.88875,0.6875,0.88875,0.042499999999999996
historical_all__all_strict_geometry,fixed_common_support_k20,18,rPc6DW4iMge,6,6,26,0.7391666666666667,0.935,0.7391666666666667,0.935,0.04583333333333334
historical_all__all_strict_geometry,fixed_common_support_k20,18,uNb9QFRL6hY,11,11,26,0.9063636363636363,0.9404545454545455,0.9063636363636363,0.9404545454545455,0.02318181818181819
historical_all__all_strict_geometry,fixed_common_support_k20,18,wc2JMjhGNzB,4,4,24,0.8562500000000001,0.9175,0.8562500000000001,0.9175,0.0375
historical_all__all_strict_geometry,fixed_common_support_k20,18,x8F5xyUWy9e,1,1,24,1.0,1.0,1.0,1.0,0.0
historical_all__all_strict_geometry,fixed_common_support_k20,18,yqstnuAEVhm,6,6,26,0.86,0.9425,0.86,0.9425,0.0275
historical_all__all_strict_geometry,fixed_common_support_k20,19,7y3sRwLe3Va,1,1,25,0.7,1.0,0.7,1.0,0.075
historical_all__all_strict_geometry,fixed_common_support_k20,19,B6ByNegPMKs,3,3,25,0.8333333333333334,0.9916666666666667,0.8333333333333334,0.9916666666666667,0.03833333333333334
historical_all__all_strict_geometry,fixed_common_support_k20,19,UwV83HsGsw3,3,3,24,0.8783333333333333,1.0,0.8783333333333333,1.0,0.02666666666666667
historical_all__all_strict_geometry,fixed_common_support_k20,19,X7HyMhZNoso,1,1,25,0.765,1.0,0.765,1.0,0.015
historical_all__all_strict_geometry,fixed_common_support_k20,19,b8cTxDM8gDG,1,1,26,0.455,0.455,0.455,0.455,0.045
historical_all__all_strict_geometry,fixed_common_support_k20,19,e9zR4mvMWw7,1,1,24,1.0,1.0,1.0,1.0,0.0
historical_all__all_strict_geometry,fixed_common_support_k20,19,q9vSo1VnCiC,4,4,25,0.73625,0.9125,0.73625,0.9125,0.04875
historical_all__all_strict_geometry,fixed_common_support_k20,19,rPc6DW4iMge,6,6,26,0.7725,0.9383333333333334,0.7725,0.9383333333333334,0.05000000000000001
historical_all__all_strict_geometry,fixed_common_support_k20,19,uNb9QFRL6hY,11,11,26,0.9240909090909092,0.95,0.9240909090909092,0.95,0.021363636363636366
historical_all__all_strict_geometry,fixed_common_support_k20,19,wc2JMjhGNzB,4,4,24,0.87625,0.9299999999999999,0.87625,0.9299999999999999,0.0325
historical_all__all_strict_geometry,fixed_common_support_k20,19,x8F5xyUWy9e,1,1,24,1.0,1.0,1.0,1.0,0.0
historical_all__all_strict_geometry,fixed_common_support_k20,19,yqstnuAEVhm,6,6,26,0.8908333333333335,0.9541666666666666,0.8908333333333335,0.9541666666666666,0.030833333333333334
historical_all__all_strict_geometry,fixed_common_support_k20,20,7y3sRwLe3Va,1,1,25,0.75,1.0,0.75,1.0,0.05
historical_all__all_strict_geometry,fixed_common_support_k20,20,B6ByNegPMKs,3,3,25,0.86,1.0,0.86,1.0,0.02666666666666667
historical_all__all_strict_geometry,fixed_common_support_k20,20,UwV83HsGsw3,3,3,24,0.9033333333333333,1.0,0.9033333333333333,1.0,0.024999999999999998
historical_all__all_strict_geometry,fixed_common_support_k20,20,X7HyMhZNoso,1,1,25,0.805,1.0,0.805,1.0,0.04
historical_all__all_strict_geometry,fixed_common_support_k20,20,b8cTxDM8gDG,1,1,26,0.545,0.545,0.545,0.545,0.09
historical_all__all_strict_geometry,fixed_common_support_k20,20,e9zR4mvMWw7,1,1,24,1.0,1.0,1.0,1.0,0.0
historical_all__all_strict_geometry,fixed_common_support_k20,20,q9vSo1VnCiC,4,4,25,0.7875,0.93125,0.7875,0.93125,0.051250000000000004
historical_all__all_strict_geometry,fixed_common_support_k20,20,rPc6DW4iMge,6,6,26,0.8133333333333334,0.9458333333333333,0.8133333333333334,0.9458333333333333,0.05083333333333334
historical_all__all_strict_geometry,fixed_common_support_k20,20,uNb9QFRL6hY,11,11,26,0.943181818181818,0.9640909090909091,0.943181818181818,0.9640909090909091,0.020000000000000004
historical_all__all_strict_geometry,fixed_common_support_k20,20,wc2JMjhGNzB,4,4,24,0.90125,0.9475,0.90125,0.9475,0.0375
historical_all__all_strict_geometry,fixed_common_support_k20,20,x8F5xyUWy9e,1,1,24,1.0,1.0,1.0,1.0,0.0
historical_all__all_strict_geometry,fixed_common_support_k20,20,yqstnuAEVhm,6,6,26,0.9133333333333334,0.9658333333333333,0.9133333333333334,0.9658333333333333,0.022500000000000003
historical_all__exclude_confirmed_only,fixed_common_support_k20,15,7y3sRwLe3Va,1,1,20,0.775,1.0,0.775,1.0,0.1
historical_all__exclude_confirmed_only,fixed_common_support_k20,15,B6ByNegPMKs,3,3,24,0.8066666666666666,1.0,0.8066666666666666,1.0,0.08
historical_all__exclude_confirmed_only,fixed_common_support_k20,15,UwV83HsGsw3,3,3,24,0.7983333333333333,1.0,0.7983333333333333,1.0,0.06
historical_all__exclude_confirmed_only,fixed_common_support_k20,15,X7HyMhZNoso,1,1,21,0.685,1.0,0.685,1.0,0.09
historical_all__exclude_confirmed_only,fixed_common_support_k20,15,b8cTxDM8gDG,1,1,25,0.335,0.335,0.335,0.335,0.095
historical_all__exclude_confirmed_only,fixed_common_support_k20,15,e9zR4mvMWw7,1,1,23,1.0,1.0,1.0,1.0,0.0
historical_all__exclude_confirmed_only,fixed_common_support_k20,15,q9vSo1VnCiC,4,4,25,0.76875,0.8475,0.76875,0.8475,0.05625
historical_all__exclude_confirmed_only,fixed_common_support_k20,15,rPc6DW4iMge,6,6,26,0.7041666666666666,0.9216666666666667,0.7041666666666666,0.9216666666666667,0.11916666666666668
historical_all__exclude_confirmed_only,fixed_common_support_k20,15,uNb9QFRL6hY,10,10,26,0.8375,0.8965,0.8375,0.8965,0.05900000000000001
historical_all__exclude_confirmed_only,fixed_common_support_k20,15,wc2JMjhGNzB,4,4,24,0.8387500000000001,0.9025,0.8387500000000001,0.9025,0.1025
historical_all__exclude_confirmed_only,fixed_common_support_k20,15,x8F5xyUWy9e,1,1,21,1.0,1.0,1.0,1.0,0.01
historical_all__exclude_confirmed_only,fixed_common_support_k20,15,yqstnuAEVhm,6,6,26,0.7633333333333333,0.9049999999999999,0.7633333333333333,0.9049999999999999,0.08916666666666667
historical_all__exclude_confirmed_only,fixed_common_support_k20,16,7y3sRwLe3Va,1,1,20,0.81,1.0,0.81,1.0,0.035
historical_all__exclude_confirmed_only,fixed_common_support_k20,16,B6ByNegPMKs,3,3,24,0.8416666666666667,1.0,0.8416666666666667,1.0,0.035
historical_all__exclude_confirmed_only,fixed_common_support_k20,16,UwV83HsGsw3,3,3,24,0.8233333333333333,1.0,0.8233333333333333,1.0,0.025000000000000005
historical_all__exclude_confirmed_only,fixed_common_support_k20,16,X7HyMhZNoso,1,1,21,0.725,1.0,0.725,1.0,0.04
