condition,chain,method,metric,status,images,median_real_n,real,predicted,mae
manual,all_remaining_real_people,seed_equal,terminal_point_disagreement,evaluated,46,20.0,0.34979483021278684,0.25410225064472775,0.16626858933886293
manual,all_remaining_real_people,seed_equal,terminal_singleton_fraction,evaluated,46,20.0,0.19219266463259596,0.0023429554411390796,0.18992121948893972
manual,all_remaining_real_people,seed_equal,terminal_supported,evaluated,46,20.0,2.717391304347826,2.2567934782608696,1.0054347826086956
manual,all_remaining_real_people,seed_equal,terminal_within,evaluated,46,20.0,0.04118396907517137,0.01930180004535393,0.02227710696653169
manual,all_remaining_real_people,seed_person_t025,diagnostic_stable100,evaluated,46,20.0,0.15217391304347827,0.7853260869565217,0.6413043478260869
manual,all_remaining_real_people,seed_person_t025,diagnostic_stable80,evaluated,46,20.0,0.30434782608695654,0.8226902173913043,0.5427989130434783
manual,all_remaining_real_people,seed_person_t025,diagnostic_stable_multimode80,evaluated,46,20.0,0.18478260869565216,0.4748641304347826,0.5523097826086957
manual,all_remaining_real_people,seed_person_t025,half_count_tv,evaluated,46,20.0,0.19047187715665978,0.10359164725672877,0.11555032565562456
manual,all_remaining_real_people,seed_person_t025,half_output_mmd,evaluated,46,20.0,0.16347625228784365,0.1185760766267696,0.05543475145023682
manual,all_remaining_real_people,seed_person_t025,invalid_generated,evaluated,46,20.0,0.0,0.0,0.0
manual,all_remaining_real_people,seed_person_t025,late_half_new,evaluated,46,20.0,0.19667874396135265,0.01185084541062802,0.18910778985507246
manual,all_remaining_real_people,seed_person_t025,late_quarter_new,evaluated,46,20.0,0.18097826086956523,0.005876358695652174,0.18040081521739132
manual,all_remaining_real_people,seed_person_t025,late_repartition,evaluated,46,20.0,0.012640121480014132,0.0001753904219537212,0.012782573825551513
manual,all_remaining_real_people,seed_person_t025,terminal_modes,evaluated,46,20.0,6.3478260869565215,2.2941576086956523,4.095788043478261
manual,all_remaining_real_people,seed_person_t025,terminal_point_disagreement,evaluated,46,20.0,0.34979483021278684,0.24573805637815768,0.16400578585743986
manual,all_remaining_real_people,seed_person_t025,terminal_singleton_fraction,evaluated,46,20.0,0.19219266463259596,0.0033824370709382152,0.18908911772184084
manual,all_remaining_real_people,seed_person_t025,terminal_supported,evaluated,46,20.0,2.717391304347826,2.2323369565217392,1.0095108695652173
manual,all_remaining_real_people,seed_person_t025,terminal_within,evaluated,46,20.0,0.04118396907517137,0.01913254569877405,0.022440093334014435
manual,all_remaining_real_people,seed_type4,diagnostic_stable100,evaluated,46,20.0,0.15217391304347827,0.748641304347826,0.6046195652173914
manual,all_remaining_real_people,seed_type4,diagnostic_stable80,evaluated,46,20.0,0.30434782608695654,0.8043478260869565,0.5176630434782609
manual,all_remaining_real_people,seed_type4,diagnostic_stable_multimode80,evaluated,46,20.0,0.18478260869565216,0.4422554347826087,0.5210597826086957
manual,all_remaining_real_people,seed_type4,half_count_tv,evaluated,46,20.0,0.19047187715665978,0.10108156487232575,0.11007645358868183
manual,all_remaining_real_people,seed_type4,half_output_mmd,evaluated,46,20.0,0.16347625228784365,0.11367990292158141,0.05908837839004612
manual,all_remaining_real_people,seed_type4,invalid_generated,evaluated,46,20.0,0.0,0.0,0.0
manual,all_remaining_real_people,seed_type4,late_half_new,evaluated,46,20.0,0.19667874396135265,0.012781174516908213,0.1886190368357488
manual,all_remaining_real_people,seed_type4,late_quarter_new,evaluated,46,20.0,0.18097826086956523,0.007710597826086957,0.1792459239130435
manual,all_remaining_real_people,seed_type4,late_repartition,evaluated,46,20.0,0.012640121480014132,0.00023480011257008497,0.012792576401543373
manual,all_remaining_real_people,seed_type4,terminal_modes,evaluated,46,20.0,6.3478260869565215,2.2751358695652173,4.1134510869565215
manual,all_remaining_real_people,seed_type4,terminal_point_disagreement,evaluated,46,20.0,0.34979483021278684,0.23606457600202554,0.15457387140592316
manual,all_remaining_real_people,seed_type4,terminal_singleton_fraction,evaluated,46,20.0,0.19219266463259596,0.005007309941520468,0.18781106979405032
manual,all_remaining_real_people,seed_type4,terminal_supported,evaluated,46,20.0,2.717391304347826,2.1813858695652173,1.0115489130434783
manual,all_remaining_real_people,seed_type4,terminal_within,evaluated,46,20.0,0.04118396907517137,0.019038749076142957,0.022435120848756738
manual,type_2_only,seed_context_t025,diagnostic_stable100,evaluated,46,17.0,0.1956521739130435,0.7649456521739131,0.5801630434782609
manual,type_2_only,seed_context_t025,diagnostic_stable80,evaluated,46,17.0,0.391304347826087,0.8070652173913043,0.45516304347826086
manual,type_2_only,seed_context_t025,diagnostic_stable_multimode80,evaluated,46,17.0,0.1956521739130435,0.453125,0.4830163043478261
manual,type_2_only,seed_context_t025,half_count_tv,evaluated,46,17.0,0.17618184955141478,0.10863283945824707,0.10162693021049
manual,type_2_only,seed_context_t025,half_output_mmd,evaluated,46,17.0,0.18416664598514315,0.12959770509339497,0.0714562981149479
manual,type_2_only,seed_context_t025,invalid_generated,evaluated,46,17.0,0.0,0.0,0.0
manual,type_2_only,seed_context_t025,late_half_new,evaluated,46,17.0,0.18342822636300896,0.017436324620427882,0.17243438362663904
manual,type_2_only,seed_context_t025,late_quarter_new,evaluated,46,17.0,0.16340579710144928,0.00968070652173913,0.16176403985507246
