image_id,building,condition,cut,scene,n_valid,n_modes,n_supported_modes,supported_mass,singleton_mass,largest_share,topology_disagreement,same_topology_between_mode_pair_fraction,within_mode_mean_d,between_mode_same_topology_mean_d,within_mode_median_d,within_mode_max_median_d,within_mode_macro_median_d,same_topology_median_d,mode_entropy,topology_entropy,supported_topologies,supported_minority_modes,same_topology_multimodality,n_observed,n_invalid,stages,contexts,imputed_responses,late_new,late_promotions,later_repartition,n_singletons,naive_many_modes,scene_category,main_function_primary
B6ByNegPMKs_7018ca302c584d0d85024187f3568460,B6ByNegPMKs,semi,0.05,起居与休闲,4,3,1,0.5,0.5,0.5,0.5,0.666666666667,0.037426641137,0.0513075779432,0.037426641137,0.037426641137,0.037426641137,0.0428401304102,1.5,0.811278124459,1,0,False,4,0,C1,1,0,0.36,0.32,0.08,2,False,起居与休闲,living
B6ByNegPMKs_7018ca302c584d0d85024187f3568460,B6ByNegPMKs,semi,0.1,起居与休闲,4,2,1,0.75,0.25,0.75,0.5,0,0.0466805990078,,0.0428401304102,0.0428401304102,0.0428401304102,0.0428401304102,0.811278124459,0.811278124459,1,0,False,4,0,C1,1,0,0.245,0.255,0,1,False,起居与休闲,living
B6ByNegPMKs_7018ca302c584d0d85024187f3568460,B6ByNegPMKs,semi,0.2,起居与休闲,4,2,1,0.75,0.25,0.75,0.5,0,0.0466805990078,,0.0428401304102,0.0428401304102,0.0428401304102,0.0428401304102,0.811278124459,0.811278124459,1,0,False,4,0,C1,1,0,0.24,0.26,0,1,False,起居与休闲,living
B6ByNegPMKs_75327de9719945aa8b893a6404667884,B6ByNegPMKs,semi,0.05,通行与连接,24,10,3,0.708333333333,0.291666666667,0.541666666667,0,0.710144927536,0.00600339459822,0.337355879466,0.000254299981506,0.0495668267039,0.0281300954129,0.235693693691,2.41389098673,-0,1,2,True,24,0,P1,1,0,0.309166666667,0.116666666667,0.00010194011853,7,True,通行与连接,circulation
B6ByNegPMKs_75327de9719945aa8b893a6404667884,B6ByNegPMKs,semi,0.1,通行与连接,24,8,4,0.833333333333,0.166666666667,0.541666666667,0,0.699275362319,0.00816943544218,0.341574926432,0.000254299981506,0.0945328213567,0.0447582592673,0.235693693691,2.21577067414,-0,1,3,True,24,0,P1,1,0,0.169166666667,0.165833333333,0.000138867152799,4,True,通行与连接,circulation
B6ByNegPMKs_75327de9719945aa8b893a6404667884,B6ByNegPMKs,semi,0.2,通行与连接,24,5,5,1,0,0.583333333333,0,0.63768115942,0.0286882949371,0.362120423008,0.000300536341779,0.159560561813,0.077060525351,0.235693693691,1.78067212952,-0,1,4,True,24,0,P1,1,0,0.0166666666667,0.225833333333,0.00691300128171,0,True,通行与连接,circulation
B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,B6ByNegPMKs,manual,0.05,通行与连接,23,16,5,0.521739130435,0.478260869565,0.173913043478,0.0869565217391,0.95670995671,0.0262870202571,0.217685812757,0.0307257321925,0.038458006575,0.0275721277376,0.209626699836,3.82790978214,0.258018668665,1,5,True,24,1,P1,1,0,0.455833333333,0.2575,0.000831912089458,11,True,通行与连接,circulation
B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,B6ByNegPMKs,manual,0.1,通行与连接,23,11,5,0.739130434783,0.260869565217,0.217391304348,0.0869565217391,0.896103896104,0.0470985597408,0.228217726512,0.0410193457332,0.0902451309604,0.0446289553035,0.209626699836,3.14922976152,0.258018668665,1,4,True,24,1,P1,1,0,0.221666666667,0.208333333333,0.00462603978839,6,True,通行与连接,circulation
B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,B6ByNegPMKs,manual,0.2,通行与连接,23,7,5,0.913043478261,0.0869565217391,0.347826086957,0.0869565217391,0.792207792208,0.0682867444215,0.246413503221,0.0703105175808,0.144260018933,0.0939480487333,0.209626699836,2.42509836882,0.258018668665,1,3,True,24,1,P1,1,0,0.0891666666667,0.196666666667,0.0147803738373,2,True,通行与连接,circulation
B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,B6ByNegPMKs,manual,0.05,通行与连接,6,4,2,0.666666666667,0.333333333333,0.333333333333,0.333333333333,0.8,0.0278884200636,0.261896278021,0.0278884200636,0.0296620246809,0.0278884200636,0.26286352262,1.91829583405,0.650022421648,1,0,True,6,0,C1,1,0,0.443333333333,0.556666666667,0,2,False,通行与连接,circulation
