image_id,condition,cut,rule,early_k,n_observed,n_valid,n_invalid,n_supported_modes,singleton_mass,p_sustained_onset_by_k,p_any_observed_onset,onset_median_conditional,late_new_geometry,late_h,max_few_modes,max_singleton_mass,order_fraction_required,p_sustained_onset_between_k_and_h,process_tier,difficulty_tag,difficulty_status,scene_category,main_function_primary,room_status
VFuaQ6m2Qom_109e18c64a614dc49e41a33ae979f98a,manual,0.2,D20_distribution,7,2,2,0,0,1,0,0,,1,15,3,0.1,0.8,0,insufficient_observed_people,困难,labelled,卫浴,bathroom,overlap_with_pending_or_unsupported
VFuaQ6m2Qom_109e18c64a614dc49e41a33ae979f98a,manual,0.2,G10_geometry,7,2,2,0,0,1,0,0,,1,15,3,0.1,0.8,0,insufficient_observed_people,困难,labelled,卫浴,bathroom,overlap_with_pending_or_unsupported
VFuaQ6m2Qom_5fb269a812f349b4bc2ad5dfac000b85,manual,0.05,P_pattern,7,7,7,0,1,0.571428571429,0,0,,0.6025,15,3,0.1,0.8,0,insufficient_horizon_or_other_trajectory,困难,labelled,卫浴,bathroom,overlap_with_pending_or_unsupported
VFuaQ6m2Qom_5fb269a812f349b4bc2ad5dfac000b85,manual,0.05,D10_distribution,7,7,7,0,1,0.571428571429,0,0,,0.6025,15,3,0.1,0.8,0,insufficient_horizon_or_other_trajectory,困难,labelled,卫浴,bathroom,overlap_with_pending_or_unsupported
VFuaQ6m2Qom_5fb269a812f349b4bc2ad5dfac000b85,manual,0.05,D20_distribution,7,7,7,0,1,0.571428571429,0,0,,0.6025,15,3,0.1,0.8,0,insufficient_horizon_or_other_trajectory,困难,labelled,卫浴,bathroom,overlap_with_pending_or_unsupported
VFuaQ6m2Qom_5fb269a812f349b4bc2ad5dfac000b85,manual,0.05,G10_geometry,7,7,7,0,1,0.571428571429,0,0,,0.6025,15,3,0.1,0.8,0,insufficient_horizon_or_other_trajectory,困难,labelled,卫浴,bathroom,overlap_with_pending_or_unsupported
VFuaQ6m2Qom_5fb269a812f349b4bc2ad5dfac000b85,manual,0.1,P_pattern,7,7,7,0,2,0.142857142857,0,0,,0.21,15,3,0.1,0.8,0,insufficient_horizon_or_other_trajectory,困难,labelled,卫浴,bathroom,overlap_with_pending_or_unsupported
VFuaQ6m2Qom_5fb269a812f349b4bc2ad5dfac000b85,manual,0.1,D10_distribution,7,7,7,0,2,0.142857142857,0,0,,0.21,15,3,0.1,0.8,0,insufficient_horizon_or_other_trajectory,困难,labelled,卫浴,bathroom,overlap_with_pending_or_unsupported
VFuaQ6m2Qom_5fb269a812f349b4bc2ad5dfac000b85,manual,0.1,D20_distribution,7,7,7,0,2,0.142857142857,0,0,,0.21,15,3,0.1,0.8,0,insufficient_horizon_or_other_trajectory,困难,labelled,卫浴,bathroom,overlap_with_pending_or_unsupported
VFuaQ6m2Qom_5fb269a812f349b4bc2ad5dfac000b85,manual,0.1,G10_geometry,7,7,7,0,2,0.142857142857,0,0,,0.21,15,3,0.1,0.8,0,insufficient_horizon_or_other_trajectory,困难,labelled,卫浴,bathroom,overlap_with_pending_or_unsupported
VFuaQ6m2Qom_5fb269a812f349b4bc2ad5dfac000b85,manual,0.2,P_pattern,7,7,7,0,2,0.142857142857,0,0,,0.23,15,3,0.1,0.8,0,insufficient_horizon_or_other_trajectory,困难,labelled,卫浴,bathroom,overlap_with_pending_or_unsupported
VFuaQ6m2Qom_5fb269a812f349b4bc2ad5dfac000b85,manual,0.2,D10_distribution,7,7,7,0,2,0.142857142857,0,0,,0.23,15,3,0.1,0.8,0,insufficient_horizon_or_other_trajectory,困难,labelled,卫浴,bathroom,overlap_with_pending_or_unsupported
VFuaQ6m2Qom_5fb269a812f349b4bc2ad5dfac000b85,manual,0.2,D20_distribution,7,7,7,0,2,0.142857142857,0,0,,0.23,15,3,0.1,0.8,0,insufficient_horizon_or_other_trajectory,困难,labelled,卫浴,bathroom,overlap_with_pending_or_unsupported
VFuaQ6m2Qom_5fb269a812f349b4bc2ad5dfac000b85,manual,0.2,G10_geometry,7,7,7,0,2,0.142857142857,0,0,,0.23,15,3,0.1,0.8,0,insufficient_horizon_or_other_trajectory,困难,labelled,卫浴,bathroom,overlap_with_pending_or_unsupported
