condition,target,design,method,subset,images,buildings,components,image_loss,building_macro_loss,accuracy
manual,full_p_by_8,all_other_building,dinov3__cls__panorama,all_available,133,20,31,0.348270676692,0.370999059968,
manual,full_p_by_8,all_other_building,source_frequency_or_median,all_available,133,20,31,0.335676691729,0.316557359307,
manual,full_p_by_8,all_other_building,uniform_random_source_expectation,all_available,133,20,31,0.413199020518,0.405201898636,
manual,full_p_by_8,same_building_diagnostic,dinov3__block12__faces_global,all_available,131,18,30,0.35427480916,0.359133170071,
manual,full_p_by_8,same_building_diagnostic,dinov3__block12__panorama_mean,all_available,131,18,30,0.339847328244,0.321050608342,
manual,full_p_by_8,same_building_diagnostic,dinov3__block3__panorama_mean,all_available,131,18,30,0.361450381679,0.34762638596,
manual,full_p_by_8,same_building_diagnostic,dinov3__cls__panorama,all_available,131,18,30,0.335076335878,0.331294669836,
manual,full_p_by_8,same_building_diagnostic,source_frequency_or_median,all_available,131,18,30,0.31,0.30692680776,
manual,full_p_by_8,same_building_diagnostic,uniform_random_source_expectation,all_available,131,18,30,0.387745365322,0.358057652224,
manual,full_p_by_8,same_mainspace_other_building,dinov3__block12__faces_global,all_available,133,20,31,0.359661654135,0.344700847763,
manual,full_p_by_8,same_mainspace_other_building,dinov3__block12__panorama_mean,all_available,133,20,31,0.366503759398,0.347841679154,
manual,full_p_by_8,same_mainspace_other_building,dinov3__block3__panorama_mean,all_available,133,20,31,0.348421052632,0.342225833195,
manual,full_p_by_8,same_mainspace_other_building,dinov3__cls__panorama,all_available,133,20,31,0.304661654135,0.316901303558,
manual,full_p_by_8,same_mainspace_other_building,source_frequency_or_median,all_available,133,20,31,0.309567669173,0.334149638556,
manual,full_p_by_8,same_mainspace_other_building,uniform_random_source_expectation,all_available,133,20,31,0.381031786452,0.391195837545,
manual,full_p_by_8,same_scene_other_building,dinov3__block12__faces_global,all_available,126,19,31,0.398134920635,0.404932700341,
manual,full_p_by_8,same_scene_other_building,dinov3__block12__panorama_mean,all_available,126,19,31,0.397301587302,0.427674940557,
manual,full_p_by_8,same_scene_other_building,dinov3__block3__panorama_mean,all_available,126,19,31,0.375753968254,0.389675165478,
manual,full_p_by_8,same_scene_other_building,dinov3__cls__panorama,all_available,126,19,31,0.270634920635,0.309220302358,
manual,full_p_by_8,same_scene_other_building,source_frequency_or_median,all_available,126,19,31,0.300813492063,0.328917152657,
manual,full_p_by_8,same_scene_other_building,uniform_random_source_expectation,all_available,126,19,31,0.393780233918,0.409711186706,
manual,full_p_by_8,supported_same_room,dinov3__block12__faces_global,all_available,24,7,10,0.376666666667,0.360119047619,
manual,full_p_by_8,supported_same_room,dinov3__block12__panorama_mean,all_available,24,7,10,0.376666666667,0.360119047619,
manual,full_p_by_8,supported_same_room,dinov3__block3__panorama_mean,all_available,24,7,10,0.363125,0.352380952381,
manual,full_p_by_8,supported_same_room,dinov3__cls__panorama,all_available,24,7,10,0.363125,0.352380952381,
manual,full_p_by_8,supported_same_room,source_frequency_or_median,all_available,24,7,10,0.363125,0.352380952381,
manual,full_p_by_8,supported_same_room,uniform_random_source_expectation,all_available,24,7,10,0.376666666667,0.360119047619,
manual,grade_v1,all_other_building,dinov3__block12__faces_global,all_available,26,12,12,0.692307692308,0.875,0.653846153846
manual,grade_v1,all_other_building,dinov3__block12__panorama_mean,all_available,26,12,12,0.846153846154,0.986111111111,0.576923076923
manual,grade_v1,all_other_building,dinov3__block3__panorama_mean,all_available,26,12,12,0.846153846154,0.930555555556,0.576923076923
manual,grade_v1,all_other_building,dinov3__cls__panorama,all_available,26,12,12,0.846153846154,1.01388888889,0.576923076923
manual,grade_v1,all_other_building,source_frequency_or_median,all_available,26,12,12,0.543868100586,0.605405869299,0.576923076923
manual,grade_v1,all_other_building,uniform_random_source_expectation,all_available,26,12,12,1.06342657343,1.12227272727,0.468286713287
manual,grade_v1,same_building_diagnostic,dinov3__block12__faces_global,all_available,22,8,10,0.909090909091,1.125,0.545454545455
manual,grade_v1,same_building_diagnostic,dinov3__block12__panorama_mean,all_available,22,8,10,0.909090909091,1.125,0.545454545455
manual,grade_v1,same_building_diagnostic,dinov3__block3__panorama_mean,all_available,22,8,10,1,1.16666666667,0.5
manual,grade_v1,same_building_diagnostic,dinov3__cls__panorama,all_available,22,8,10,1,1.16666666667,0.5
manual,grade_v1,same_building_diagnostic,source_frequency_or_median,all_available,22,8,10,1.04484848485,1.17333333333,0.318181818182
manual,grade_v1,same_building_diagnostic,uniform_random_source_expectation,all_available,22,8,10,1.23636363636,1.275,0.381818181818
manual,grade_v1,same_mainspace_other_building,dinov3__block12__faces_global,all_available,24,12,12,0.916666666667,1.09722222222,0.541666666667
manual,grade_v1,same_mainspace_other_building,dinov3__block12__panorama_mean,all_available,24,12,12,1.08333333333,1.22222222222,0.458333333333
